Source_row,Species_key,Source_citation,Source_publication_year,Resolution_status
1500,Onychodactylus koreanus,"NIKOLAY A. POYARKOV, JR. & JING CHE & MI-SOOK MIN & MASAKI KURO-O & FANG YAN & CHENG LI & KOJI IIZUKA & DAVID R. VIEITES (2012). Review of the systematics, morphology and distribution of Asian Clawed Salamanders, genus Onychodactylus (Amphibia, Caudata: Hynobiidae), with the description of four new species Zootaxa, 3465, 1–106",2012,removed_duplicate_new_species_row
998,Onychodactylus koreanus,"NIKOLAY A. POYARKOV, JR. & JING CHE & MI-SOOK MIN & MASAKI KURO-O & FANG YAN & CHENG LI & KOJI IIZUKA & DAVID R. VIEITES (2012). Review of the systematics, morphology and distribution of Asian Clawed Salamanders, genus Onychodactylus (Amphibia, Caudata: Hynobiidae), with the description of four new species Zootaxa, 3465, 1–106",2012,removed_duplicate_new_species_row
1501,Onychodactylus koreanus,"NIKOLAY A. POYARKOV, JR. & JING CHE & MI-SOOK MIN & MASAKI KURO-O & FANG YAN & CHENG LI & KOJI IIZUKA & DAVID R. VIEITES (2012). Review of the systematics, morphology and distribution of Asian Clawed Salamanders, genus Onychodactylus (Amphibia, Caudata: Hynobiidae), with the description of four new species Zootaxa, 3465, 1–106",2012,removed_duplicate_new_species_row
1495,Onychodactylus nipponoborealis,"NIKOLAY A. POYARKOV, JR. & JING CHE & MI-SOOK MIN & MASAKI KURO-O & FANG YAN & CHENG LI & KOJI IIZUKA & DAVID R. VIEITES (2012). Review of the systematics, morphology and distribution of Asian Clawed Salamanders, genus Onychodactylus (Amphibia, Caudata: Hynobiidae), with the description of four new species Zootaxa, 3465, 1–106",2012,removed_duplicate_new_species_row
1502,Onychodactylus nipponoborealis,"NIKOLAY A. POYARKOV, JR. & JING CHE & MI-SOOK MIN & MASAKI KURO-O & FANG YAN & CHENG LI & KOJI IIZUKA & DAVID R. VIEITES (2012). Review of the systematics, morphology and distribution of Asian Clawed Salamanders, genus Onychodactylus (Amphibia, Caudata: Hynobiidae), with the description of four new species Zootaxa, 3465, 1–106",2012,removed_duplicate_new_species_row
1510,Onychodactylus nipponoborealis,"NIKOLAY A. POYARKOV, JR. & JING CHE & MI-SOOK MIN & MASAKI KURO-O & FANG YAN & CHENG LI & KOJI IIZUKA & DAVID R. VIEITES (2012). Review of the systematics, morphology and distribution of Asian Clawed Salamanders, genus Onychodactylus (Amphibia, Caudata: Hynobiidae), with the description of four new species Zootaxa, 3465, 1–106",2012,removed_duplicate_new_species_row
840,Onychodactylus zhangyapingi,"NIKOLAY A. POYARKOV, JR. & JING CHE & MI-SOOK MIN & MASAKI KURO-O & FANG YAN & CHENG LI & KOJI IIZUKA & DAVID R. VIEITES (2012). Review of the systematics, morphology and distribution of Asian Clawed Salamanders, genus Onychodactylus (Amphibia, Caudata: Hynobiidae), with the description of four new species Zootaxa, 3465, 1–106",2012,removed_duplicate_new_species_row
1497,Onychodactylus zhangyapingi,"NIKOLAY A. POYARKOV, JR. & JING CHE & MI-SOOK MIN & MASAKI KURO-O & FANG YAN & CHENG LI & KOJI IIZUKA & DAVID R. VIEITES (2012). Review of the systematics, morphology and distribution of Asian Clawed Salamanders, genus Onychodactylus (Amphibia, Caudata: Hynobiidae), with the description of four new species Zootaxa, 3465, 1–106",2012,removed_duplicate_new_species_row
1507,Onychodactylus zhangyapingi,"NIKOLAY A. POYARKOV, JR. & JING CHE & MI-SOOK MIN & MASAKI KURO-O & FANG YAN & CHENG LI & KOJI IIZUKA & DAVID R. VIEITES (2012). Review of the systematics, morphology and distribution of Asian Clawed Salamanders, genus Onychodactylus (Amphibia, Caudata: Hynobiidae), with the description of four new species Zootaxa, 3465, 1–106",2012,removed_duplicate_new_species_row
1512,Onychodactylus zhangyapingi,"NIKOLAY A. POYARKOV, JR. & JING CHE & MI-SOOK MIN & MASAKI KURO-O & FANG YAN & CHENG LI & KOJI IIZUKA & DAVID R. VIEITES (2012). Review of the systematics, morphology and distribution of Asian Clawed Salamanders, genus Onychodactylus (Amphibia, Caudata: Hynobiidae), with the description of four new species Zootaxa, 3465, 1–106",2012,removed_duplicate_new_species_row
