Source_row,Species_key,Source_citation,Source_publication_year,Resolution_status
286,Pseudohynobius jinfo,"GANG WEI and JIAN-LI XIONG and MIAN HOU and XIAO-MAO ZENG (2009). A new species of hynobiid salamander (Urodela: Hynobiidae: Pseudohynobius) from Southwestern China Zootaxa, 2149, 62–68",2009,removed_duplicate_new_species_row
287,Pseudohynobius jinfo,"GANG WEI and JIAN-LI XIONG and MIAN HOU and XIAO-MAO ZENG (2009). A new species of hynobiid salamander (Urodela: Hynobiidae: Pseudohynobius) from Southwestern China ZOOTAXA, 2149, 62–68",2009,removed_duplicate_new_species_row
288,Pseudohynobius jinfo,"GANG WEI and JIAN-LI XIONG and MIAN HOU and XIAO-MAO ZENG (2009). A new species of hynobiid salamander (Urodela: Hynobiidae: Pseudohynobius) from Southwestern China ZOOTAXA, 2149, 62–68",2009,removed_duplicate_new_species_row
289,Pseudohynobius jinfo,"GANG WEI and JIAN-LI XIONG and MIAN HOU and XIAO-MAO ZENG (2009). A new species of hynobiid salamander (Urodela: Hynobiidae: Pseudohynobius) from Southwestern China Zootaxa, 2149, 62–68",2009,removed_duplicate_new_species_row
292,Pseudohynobius jinfo,"GANG WEI and JIAN-LI XIONG and MIAN HOU and XIAO-MAO ZENG (2009). A new species of hynobiid salamander (Urodela: Hynobiidae: Pseudohynobius) from Southwestern China Zootaxa, 2149, 62–68",2009,removed_duplicate_new_species_row
632,Pseudohynobius jinfo,,,removed_duplicate_new_species_row
441,Rana dabieshanensis,"Chencheng Wang and Lifu Qian and Chenling Zhang and Weibo Guo and Tao Pan and Jun Wu and Hui Wang and Baowei Zhang (2017). A new species of Rana from the Dabie Mountains in eastern China (Anura, Ranidae) ZooKeys, 724, 135–153 https://doi.org/10.3897/zookeys.724.19383",2017,removed_duplicate_new_species_row
442,Rana dabieshanensis,"Chencheng Wang and Lifu Qian and Chenling Zhang and Weibo Guo and Tao Pan and Jun Wu and Hui Wang and Baowei Zhang (2017). A new species of Rana from the Dabie Mountains in eastern China (Anura, Ranidae) ZooKeys, 724, 135–153 https://doi.org/10.3897/zookeys.724.19383",2017,removed_duplicate_new_species_row
913,Rana jiulingensis,"Han Wan and Zhi-Tong Lyu and Shuo Qi and Jian Zhao and Pi-Peng Li and Ying-Yong Wang (2020). A new species of the Rana japonica group (Anura, Ranidae, Rana) from China, with a taxonomic proposal for the R. johnsi group ZooKeys, 942, 141–158 https://doi.org/10.3897/zookeys.942.46928",2020,removed_duplicate_new_species_row
1610,Rana jiulingensis,"Han Wan and Zhi-Tong Lyu and Shuo Qi and Jian Zhao and Pi-Peng Li and Ying-Yong Wang (2020). A new species of the Rana japonica group (Anura, Ranidae, Rana) from China, with a taxonomic proposal for the R. johnsi group ZooKeys, 942, 141–158 https://doi.org/10.3897/zookeys.942.46928",2020,removed_duplicate_new_species_row
787,Rana luanchuanensis,"Haipeng Zhao and Junxiao Yang and Chunping Wang and Pipeng Li and Robert W. Murphy and Jing Che and Zhiyong Yuan (2017). A new species of the genus Rana from Henan, central China (Anura, Ranidae) ZooKeys, 694, 95–108 https://doi.org/10.3897/zookeys.694.12513",2017,removed_duplicate_new_species_row
791,Rana luanchuanensis,"Haipeng Zhao and Junxiao Yang and Chunping Wang and Pipeng Li and Robert W. Murphy and Jing Che and Zhiyong Yuan (2017). A new species of the genus Rana from Henan, central China (Anura, Ranidae) ZooKeys, 694, 95–108 https://doi.org/10.3897/zookeys.694.12513",2017,removed_duplicate_new_species_row
792,Rana luanchuanensis,"Haipeng Zhao and Junxiao Yang and Chunping Wang and Pipeng Li and Robert W. Murphy and Jing Che and Zhiyong Yuan (2017). A new species of the genus Rana from Henan, central China (Anura, Ranidae) ZooKeys, 694, 95–108 https://doi.org/10.3897/zookeys.694.12513",2017,removed_duplicate_new_species_row
796,Rana luanchuanensis,"Haipeng Zhao and Junxiao Yang and Chunping Wang and Pipeng Li and Robert W. Murphy and Jing Che and Zhiyong Yuan (2017). A new species of the genus Rana from Henan, central China (Anura, Ranidae) ZooKeys, 694, 95–108 https://doi.org/10.3897/zookeys.694.12513",2017,removed_duplicate_new_species_row
