Duplicate_group_id,Group_size,Species_key,New_distribution_province,Source_row,Source_publication_year,Resolution_status,Retained_source_row,Source_citation
DUP006,3,Amolops truongi,云南,1110,2024,retained；同最早年多条，保留行序最先者，需人工裁定,1110,"Shuo Liu and Mingzhong Mo and Jimin Guo and Yi Lu and Wen Wang and Wenxiang Zhang and Dingqi Rao and Song Li (2024). First record of Amolops truongi Pham, Pham, Ngo, Sung, Ziegler & Le, 2023 (Anura, Ranidae) from China Yunnan Huanglianshan National Nature https://doi.org/10.3897/herpetozoa.37.e121610"
DUP006,3,Amolops truongi,云南,1111,2024,removed_later_duplicate,1110,"Shuo Liu and Mingzhong Mo and Jimin Guo and Yi Lu and Wen Wang and Wenxiang Zhang and Dingqi Rao and Song Li (2024). First record of Amolops truongi Pham, Pham, Ngo, Sung, Ziegler & Le, 2023 (Anura, Ranidae) from China Yunnan Huanglianshan National Nature https://doi.org/10.3897/herpetozoa.37.e121610"
DUP006,3,Amolops truongi,云南,1816,2024,removed_later_duplicate,1110,"Shuo Liu and Mingzhong Mo and Jimin Guo and Yi Lu and Wen Wang and Wenxiang Zhang and Dingqi Rao and Song Li (2024). First record of Amolops truongi Pham, Pham, Ngo, Sung, Ziegler & Le, 2023 (Anura, Ranidae) from China Yunnan Huanglianshan National Nature https://doi.org/10.3897/herpetozoa.37.e121610"
DUP007,5,Amolops vitreus,云南,582,2024,retained；同最早年多条，保留行序最先者，需人工裁定,582,"Yun-He Wu and Zhong-Bin Yu and Chen-Qi Lu and Yin-Peng Zhang and Wen-Jie Dong and Xiao-Long Liu and Felista Kasyoka Kilunda and Yun Xiong and Yun-Fang Jiang and Hong Ouyang and Zhong-Xiong Fu and Yun-Biao He and Zhi-Yong Yuan and Jing Che (2024). A new species of the genus Amolops (Amphibia: Ranidae) and the first national record of Amolops vitreus from China Vertebrate Zoology, 74, 343–357 https://doi.org/10.3897/vz.74.e108013"
DUP007,5,Amolops vitreus,云南,584,2024,removed_later_duplicate,582,"Yun-He Wu and Zhong-Bin Yu and Chen-Qi Lu and Yin-Peng Zhang and Wen-Jie Dong and Xiao-Long Liu and Felista Kasyoka Kilunda and Yun Xiong and Yun-Fang Jiang and Hong Ouyang and Zhong-Xiong Fu and Yun-Biao He and Zhi-Yong Yuan and Jing Che (2024). A new species of the genus Amolops (Amphibia: Ranidae) and the first national record of Amolops vitreus from China Vertebrate Zoology, 74, 343–357 https://doi.org/10.3897/vz.74.e108013"
DUP007,5,Amolops vitreus,云南,586,2024,removed_later_duplicate,582,"Yun-He Wu and Zhong-Bin Yu and Chen-Qi Lu and Yin-Peng Zhang and Wen-Jie Dong and Xiao-Long Liu and Felista Kasyoka Kilunda and Yun Xiong and Yun-Fang Jiang and Hong Ouyang and Zhong-Xiong Fu and Yun-Biao He and Zhi-Yong Yuan and Jing Che (2024). A new species of the genus Amolops (Amphibia: Ranidae) and the first national record of Amolops vitreus from China Vertebrate Zoology, 74, 343–357 https://doi.org/10.3897/vz.74.e108013"
DUP007,5,Amolops vitreus,云南,594,2024,removed_later_duplicate,582,"Yun-He Wu and Zhong-Bin Yu and Chen-Qi Lu and Yin-Peng Zhang and Wen-Jie Dong and Xiao-Long Liu and Felista Kasyoka Kilunda and Yun Xiong and Yun-Fang Jiang and Hong Ouyang and Zhong-Xiong Fu and Yun-Biao He and Zhi-Yong Yuan and Jing Che (2024). A new species of the genus Amolops (Amphibia: Ranidae) and the first national record of Amolops vitreus from China Vertebrate Zoology, 74, 343–357 https://doi.org/10.3897/vz.74.e108013"
DUP007,5,Amolops vitreus,云南,596,2024,removed_later_duplicate,582,"Yun-He Wu and Zhong-Bin Yu and Chen-Qi Lu and Yin-Peng Zhang and Wen-Jie Dong and Xiao-Long Liu and Felista Kasyoka Kilunda and Yun Xiong and Yun-Fang Jiang and Hong Ouyang and Zhong-Xiong Fu and Yun-Biao He and Zhi-Yong Yuan and Jing Che (2024). A new species of the genus Amolops (Amphibia: Ranidae) and the first national record of Amolops vitreus from China Vertebrate Zoology, 74, 343–357 https://doi.org/10.3897/vz.74.e108013"
DUP008,3,Azemiops feae,广东,1989,2012,retained；同最早年多条，保留行序最先者，需人工裁定,1989,
DUP008,3,Azemiops feae,广东,1990,2012,removed_later_duplicate,1989,
DUP008,3,Azemiops feae,广东,1991,2012,removed_later_duplicate,1989,
DUP009,2,Batrachuperus karlschmidti,青海,1839,2014,retained；同最早年多条，保留行序最先者，需人工裁定,1839,"丁义晶、王贵虎、陈振宁、石长宏、马永贵、许升全 (2014). 青海省发现两栖纲小鲵科无斑山溪鲵 动物学杂志, 49(3), 428-431 https://doi.org/10.13859/j.cjz.201403016"
DUP009,2,Batrachuperus karlschmidti,青海,1840,2014,removed_later_duplicate,1839,"丁义晶、王贵虎、陈振宁、石长宏、马永贵、许升全 (2014). 青海省发现两栖纲小鲵科无斑山溪鲵 动物学杂志, 49(3), 428-431 https://doi.org/10.13859/j.cjz.201403016"
DUP010,2,Boiga stoliczkae,西藏,999,2023,retained；同最早年多条，保留行序最先者，需人工裁定,999,Unknown Author (2023). Biodiversity Data Journal 12: e123669 doi: 10. Biodiversity Data Journal https://doi.org/10.3897/BDJ.12.e123669
