"order_grp","province_grp","year_f","n_records","flow_id","province_in_shuffle"
"Squamata","Zhejiang","2022",1,101,0.444033863022923
"Squamata","Zhejiang","2022",1,102,0.949366777669638
"Squamata","Zhejiang","2022",1,103,0.452483371365815
"Squamata","Zhejiang","2017",1,104,0.190625803545117
"Squamata","Zhejiang","2017",1,105,0.991609149612486
"Squamata","Zhejiang","2015",1,106,0.548455447657034
"Squamata","Zhejiang","Pre-2000",1,107,0.768815767019987
"Squamata","Sichuan","2025",1,108,0.913421672768891
"Squamata","Sichuan","2023",1,109,0.682112002046779
"Squamata","Sichuan","2021",1,110,0.407251420430839
"Squamata","Sichuan","2021",1,111,0.40759229939431
"Squamata","Sichuan","2018",1,112,0.14608279033564
"Squamata","Sichuan","2017",1,113,0.196667714044452
"Squamata","Sichuan","2014",1,114,0.192209339467809
"Squamata","Sichuan","2009",1,115,0.408414400648326
"Squamata","Sichuan","2005",1,116,0.348221306223422
"Squamata","Sichuan","2003",1,117,0.834542848402634
"Squamata","Sichuan","2003",1,118,0.198400007095188
"Squamata","Sichuan","2001",1,119,0.861805309541523
"Squamata","Anhui","2024",1,120,0.397185310255736
"Squamata","Anhui","2023",1,121,0.153253766940907
"Squamata","Anhui","2023",1,122,0.339283383218572
"Squamata","Anhui","2021",1,123,0.367180439643562
"Squamata","Anhui","2015",1,124,0.427379082888365
"Squamata","Anhui","2013",1,125,0.186336904298514
"Squamata","Anhui","2003",1,126,0.658016600413248
"Squamata","Anhui","2002",1,127,0.920411381172016
"Squamata","Anhui","2000",1,128,0.733894062694162
"Squamata","Hubei","2024",1,129,0.882319271564484
"Squamata","Hubei","2023",1,130,0.953346531139687
"Squamata","Hubei","2023",1,131,0.194901535054669
"Squamata","Hubei","2019",1,132,0.472616735380143
"Squamata","Hubei","2019",1,133,0.386050655972213
"Squamata","Hubei","2018",1,134,0.374165857210755
"Squamata","Hubei","2013",1,135,0.0278556565754116
"Squamata","Hubei","2008",1,136,0.929355211788788
"Squamata","Hubei","2005",1,137,0.410529275657609
"Squamata","Henan","2024",1,138,0.95584021601826
"Squamata","Henan","2018",1,139,0.272152840159833
"Squamata","Henan","2013",1,140,0.517246493836865
"Squamata","Henan","2013",1,141,0.978309842292219
"Squamata","Henan","2012",1,142,0.369696486275643
"Squamata","Henan","2010",1,143,0.310430439189076
"Squamata","Henan","2006",1,144,0.0342096325475723
"Squamata","Henan","2006",1,145,0.667565847514197
"Squamata","Fujian","2025",1,146,0.920916376868263
"Squamata","Fujian","2025",1,147,0.0449895979836583
"Squamata","Fujian","2024",1,148,0.201132631860673
"Squamata","Fujian","2022",1,149,0.743514884263277
"Squamata","Fujian","2022",1,150,0.130556831136346
"Squamata","Fujian","2003",1,151,0.708883593790233
"Squamata","Fujian","2003",1,152,0.998831811361015
"Squamata","Jiangxi","2025",1,153,0.943913046037778
"Squamata","Jiangxi","2018",1,154,0.592903899028897
"Squamata","Jiangxi","2017",1,155,0.731295636389405
"Squamata","Jiangxi","2015",1,156,0.486734175588936
"Squamata","Jiangxi","2013",1,157,0.76815199595876
"Squamata","Jiangxi","2009",1,158,0.00314546236768365
"Squamata","Jiangxi","2008",1,159,0.557941298233345
"Squamata","Chongqing","2025",1,160,0.460255289217457
"Squamata","Chongqing","2023",1,161,0.329715145053342
"Squamata","Chongqing","2004",1,162,0.835475627332926
"Squamata","Chongqing","2004",1,163,0.977701663039625
"Squamata","Chongqing","2004",1,164,0.660514947259799
"Squamata","Chongqing","2004",1,165,0.233574859565124
"Squamata","Xizang","2023",1,166,0.819200420286506
"Squamata","Xizang","2022",1,167,0.724684895016253
"Squamata","Xizang","2021",1,168,0.976357153151184
"Squamata","Xizang","2019",1,169,0.26511302869767
"Squamata","Xizang","2003",1,170,0.878820042591542
"Squamata","Xizang","2003",1,171,0.487889212323353
"Squamata","Liaoning","2023",1,172,0.3054682854563
"Squamata","Liaoning","2023",1,173,0.395096998894587
"Squamata","Liaoning","2014",1,174,0.759339716052637
"Squamata","Liaoning","Pre-2000",1,175,0.10080164228566
"Squamata","Shandong","2002",1,176,0.421359690371901
"Squamata","Shandong","2002",1,177,0.657764247618616
"Squamata","Shandong","2002",1,178,0.29526409204118
"Squamata","Shandong","2002",1,179,0.205986499786377
"Squamata","Shandong","Pre-2000",1,180,0.00214671180583537
"Squamata","Xinjiang","2024",1,181,0.10784267866984
"Squamata","Xinjiang","2024",1,182,0.214867021888494
"Squamata","Xinjiang","2024",1,183,0.115153673803434
"Squamata","Xinjiang","2014",1,184,0.687159431632608
"Squamata","Gansu","2023",1,185,0.193272230215371
"Squamata","Gansu","2023",1,186,0.984921893337741
"Squamata","Gansu","2019",1,187,0.94703797576949
"Squamata","Gansu","2016",1,188,0.6917069691699
"Squamata","Beijing","2013",1,189,0.739891943521798
"Squamata","Beijing","2012",1,190,0.732440298423171
"Squamata","Beijing","2005",1,191,0.652598443906754
"Squamata","Hainan","2023",1,192,0.167046306887642
"Squamata","Hainan","2023",1,193,0.923180858138949
"Squamata","Hainan","2022",1,194,0.564604845829308
"Squamata","Shaanxi","2021",1,195,0.536495635285974
"Squamata","Shaanxi","2019",1,196,0.0188437472097576
"Squamata","Shaanxi","2014",1,197,0.366399627644569
"Squamata","Jiangsu","2024",1,198,0.686242274474353
"Squamata","Jiangsu","2021",1,199,0.416628723265603
"Squamata","Shanghai","2025",1,200,0.757026246283203
"Squamata","Shanghai","2018",1,201,0.775794867891818
"Squamata","Hebei","2001",1,202,0.5735870199278
"Squamata","Hong Kong","2025",1,203,0.188698792597279
"Squamata","Inner Mongolia","2010",1,204,0.758265333948657
"Squamata","Shanxi","2019",1,205,0.0926830929238349
"Squamata","Tianjin","2012",1,206,0.62235852656886
"Testudines","Guizhou","Pre-2000",1,207,0.415913201635703
"Testudines","Liaoning","Pre-2000",1,208,0.776510870549828
"Testudines","Xinjiang","2019",1,209,0.807802801951766
