"order_grp","province_grp","year_f","n_records","flow_id","province_in_shuffle"
"Anura","Henan","2011",1,135,0.914316909620538
"Anura","Henan","2011",1,136,0.467792333336547
"Anura","Henan","2011",1,137,0.908169145463035
"Anura","Henan","2011",1,138,0.597743283724412
"Anura","Henan","2010",1,139,0.631742815952748
"Anura","Henan","2005",1,140,0.869158318731934
"Anura","Henan","2003",1,141,0.502749822568148
"Anura","Jiangxi","2019",1,142,0.983635114738718
"Anura","Jiangxi","2017",1,143,0.324386027408764
"Anura","Jiangxi","2013",1,144,0.481374948518351
"Anura","Jiangxi","2013",1,145,0.356987077509984
"Anura","Jiangxi","2013",1,146,0.627477684058249
"Anura","Jiangxi","2013",1,147,0.741600190522149
"Anura","Jiangxi","2013",1,148,0.56596681731753
"Anura","Jiangxi","2008",1,149,0.980786506552249
"Anura","Anhui","2025",1,150,0.576812735525891
"Anura","Anhui","2023",1,151,0.43904205178842
"Anura","Anhui","Pre-2000",1,152,0.228599695023149
"Anura","Fujian","2025",1,153,0.0821580656338483
"Anura","Fujian","2025",1,154,0.850264921784401
"Anura","Fujian","2022",1,155,0.234661261551082
"Anura","Fujian","2019",1,156,0.988167446805164
"Anura","Fujian","2019",1,157,0.601897545857355
"Anura","Zhejiang","2024",1,158,0.998740808106959
"Anura","Zhejiang","2023",1,159,0.37559937662445
"Anura","Zhejiang","2011",1,160,0.555126630933955
"Anura","Zhejiang","2007",1,161,0.429443962872028
"Anura","Gansu","2024",1,162,0.575877780793235
"Anura","Gansu","2021",1,163,0.432507397374138
"Anura","Gansu","2013",1,164,0.224845763994381
"Anura","Gansu","Pre-2000",1,165,0.0849847376812249
"Anura","Jiangsu","2024",1,166,0.637298259651288
"Anura","Jiangsu","2024",1,167,0.431016370421275
"Anura","Jiangsu","2024",1,168,0.072716093622148
"Anura","Jiangsu","2018",1,169,0.802402019267902
"Anura","Shaanxi","2025",1,170,0.325278303353116
"Anura","Shaanxi","2023",1,171,0.757289035012946
"Anura","Shaanxi","2022",1,172,0.584271517349407
"Anura","Shaanxi","2010",1,173,0.708839406725019
"Anura","Qinghai","2024",1,174,0.426975766429678
"Anura","Qinghai","2015",1,175,0.343572702025995
"Anura","Jilin","2016",1,176,0.759119985159487
"Anura","Jilin","2005",1,177,0.424030208028853
"Anura","Liaoning","2022",1,178,0.560887253843248
"Anura","Liaoning","2022",1,179,0.116135774413124
"Anura","Sichuan","2025",1,180,0.303021797677502
"Anura","Sichuan","2023",1,181,0.478802685858682
"Anura","Hainan","2008",1,182,0.344830546760932
"Anura","Inner Mongolia","2017",1,183,0.600714140105993
"Anura","Ningxia","2024",1,184,0.076083323219791
"Anura","Shandong","2024",1,185,0.955992611125112
"Anura","Shanghai","2015",1,186,0.0222068231087178
"Anura","Xinjiang","2005",1,187,0.841710632434115
"Caudata","Yunnan","2021",1,188,0.632442448753864
"Caudata","Yunnan","2018",1,189,0.310094165150076
"Caudata","Yunnan","2017",1,190,0.742569366237149
"Caudata","Guangxi","2024",1,191,0.638911313610151
"Caudata","Guangxi","2002",1,192,0.992515987250954
"Caudata","Guangdong","2024",1,193,0.128269788343459
"Caudata","Hubei","2011",1,194,0.883239577757195
"Caudata","Hubei","2010",1,195,0.810083387885243
"Caudata","Hubei","2010",1,196,0.821851178305224
"Caudata","Chongqing","2004",1,197,0.834702662425116
"Caudata","Chongqing","2004",1,198,0.732732220552862
"Caudata","Henan","2010",1,199,0.983044024324045
"Caudata","Anhui","2023",1,200,0.639204582665116
"Caudata","Anhui","Pre-2000",1,201,0.660754634300247
"Caudata","Zhejiang","2019",1,202,0.528359377989545
"Caudata","Qinghai","2014",1,203,0.317493821494281
