table,species,field,value,matched_name,via
events,Tropidophorus sinicus,CHINA_RED_LIST,LC,Tropidophorus sinicus,拉丁名精确(现行名)
events,Calotes versicolor,CHINA_RED_LIST,LC,Calotes versicolor,拉丁名精确(发表名)
events,Pareas hamptoni,CHINA_RED_LIST,NT,Pareas hamptoni,拉丁名精确(现行名)
events,Pareas stanleyi,CHINA_RED_LIST,LC,Pareas stanleyi,拉丁名精确(现行名)
events,Lycodon fasciatus,CHINA_RED_LIST,LC,Lycodon fasciatus,拉丁名精确(现行名)
events,Ptyas nigromarginata,CHINA_RED_LIST,NT,Ptyas nigromarginata,拉丁名精确(现行名)
events,Psammodynastes pulverulentus,CHINA_RED_LIST,LC,Psammodynastes pulverulentus,拉丁名精确(现行名)
events,Plagiopholis styani,CHINA_RED_LIST,LC,Plagiopholis styani,拉丁名精确(现行名)
events,Tropidophorus berdmorei,CHINA_RED_LIST,LC,Tropidophorus berdmorei,拉丁名精确(现行名)
events,Yaotriton asperrimus,CHINA_RED_LIST,NT,Yaotriton asperrimus,拉丁名精确(现行名)
events,Yaotriton asperrimus,Protection,二级（原名“细痣疣螈”）,Yaotriton asperrimus,拉丁名精确(现行名)
events,Boulenophrys boettgeri,CHINA_RED_LIST,LC,Boulenophrys boettgeri,拉丁名精确(现行名)
events,Boulenophrys brachykolos,CHINA_RED_LIST,VU,Boulenophrys brachykolos,拉丁名精确(现行名)
events,Tylototriton ziegleri,CHINA_RED_LIST,DD,Tylototriton ziegleri,拉丁名精确(现行名)
events,Tylototriton ziegleri,Protection,二级,Yaotriton ziegleri,种加词词干
events,Protobothrops dabieshanensis,CHINA_RED_LIST,NT,Protobothrops dabieshanensis,拉丁名精确(现行名)
events,Torrentophryne cryptotympanicus,CHINA_RED_LIST,NT,Torrentophryne cryptotympanicus,拉丁名精确(现行名)
events,Odorrana lungshengensis,CHINA_RED_LIST,NT,Odorrana lungshengensis,拉丁名精确(现行名)
events,Hebius vibakari,CHINA_RED_LIST,VU,Hebius vibakari,拉丁名精确(现行名)
events,Sibynophis chinensis,CHINA_RED_LIST,LC,Sibynophis chinensis,拉丁名精确(现行名)
events,Eremias brenchleyi,CHINA_RED_LIST,LC,Eremias brenchleyi,拉丁名精确(现行名)
events,Diploderma batangense,CHINA_RED_LIST,VU,Diploderma batangense,拉丁名精确(现行名)
events,Diploderma batangense,Protection,二级,Diploderma batangense,拉丁名精确(现行名)
events,Diploderma micangshanense,CHINA_RED_LIST,LC,Diploderma micangshanense,拉丁名精确(现行名)
events,Batrachuperus karlschmidti,CHINA_RED_LIST,VU,Batrachuperus karlschmidti,拉丁名精确(现行名)
events,Batrachuperus karlschmidti,Protection,二级,Batrachuperus karlschmidti,拉丁名精确(现行名)
events,Scincella modesta,CHINA_RED_LIST,LC,Scincella modesta,拉丁名精确(现行名)
events,Oligodon lungshenensis,CHINA_RED_LIST,NT,Oligodon lungshenensis,拉丁名精确(现行名)
events,Sibynophis chinensis,CHINA_RED_LIST,LC,Sibynophis chinensis,拉丁名精确(现行名)
events,Paramegophrys alpinus,CHINA_RED_LIST,EN,Paramegophrys alpinus,拉丁名精确(现行名)
events,Boulenophrys jingdongensis,CHINA_RED_LIST,NT,Xenophrys jingdongensis,中文名精确
events,Protobothrops xiangchengensis,CHINA_RED_LIST,VU,Protobothrops xiangchengensis,拉丁名精确(现行名)
events,Achalinus rufescens,CHINA_RED_LIST,LC,Achalinus rufescens,拉丁名精确(现行名)
events,Achalinus spinalis,CHINA_RED_LIST,LC,Achalinus spinalis,拉丁名精确(现行名)
events,Rana johnsi,CHINA_RED_LIST,LC,Rana johnsi,拉丁名精确(现行名)
events,Lycodon ruhstrati,CHINA_RED_LIST,LC,Lycodon ruhstrati,拉丁名精确(现行名)
events,Paramegophrys tengchongensis,CHINA_RED_LIST,LC,Paramegophrys tengchongensis,拉丁名精确(现行名)
events,Rhacophorus rhodopus,CHINA_RED_LIST,LC,Rhacophorus rhodopus,拉丁名精确(现行名)
events,Elaphe carinata,CHINA_RED_LIST,VU,Elaphe carinata,拉丁名精确(现行名)
events,Ptyas major,CHINA_RED_LIST,LC,Cyclophiops major,拉丁名精确(发表名)
events,Paramesotriton chinensis,CHINA_RED_LIST,NT,Paramesotriton chinensis,拉丁名精确(现行名)
events,Paramesotriton chinensis,Protection,二级,Paramesotriton chinensis,拉丁名精确(现行名)
events,Paramesotriton caudopunctatus,CHINA_RED_LIST,VU,Paramesotriton caudopunctatus,拉丁名精确(现行名)
events,Paramesotriton caudopunctatus,Protection,二级,Paramesotriton caudopunctatus,拉丁名精确(现行名)
events,Boiga kraepelini,CHINA_RED_LIST,LC,Boiga kraepelini,拉丁名精确(现行名)
events,Lycodon fasciatus,CHINA_RED_LIST,LC,Lycodon fasciatus,拉丁名精确(现行名)
events,Lycodon ruhstrati,CHINA_RED_LIST,LC,Lycodon ruhstrati,拉丁名精确(现行名)
events,Plagiopholis styani,CHINA_RED_LIST,LC,Plagiopholis styani,拉丁名精确(现行名)
events,Yaotriton asperrimus,CHINA_RED_LIST,NT,Yaotriton asperrimus,拉丁名精确(现行名)
events,Yaotriton asperrimus,Protection,二级（原名“细痣疣螈”）,Yaotriton asperrimus,拉丁名精确(现行名)
events,Zhangixalus nigropunctatus,CHINA_RED_LIST,NT,Rhacophorus nigropunctatus,拉丁名精确(发表名)
events,Boulenophrys acuta,CHINA_RED_LIST,EN,Xenophrys acuta,中文名精确
events,Testudo horsfieldii,CHINA_RED_LIST,CR,Testudo horsfieldii,拉丁名精确(现行名)
events,Testudo horsfieldii,Protection,一级,Testudo horsfieldi,拉丁名精确(现行名)
events,Rana hanluica,CHINA_RED_LIST,NT,Rana hanluica,拉丁名精确(现行名)
events,Protobothrops cornutus,CHINA_RED_LIST,EN,Protobothrops cornutus,拉丁名精确(现行名)
events,Protobothrops cornutus,Protection,二级,Protobothrops cornutus,拉丁名精确(现行名)
events,Amolops sinensis,CHINA_RED_LIST,LC,Amolops sinensis,拉丁名精确(现行名)
events,Boulenophrys sangzhiensis,CHINA_RED_LIST,EN,Xenophrys sangzhiensis,中文名精确
events,Oligodon lungshenensis,CHINA_RED_LIST,NT,Oligodon lungshenensis,拉丁名精确(现行名)
events,Gloydius intermedius,CHINA_RED_LIST,NT,Gloydius intermedius,拉丁名精确(现行名)
events,Scincella huanrenensis,CHINA_RED_LIST,VU,Scincella huanrenensis,拉丁名精确(现行名)
events,Scincella huanrenensis,Protection,二级,Scincella huanrenensis,拉丁名精确(现行名)
events,Alsophylax przewalskii,CHINA_RED_LIST,VU,Alsophylax przewalskii,拉丁名精确(现行名)
events,Sphenomorphus incognitus,CHINA_RED_LIST,LC,Sphenomorphus incognitus,拉丁名精确(现行名)
events,Lycodon futsingensis,CHINA_RED_LIST,LC,Lycodon futsingensis,拉丁名精确(现行名)
events,Paramegophrys ventripunctatus,CHINA_RED_LIST,LC,Paramegophrys ventripunctatus,拉丁名精确(现行名)
events,Azemiops feae,CHINA_RED_LIST,VU,Azemiops feae,拉丁名精确(现行名)
events,Sphenomorphus incognitus,CHINA_RED_LIST,LC,Sphenomorphus incognitus,拉丁名精确(现行名)
events,Sphenomorphus incognitus,CHINA_RED_LIST,LC,Sphenomorphus incognitus,拉丁名精确(现行名)
events,Xenophrys medogensis,CHINA_RED_LIST,EN,Xenophrys medogensis,拉丁名精确(现行名)
events,Takydromus septentrionalis,CHINA_RED_LIST,LC,Takydromus septentrionalis,拉丁名精确(现行名)
events,Zhangixalus lishuiensis,CHINA_RED_LIST,NT,Rhacophorus lishuiensis,拉丁名精确(发表名)
events,Odorrana yizhangensis,CHINA_RED_LIST,NT,Odorrana yizhangensis,拉丁名精确(现行名)
events,Hemidactylus garnotii,CHINA_RED_LIST,LC,Hemidactylus garnotii,拉丁名精确(现行名)
events,Amolops chunganensis,CHINA_RED_LIST,LC,Amolops chunganensis,拉丁名精确(现行名)
events,Bamburana tormota,CHINA_RED_LIST,LC,Bamburana tormota,拉丁名精确(现行名)
events,Odorrana yizhangensis,CHINA_RED_LIST,NT,Odorrana yizhangensis,拉丁名精确(现行名)
events,Sibynophis chinensis,CHINA_RED_LIST,LC,Sibynophis chinensis,拉丁名精确(现行名)
events,Odorrana wuchuanensis,CHINA_RED_LIST,VU,Odorrana wuchuanensis,拉丁名精确(现行名)
events,Odorrana wuchuanensis,Protection,二级,Odorrana wuchuanensis,拉丁名精确(现行名)
events,Pareas stanleyi,CHINA_RED_LIST,LC,Pareas stanleyi,拉丁名精确(现行名)
events,Sphenomorphus maculatus,CHINA_RED_LIST,LC,Sphenomorphus maculatus,拉丁名精确(现行名)
events,Sphenomorphus maculatus,CHINA_RED_LIST,LC,Sphenomorphus maculatus,拉丁名精确(现行名)
events,Trimeresurus popeiorum,CHINA_RED_LIST,LC,Popeia popeorum,中文名精确
events,Bamburana tormota,CHINA_RED_LIST,LC,Bamburana tormota,拉丁名精确(现行名)
events,Rana hanluica,CHINA_RED_LIST,NT,Rana hanluica,拉丁名精确(现行名)
events,Tropidophorus hainanus,CHINA_RED_LIST,LC,Tropidophorus hainanus,拉丁名精确(现行名)
events,Lycodon fasciatus,CHINA_RED_LIST,LC,Lycodon fasciatus,拉丁名精确(现行名)
events,Lycodon futsingensis,CHINA_RED_LIST,LC,Lycodon futsingensis,拉丁名精确(现行名)
events,Lycodon futsingensis,CHINA_RED_LIST,LC,Lycodon futsingensis,拉丁名精确(现行名)
events,Lycodon futsingensis,CHINA_RED_LIST,LC,Lycodon futsingensis,拉丁名精确(现行名)
events,Rana sangzhiensis,CHINA_RED_LIST,LC,Pseudorana sangzhiensis,中文名精确
events,Opisthotropis zhaoermii,CHINA_RED_LIST,LC,Opisthotropis zhaoermii,拉丁名精确(现行名)
events,Theloderma gordoni,CHINA_RED_LIST,DD,Theloderma gordoni,拉丁名精确(现行名)
events,Paramesotriton chinensis,CHINA_RED_LIST,NT,Paramesotriton chinensis,拉丁名精确(现行名)
events,Paramesotriton chinensis,Protection,二级,Paramesotriton chinensis,拉丁名精确(现行名)
events,Gonyosoma frenatum,CHINA_RED_LIST,LC,Gonyosoma frenatum,拉丁名精确(现行名)
events,Elaphe moellendorffi,CHINA_RED_LIST,VU,Elaphe moellendorffi,拉丁名精确(现行名)
events,Liurana medogensis,CHINA_RED_LIST,LC,Liurana medogensis,拉丁名精确(现行名)
events,Hebius bitaeniatum,CHINA_RED_LIST,NT,Hebius bitaeniatus,中文名精确
events,Bamburana tormota,CHINA_RED_LIST,LC,Bamburana tormota,拉丁名精确(现行名)
events,Rana hanluica,CHINA_RED_LIST,NT,Rana hanluica,拉丁名精确(现行名)
events,Odorrana lungshengensis,CHINA_RED_LIST,NT,Odorrana lungshengensis,拉丁名精确(现行名)
events,Amolops chunganensis,CHINA_RED_LIST,LC,Amolops chunganensis,拉丁名精确(现行名)
events,Tropidophorus hainanus,CHINA_RED_LIST,LC,Tropidophorus hainanus,拉丁名精确(现行名)
events,Hebius bitaeniatum,CHINA_RED_LIST,NT,Hebius bitaeniatus,中文名精确
events,Odorrana huanggangensis,CHINA_RED_LIST,LC,Odorrana huanggangensis,拉丁名精确(现行名)
events,Amolops sinensis,CHINA_RED_LIST,LC,Amolops sinensis,拉丁名精确(现行名)
events,Amolops chayuensis,CHINA_RED_LIST,NT,Amolops chayuensis,拉丁名精确(现行名)
events,Microhyla heymonsi,CHINA_RED_LIST,LC,Microhyla heymonsi,拉丁名精确(现行名)
events,Rana longicus,CHINA_RED_LIST,LC,Rana longicus,拉丁名精确(现行名)
events,Takydromus kuehnei,CHINA_RED_LIST,LC,Takydromus kuehnei,拉丁名精确(现行名)
events,Achalinus yunkaiensis,CHINA_RED_LIST,LC,Achalinus yunkaiensis,拉丁名精确(现行名)
events,Quasipaa robertingeri,CHINA_RED_LIST,VU,Quasipaa robertingeri,拉丁名精确(现行名)
events,Odorrana hejiangensis,CHINA_RED_LIST,NT,Odorrana hejiangensis,拉丁名精确(现行名)
events,Odorrana kuangwuensis,CHINA_RED_LIST,VU,Odorrana kuangwuensis,拉丁名精确(现行名)
events,Odorrana nanjiangensis,CHINA_RED_LIST,NT,Odorrana nanjiangensis,拉丁名精确(现行名)
events,Odorrana wuchuanensis,CHINA_RED_LIST,VU,Odorrana wuchuanensis,拉丁名精确(现行名)
events,Odorrana wuchuanensis,Protection,二级,Odorrana wuchuanensis,拉丁名精确(现行名)
events,Teratoscincus przewalskii,CHINA_RED_LIST,NT,Teratoscincus przewalskii,拉丁名精确(现行名)
new_species,Goniurosaurus yingdeensis,CHINA_RED_LIST,CR,Goniurosaurus yingdeensis,拉丁名精确(现行名)
new_species,Goniurosaurus yingdeensis,Protection,二级,Goniurosaurus yingdeensis,拉丁名精确(现行名)
new_species,Boulenophrys ombrophila,CHINA_RED_LIST,NT,Xenophrys ombrophila,中文名精确
new_species,Xenophrys lishuiensis,CHINA_RED_LIST,LC,Xenophrys lishuiensis,拉丁名精确(发表名)
new_species,Rana coreana,CHINA_RED_LIST,VU,Rana coreana,拉丁名精确(现行名)
new_species,Gloydius lijianlii,CHINA_RED_LIST,VU,Gloydius lijianlii,拉丁名精确(现行名)
new_species,Nasutixalus medogensis,CHINA_RED_LIST,DD,Nasutixalus medogensis,拉丁名精确(现行名)
new_species,Cynops fudingensis,CHINA_RED_LIST,VU,Cynops fudingensis,拉丁名精确(现行名)
new_species,Cyrtodactylus tibetanus,CHINA_RED_LIST,LC,Cyrtodactylus tibetanus,拉丁名精确(现行名)
new_species,Diploderma splendidum,CHINA_RED_LIST,LC,Diploderma splendidum,拉丁名精确(现行名)
new_species,Yerana yei,CHINA_RED_LIST,VU,Yerana yei,拉丁名精确(现行名)
new_species,Yerana yei,Protection,二级,Yerana yei,拉丁名精确(现行名)
new_species,Pseudohynobius jinfo,CHINA_RED_LIST,CR,Pseudohynobius jinfo,拉丁名精确(现行名)
new_species,Pseudohynobius jinfo,Protection,二级,Pseudohynobius jinfo,拉丁名精确(现行名)
new_species,Diploderma vela,CHINA_RED_LIST,VU,Diploderma vela,拉丁名精确(现行名)
new_species,Diploderma vela,Protection,二级,Diploderma vela,拉丁名精确(现行名)
new_species,Kurixalus yangi,CHINA_RED_LIST,DD,Kurixalus yangi,拉丁名精确(现行名)
new_species,Paramesotriton maolanensis,CHINA_RED_LIST,DD,Paramesotriton maolanensis,拉丁名精确(现行名)
new_species,Paramesotriton maolanensis,Protection,二级,Paramesotriton maolanensis,拉丁名精确(现行名)
new_species,Rana dabieshanensis,CHINA_RED_LIST,LC,Rana dabieshanensis,拉丁名精确(现行名)
new_species,Scutiger tengchongensis,CHINA_RED_LIST,LC,Scutiger tengchongensis,拉丁名精确(现行名)
new_species,Amolops mengdingensis,CHINA_RED_LIST,LC,Amolops mengdingensis,拉丁名精确(现行名)
new_species,Liurana vallecula,CHINA_RED_LIST,NT,Liurana vallecula,拉丁名精确(现行名)
new_species,Boulenophrys binlingensis,CHINA_RED_LIST,NT,Xenophrys binlingensis,中文名精确
new_species,Acanthosaura tongbiguanensis,CHINA_RED_LIST,DD,Acanthosaura tongbiguanensis,拉丁名精确(现行名)
new_species,Elaphe zoigeensis,CHINA_RED_LIST,LC,Elaphe zoigeensis,拉丁名精确(现行名)
new_species,Feirana kangxianensis,CHINA_RED_LIST,VU,Feirana kangxianensis,拉丁名精确(现行名)
new_species,Boulenophrys lishuiensis,CHINA_RED_LIST,LC,Xenophrys lishuiensis,中文名精确
new_species,Pseudohynobius guizhouensis,CHINA_RED_LIST,DD,Pseudohynobius guizhouensis,拉丁名精确(现行名)
new_species,Pseudohynobius guizhouensis,Protection,二级,Pseudohynobius guizhouensis,拉丁名精确(现行名)
new_species,Pachytriton inexpectatus,CHINA_RED_LIST,VU,Pachytriton inexpectatus,拉丁名精确(现行名)
new_species,Pachytriton feii,CHINA_RED_LIST,NT,Pachytriton feii,拉丁名精确(现行名)
new_species,Zhangixalus lishuiensis,CHINA_RED_LIST,NT,Rhacophorus lishuiensis,拉丁名精确(发表名)
new_species,Gekko kwangsiensis,CHINA_RED_LIST,DD,Gekko kwangsiensis,拉丁名精确(现行名)
new_species,Gekko kwangsiensis,Protection,二级,Goniurosaurus kwangsiensis,种加词词干
new_species,Gracixalus jinggangensis,CHINA_RED_LIST,DD,Gracixalus jinggangensis,拉丁名精确(现行名)
new_species,Gracixalus nonggangensis,CHINA_RED_LIST,NT,Gracixalus nonggangensis,拉丁名精确(现行名)
new_species,Hebius boulengeri,CHINA_RED_LIST,LC,Hebius boulengeri,拉丁名精确(现行名)
new_species,Diploderma swild,CHINA_RED_LIST,NT,Diploderma swild,拉丁名精确(现行名)
new_species,Diploderma dymondi,CHINA_RED_LIST,LC,Diploderma dymondi,拉丁名精确(现行名)
new_species,Amolops xinduqiao,CHINA_RED_LIST,LC,Amolops xinduqiao,拉丁名精确(现行名)
new_species,Raorchestes cangyuanensis,CHINA_RED_LIST,LC,Raorchestes cangyuanensis,拉丁名精确(发表名)
new_species,Boulenophrys liboensis,CHINA_RED_LIST,DD,Xenophrys liboensis,拉丁名精确(发表名)
new_species,Leptobrachium tengchongense,CHINA_RED_LIST,DD,Leptobrachium tengchongense,拉丁名精确(现行名)
new_species,Paramesotriton aurantius,CHINA_RED_LIST,NT,Paramesotriton aurantius,拉丁名精确(现行名)
new_species,Paramesotriton aurantius,Protection,二级,Paramesotriton aurantius,拉丁名精确(现行名)
new_species,Paramegophrys tengchongensis,CHINA_RED_LIST,LC,Paramegophrys tengchongensis,拉丁名精确(现行名)
new_species,Jingophrys feii,CHINA_RED_LIST,DD,Boulenophrys feii,中文名精确
new_species,Laudakia papenfussi,CHINA_RED_LIST,VU,Laudakia papenfussi,拉丁名精确(现行名)
new_species,Microhyla dabieshanensis,CHINA_RED_LIST,LC,Rana dabieshanensis,种加词词干
new_species,Odorrana fengkaiensis,CHINA_RED_LIST,LC,Odorrana fengkaiensis,拉丁名精确(现行名)
new_species,Protohynobius puxiongensis,CHINA_RED_LIST,CR,Protohynobius puxiongensis,拉丁名精确(现行名)
new_species,Protohynobius puxiongensis,Protection,一级,Hynobius puxiongensis,中文名精确
new_species,Paramegophrys laui,CHINA_RED_LIST,NT,Paramegophrys laui,拉丁名精确(现行名)
new_species,Rana luanchuanensis,CHINA_RED_LIST,DD,Rana luanchuanensis,拉丁名精确(现行名)
new_species,Amolops yunkaiensis,CHINA_RED_LIST,NT,Amolops yunkaiensis,拉丁名精确(现行名)
new_species,Paramesotriton yunwuensis,CHINA_RED_LIST,EN,Paramesotriton yunwuensis,拉丁名精确(现行名)
new_species,Paramesotriton yunwuensis,Protection,二级,Paramesotriton yunwuensis,拉丁名精确(现行名)
new_species,Zhangixalus minimus,CHINA_RED_LIST,NT,Rhacophorus minimus,拉丁名精确(发表名)
new_species,Scutiger spinosus,CHINA_RED_LIST,NT,Scutiger spinosus,拉丁名精确(现行名)
new_species,Takydromus yunkaiensis,CHINA_RED_LIST,LC,Takydromus yunkaiensis,拉丁名精确(现行名)
new_species,Yaotriton broadoridgus,CHINA_RED_LIST,NT,Yaotriton broadoridgus,拉丁名精确(现行名)
new_species,Yaotriton broadoridgus,Protection,二级,Yaotriton broadoridgus,拉丁名精确(现行名)
new_species,Vibrissaphora promustache,CHINA_RED_LIST,EN,Vibrissaphora promustache,拉丁名精确(现行名)
new_species,Vibrissaphora promustache,Protection,二级,Vibrissaphora promustache,拉丁名精确(现行名)
new_species,Onychodactylus zhaoermii,CHINA_RED_LIST,CR,Onychodactylus zhaoermii,拉丁名精确(现行名)
new_species,Onychodactylus zhaoermii,Protection,一级,Onychodactylus zhaoermii,拉丁名精确(现行名)
new_species,Pachytriton wuguanfui,CHINA_RED_LIST,NT,Pachytriton wuguanfui,拉丁名精确(现行名)
new_species,Boulenophrys acuta,CHINA_RED_LIST,EN,Xenophrys acuta,中文名精确
new_species,Boulenophrys obesa,CHINA_RED_LIST,DD,Xenophrys obesa,中文名精确
new_species,Zhangixalus hongchibaensis,CHINA_RED_LIST,EN,Rhacophorus hongchibaensis,拉丁名精确(发表名)
new_species,Zhangixalus hongchibaensis,Protection,二级,Rhacophorus hongchibaensis,拉丁名精确(发表名)
new_species,Zhangixalus wui,CHINA_RED_LIST,NT,Rhacophorus wui,拉丁名精确(发表名)
new_species,Zhangixalus omeimontis,CHINA_RED_LIST,LC,Rhacophorus dugritei,拉丁名精确(发表名)
new_species,Gracixalus guangdongensis,CHINA_RED_LIST,LC,Gracixalus guangdongensis,拉丁名精确(现行名)
new_species,Kaloula nonggangensis,CHINA_RED_LIST,LC,Kaloula nonggangensis,拉丁名精确(现行名)
new_species,Amolops wenshanensis,CHINA_RED_LIST,LC,Amolops wenshanensis,拉丁名精确(现行名)
new_species,Microhyla fanjingshanensis,CHINA_RED_LIST,LC,Microhyla fanjingshanensis,拉丁名精确(现行名)
new_species,Boulenophrys tuberogranulatus,CHINA_RED_LIST,VU,Boulenophrys tuberogranulatus,拉丁名精确(现行名)
new_species,Amolops shuichengicus,CHINA_RED_LIST,LC,Amolops shuichengicus,拉丁名精确(现行名)
new_species,Rana johnsi,CHINA_RED_LIST,LC,Rana johnsi,拉丁名精确(现行名)
new_species,Paramegophrys maoershanensis,CHINA_RED_LIST,LC,Paramegophrys maoershanensis,拉丁名精确(现行名)
new_species,Oreolalax longmenmontis,CHINA_RED_LIST,NT,Oreolalax longmenmontis,拉丁名精确(现行名)
new_species,Gekko gecko,CHINA_RED_LIST,CR,Gekko gecko,拉丁名精确(现行名)
new_species,Gekko gecko,Protection,二级,Gekko gecko,拉丁名精确(现行名)
new_species,Onychodactylus zhangyapingi,CHINA_RED_LIST,EN,Onychodactylus zhangyapingi,拉丁名精确(现行名)
new_species,Onychodactylus zhangyapingi,Protection,二级,Onychodactylus zhangyapingi,拉丁名精确(现行名)
new_species,Nidirana guangdongensis,CHINA_RED_LIST,LC,Nidirana guangdongensis,拉丁名精确(现行名)
new_species,Nidirana mangveni,CHINA_RED_LIST,LC,Nidirana mangveni,拉丁名精确(现行名)
new_species,Nidirana xiangica,CHINA_RED_LIST,LC,Nidirana xiangica,拉丁名精确(现行名)
new_species,Indotyphlops lazelli,CHINA_RED_LIST,CR,Indotyphlops lazelli,拉丁名精确(现行名)
new_species,Indotyphlops lazelli,Protection,二级,Indotyphlops lazelli,拉丁名精确(现行名)
new_species,Feihyla fuhua,CHINA_RED_LIST,NT,Feihyla fuhua,拉丁名精确(现行名)
new_species,Odorrana nanjiangensis,CHINA_RED_LIST,NT,Odorrana nanjiangensis,拉丁名精确(现行名)
new_species,Odorrana yizhangensis,CHINA_RED_LIST,NT,Odorrana yizhangensis,拉丁名精确(现行名)
new_species,Limnonectes bannaensis,CHINA_RED_LIST,VU,Limnonectes bannaensis,拉丁名精确(现行名)
new_species,Boulenophrys xianjuensis,CHINA_RED_LIST,DD,Xenophrys xianjuensis,中文名精确
new_species,Odorrana lipuensis,CHINA_RED_LIST,VU,Odorrana lipuensis,拉丁名精确(现行名)
new_species,Boulenophrys dongguanensis,CHINA_RED_LIST,NT,Xenophrys dongguanensis,中文名精确
new_species,Boulenophrys nankunensis,CHINA_RED_LIST,NT,Xenophrys nankunensis,中文名精确
new_species,Boulenophrys nanlingensis,CHINA_RED_LIST,LC,Xenophrys nanlingensis,中文名精确
new_species,Boulenophrys jiulianensis,CHINA_RED_LIST,LC,Xenophrys jiulianensis,中文名精确
new_species,Boulenophrys wugongensis,CHINA_RED_LIST,LC,Xenophrys wugongensis,中文名精确
new_species,Boulenophrys mufumontana,CHINA_RED_LIST,LC,Xenophrys mufumontana,中文名精确
new_species,Rana wuyiensis,CHINA_RED_LIST,LC,Amolops wuyiensis,种加词词干
new_species,Paramegophrys yunkaiensis,CHINA_RED_LIST,LC,Paramegophrys yunkaiensis,拉丁名精确(现行名)
new_species,Paramegophrys wuhuangmontis,CHINA_RED_LIST,LC,Paramegophrys wuhuangmontis,拉丁名精确(现行名)
new_species,Leptobrachella bijie,CHINA_RED_LIST,LC,Paramegophrys bijie,种加词词干
new_species,Leptobrachella purpuraventra,CHINA_RED_LIST,DD,Paramegophrys purpuraventra,种加词词干
new_species,Raorchestes menglaensis,CHINA_RED_LIST,VU,Raorchestes menglaensis,拉丁名精确(现行名)
new_species,Protobothrops dabieshanensis,CHINA_RED_LIST,NT,Protobothrops dabieshanensis,拉丁名精确(现行名)
new_species,Diploderma slowinskii,CHINA_RED_LIST,LC,Diploderma slowinskii,拉丁名精确(现行名)
new_species,Cynops glaucus,CHINA_RED_LIST,VU,Cynops glaucus,拉丁名精确(现行名)
new_species,Tylototriton maolanensis,CHINA_RED_LIST,DD,Paramesotriton maolanensis,种加词词干
new_species,Tylototriton maolanensis,Protection,二级,Paramesotriton maolanensis,种加词词干
new_species,Boulenophrys leishanensis,CHINA_RED_LIST,LC,Boulenophrys leishanensis,拉丁名精确(现行名)
new_species,Boulenophrys leishanensis,Protection,二级,Vibrissaphora leishanensis,种加词词干
new_species,Microhyla beilunensis,CHINA_RED_LIST,LC,Microhyla beilunensis,拉丁名精确(现行名)
new_species,Thermophis shangrila,CHINA_RED_LIST,EN,Thermophis shangrila,拉丁名精确(现行名)
new_species,Thermophis shangrila,Protection,一级,Thermophis shangrila,拉丁名精确(现行名)
new_species,Trimeresurus yingjiangensis,CHINA_RED_LIST,NT,Popeia yingjiangensis,种加词词干
new_species,Protobothrops himalayanus,CHINA_RED_LIST,NT,Protobothrops himalayanus,拉丁名精确(现行名)
new_species,Yaotriton anhuiensis,CHINA_RED_LIST,VU,Yaotriton anhuiensis,拉丁名精确(现行名)
new_species,Yaotriton anhuiensis,Protection,二级,Yaotriton anhuiensis,拉丁名精确(现行名)
new_species,Brachytarsophrys platyparietus,CHINA_RED_LIST,LC,Brachytarsophrys platyparietus,拉丁名精确(现行名)
new_species,Brachytarsophrys orientalis,CHINA_RED_LIST,LC,Megophrys orientalis,中文名精确
new_species,Sinomicrurus houi,CHINA_RED_LIST,NT,Sinomicrurus houi,拉丁名精确(发表名)
new_species,Gracixalus tianlinensis,CHINA_RED_LIST,DD,Gracixalus tianlinensis,拉丁名精确(现行名)
new_species,Zhangixalus pinglongensis,CHINA_RED_LIST,DD,Rhacophorus pinglongensis,拉丁名精确(发表名)
new_species,Zhangixalus zhoukaiyae,CHINA_RED_LIST,NT,Rhacophorus zhoukaiyae,拉丁名精确(发表名)
new_species,Gloydius angusticeps,CHINA_RED_LIST,NT,Gloydius angusticeps,拉丁名精确(现行名)
new_species,Thermophis zhaoermii,CHINA_RED_LIST,EN,Thermophis zhaoermii,拉丁名精确(现行名)
new_species,Thermophis zhaoermii,Protection,一级,Thermophis zhaoermii,拉丁名精确(现行名)
new_species,Hebius optatum,CHINA_RED_LIST,LC,Hebius optatus,拉丁名精确(发表名)
new_species,Lycodon rufozonatus,CHINA_RED_LIST,LC,Lycodon rufozonatus,拉丁名精确(现行名)
new_species,Amolops chunganensis,CHINA_RED_LIST,LC,Amolops chunganensis,拉丁名精确(现行名)
new_species,Amolops sinensis,CHINA_RED_LIST,LC,Amolops sinensis,拉丁名精确(现行名)
new_species,Gracixalus yunnanensis,CHINA_RED_LIST,LC,Gracixalus yunnanensis,拉丁名精确(现行名)
new_species,Nidirana yaoica,CHINA_RED_LIST,DD,Nidirana yaoica,拉丁名精确(现行名)
new_species,Protobothrops jerdonii,CHINA_RED_LIST,LC,Protobothrops jerdonii,拉丁名精确(现行名)
new_species,Hynobius fuca,CHINA_RED_LIST,EN,Hynobius fuca,拉丁名精确(现行名)
new_species,Hynobius fuca,Protection,二级,Hynobius fucus,中文名精确
new_species,Hynobius glacialis,CHINA_RED_LIST,EN,Hynobius glacialis,拉丁名精确(现行名)
new_species,Hynobius glacialis,Protection,二级,Hynobius glacialis,拉丁名精确(现行名)
