species,IUCN_category,gbif_matched_name,gbif_match_type,query_used
Hemiphyllodactylus hongkongensis,NT,"Hemiphyllodactylus hongkongensis Sung, Lee, Ng, Zhang & Yang, 2018",EXACT,Hemiphyllodactylus hongkongensis
Hemiphyllodactylus simaoensis,NE,"Hemiphyllodactylus Bleeker, 1860",HIGHERRANK,Hemiphyllodactylus simaoensis
Hemiphyllodactylus sp. nov. 1,NE,"Hemiphyllodactylus Bleeker, 1860",HIGHERRANK,Hemiphyllodactylus sp. nov. 1
Hemiphyllodactylus sp. nov. 2,NE,"Hemiphyllodactylus Bleeker, 1860",HIGHERRANK,Hemiphyllodactylus sp. nov. 2
Hemiphyllodactylus sp. nov. 3,NE,"Hemiphyllodactylus Bleeker, 1860",HIGHERRANK,Hemiphyllodactylus sp. nov. 3
Hemiphyllodactylus typus,LC,"Hemiphyllodactylus typus Bleeker, 1860",EXACT,Hemiphyllodactylus typus
Hemiphyllodactylus yunnanensis,LC,"Hemiphyllodactylus yunnanensis (Boulenger, 1903)",EXACT,Hemiphyllodactylus yunnanensis
Herpetoreas abros,NE,"Herpetoreas Günther, 1860",HIGHERRANK,Herpetoreas abros
Hoplobatrachus litoralis,LC,"Hoplobatrachus litoralis Hasan, Kuramoto, Islam, Alam, Khan & Sumida, 2012",EXACT,Hoplobatrachus litoralis
Hyla tsinlingensis,LC,"Hyla tsinlingensis Liu & Hu, 1966",EXACT,Hyla tsinlingensis
Hylarana taipehensis,LC,"Hylarana taipehensis (Van Denburgh, 1909)",EXACT,Hylarana taipehensis
Hynobius amjiensis,EN,"Hynobius amjiensis Gu, 1992",EXACT,Hynobius amjiensis
Hynobius bambusicolus,NE,"Hynobius Tschudi, 1838",HIGHERRANK,Hynobius bambusicolus
Hynobius fuca,NT,"Hynobius fucus Lai & Lue, 2008",FUZZY,Hynobius fuca
Hynobius glacialis,CR,"Hynobius glacialis Lai & Lue, 2008",EXACT,Hynobius glacialis
Hynobius maoershanensis,CR,"Hynobius maoershanensis Zhou, Jiang & Jiang, 2006",EXACT,Hynobius maoershanensis
Hynobius sp. nov.,NE,"Hynobius Tschudi, 1838",HIGHERRANK,Hynobius sp. nov.
Hynobius yunanicus,VU,"Hynobius yunanicus Chen, Qu & Niu, 2001",EXACT,Hynobius yunanicus
Ichthyophis yangi,NE,Chordata,HIGHERRANK,Ichthyophis yangi
Indotyphlops lazelli,CR,"Indotyphlops lazelli (Wallach & Pauwels, 2004)",EXACT,Indotyphlops lazelli
Ingerophrynus ledongensis,NT,"Ingerophrynus ledongensis (Fei, Ye & Huang, 2009)",EXACT,Ingerophrynus ledongensis
Jingophrys feii,NT,"Megophrys feii Yang, Wang & Wang, 2018",EXACT,Megophrys feii
Jingophrys yeae,NE,Animalia,HIGHERRANK,Jingophrys yeae
Jingophrys zhoui,NE,Animalia,HIGHERRANK,Jingophrys zhoui
Kaloula borealis,LC,"Kaloula borealis (Barbour, 1908)",EXACT,Kaloula borealis
Kaloula nonggangensis,DD,"Kaloula nonggangensis Mo, Zhang, Zhou, Chen, Tang, Meng & Chen, 2013",EXACT,Kaloula nonggangensis
Kurixalus berylliniris,DD,"Kurixalus berylliniris Wu, Huang, Tsai, Li, Jhang & Wu, 2016",EXACT,Kurixalus berylliniris
Kurixalus hainanus,LC,"Kurixalus hainanus (Zhao, Wang & Shi, 2005)",EXACT,Kurixalus hainanus
Kurixalus inexpectatus,LC,"Kurixalus inexpectatus Messenger, Yang, Borzée, Chuang & Othman, 2022",EXACT,Kurixalus inexpectatus
Kurixalus lenquanensis,NT,"Kurixalus lenquanensis Yu, Wang, Hou, Rao & Yang, 2017",EXACT,Kurixalus lenquanensis
Kurixalus qionglaiensis,NE,"Kurixalus Ye, Fei & Dubois, 1999",HIGHERRANK,Kurixalus qionglaiensis
Kurixalus raoi,NE,Kurixalus raoi,EXACT,Kurixalus raoi
Kurixalus wangi,DD,"Kurixalus wangi Wu, Huang, Tsai, Li, Jhang & Wu, 2016",EXACT,Kurixalus wangi
Kurixalus yangi,LC,"Kurixalus yangi Yu, Hui, Rao & Yang, 2018",EXACT,Kurixalus yangi
Laudakia papenfussi,LC,"Laudakia papenfussi Zhao, 1998",EXACT,Laudakia papenfussi
Laudakia stoliczkana,LC,"Laudakia stoliczkana (Blanford, 1875)",EXACT,Laudakia stoliczkana
Lepidodactylus lugubris,LC,"Lepidodactylus lugubris (Duméril & Bibron, 1836)",EXACT,Lepidodactylus lugubris
Leptobrachella albomarginata,NE,"Leptobrachella Smith, 1925",HIGHERRANK,Leptobrachella albomarginata
Leptobrachella bashaensis,NE,"Leptobrachella bashaensis Lyu, Dai, Wei, He, Yuan, Shi, Zhou, Ran, Kuang, Guo, Wei & Yuan, 2020",EXACT,Leptobrachella bashaensis
Leptobrachella bijie,DD,"Leptobrachella bijie Wang, Li, Li, Chen & Wang, 2019",EXACT,Leptobrachella bijie
Leptobrachella chishuiensis,NE,"Leptobrachella chishuiensis Li, Liu, Wei & Wang, 2020",EXACT,Leptobrachella chishuiensis
Leptobrachella darongshanensis,NE,"Leptobrachella Smith, 1925",HIGHERRANK,Leptobrachella darongshanensis
Leptobrachella dayaoshanensis,NE,"Leptobrachella Smith, 1925",HIGHERRANK,Leptobrachella dayaoshanensis
Leptobrachella kungfu,NE,"Leptobrachella Smith, 1925",HIGHERRANK,Leptobrachella kungfu
Leptobrachella purpuraventra,DD,"Leptobrachella purpuraventra Wang, Li, Li, Chen & Wang, 2019",EXACT,Leptobrachella purpuraventra
Leptobrachella sp. nov. 1,NE,"Leptobrachella Smith, 1925",HIGHERRANK,Leptobrachella sp. nov. 1
Leptobrachella sp. nov. 2,NE,"Leptobrachella Smith, 1925",HIGHERRANK,Leptobrachella sp. nov. 2
Leptobrachella sp. nov. 3,NE,"Leptobrachella Smith, 1925",HIGHERRANK,Leptobrachella sp. nov. 3
Leptobrachella sungi,LC,"Leptobrachella sungi (Lathrop, Murphy, Orlov & Ho, 1998)",EXACT,Leptobrachella sungi
Leptobrachium banae,LC,"Leptobrachium banae Lathrop, Murphy, Orlov & Ho, 1998",EXACT,Leptobrachium banae
Leptobrachium bompu,LC,"Leptobrachium bompu Sondhi & Ohler, 2011",EXACT,Leptobrachium bompu
Leptobrachium hainanense,VU,"Leptobrachium hainanense Ye & Fei, 1993",EXACT,Leptobrachium hainanense
Leptobrachium tengchongense,EN,"Leptobrachium tengchongense Yang, Wang & Chan, 2016",EXACT,Leptobrachium tengchongense
Leptolalax,,"Leptolalax Dubois, 1980",EXACT,Leptolalax
Limnonectes bannaensis,LC,"Limnonectes bannaensis Ye, Fei, Xie & Jiang, 2007",EXACT,Limnonectes bannaensis
Limnonectes longchuanensis,DD,"Limnonectes longchuanensis Suwannapoom, Yuan, Sullivan & McLeod, 2016",EXACT,Limnonectes longchuanensis
Limnonectes nguyenorum,NT,"Limnonectes nguyenorum McLeod, Kurlbaum & Hoang, 2015",EXACT,Limnonectes nguyenorum
Liuixalus feii,LC,"Liuixalus feii Yang, Rao & Wang, 2015",EXACT,Liuixalus feii
Liurana alpina,NT,"Liurana alpina Huang & Ye, 1997",EXACT,Liurana alpina
Liurana medogensis,LC,"Liurana medogensis Fei, Ye & Huang, 1997",EXACT,Liurana medogensis
Liurana menba,NE,"Liurana Dubois, 1987",HIGHERRANK,Liurana menba
Liurana namchabarwa,NE,"Liurana Dubois, 1987",HIGHERRANK,Liurana namchabarwa
Liurana vallecula,DD,"Liurana vallecula Jiang, Wang, Wang, Li & Che, 2019",EXACT,Liurana vallecula
Liurana xizangensis,VU,"Liurana xizangensis (Hu, 1977)",EXACT,Liurana xizangensis
Lycodon cathaya,LC,"Lycodon cathaya Wang, Qi, Lyu, Zeng & Wang, 2020",EXACT,Lycodon cathaya
Lycodon chapaensis,NE,"Lycodon chapaensis (Angel & Bourret, 1933)",EXACT,Lycodon chapaensis
Lycodon fasciatus,LC,"Lycodon fasciatus (Anderson, 1879)",EXACT,Lycodon fasciatus
Lycodon futsingensis,LC,"Lycodon futsingensis (Pope, 1928)",EXACT,Lycodon futsingensis
Lycodon gongshan,LC,"Lycodon gongshan Vogel & Luo, 2011",EXACT,Lycodon gongshan
Lycodon jara,LC,"Lycodon jara (Shaw, 1802)",EXACT,Lycodon jara
Lycodon liuchengchaoi,LC,"Lycodon liuchengchaoi Zhang, Jiang, Vogel & Rao, 2011",EXACT,Lycodon liuchengchaoi
Lycodon pictus,LC,"Lycodon pictus Janssen, Pham, Ngo, Le, Nguyen & Ziegler, 2019",EXACT,Lycodon pictus
Lycodon rufozonatus,LC,"Lycodon rufozonatus Cantor, 1842",EXACT,Lycodon rufozonatus
Lycodon ruhstrati,LC,"Lycodon ruhstrati (Fischer, 1886)",EXACT,Lycodon ruhstrati
Lycodon subcinctus,LC,"Lycodon subcinctus Boie, 1827",EXACT,Lycodon subcinctus
Lygosoma siamense,LC,"Lygosoma siamense Siler, Heitz, Davis, Freitas, Aowphol, Termprayoon & Grismer, 2018",EXACT,Lygosoma siamense
Microhyla beilunensis,CR,"Microhyla beilunensis Zhang, Fei, Ye, Wang, Wang & Jiang, 2018",EXACT,Microhyla beilunensis
Microhyla dabieshanensis,NE,"Microhyla Tschudi, 1838",HIGHERRANK,Microhyla dabieshanensis
Microhyla fanjingshanensis,NE,"Microhyla fanjingshanensis Li, Zhang, Xu, Lv, Jiang, Liu, Wei & Wang, 2019",EXACT,Microhyla fanjingshanensis
Microhyla fissipes,LC,"Microhyla fissipes Boulenger, 1884",EXACT,Microhyla fissipes
Microhyla heymonsi,LC,"Microhyla heymonsi Vogt, 1911",EXACT,Microhyla heymonsi
Microhyla hmongorum,NE,"Microhyla hmongorum Van Hoang, Nguyen, Phan, Pham, Ninh, Wang, Jiang, Ziegler & Nguyen, 2022",EXACT,Microhyla hmongorum
Microhyla mixtura,LC,"Microhyla mixtura Liu & Hu, 1966",EXACT,Microhyla mixtura
Micryletta hekouensis,NE,"Micryletta hekouensis Liu, Hou, Mo & Rao, 2021",EXACT,Micryletta hekouensis
Micryletta immaculata,NE,"Micryletta Dubois, 1987",HIGHERRANK,Micryletta immaculata
Micryletta inornata,LC,"Micryletta inornata (Boulenger, 1890)",EXACT,Micryletta inornata
Nanorana arunachalensis,VU,"Nanorana arunachalensis (Saikia, Sinha & Kharkongor, 2017)",EXACT,Nanorana arunachalensis
Nanorana huangi,NE,"Nanorana Günther, 1896",HIGHERRANK,Nanorana huangi
Nanorana laojunshanensis,NE,"Nanorana Günther, 1896",HIGHERRANK,Nanorana laojunshanensis
Nanorana pleskei,LC,"Nanorana pleskei Günther, 1896",EXACT,Nanorana pleskei
Nanorana sp. nov. (Clade A),NE,"Nanorana Günther, 1896",HIGHERRANK,Nanorana sp. nov. (Clade A)
Nanorana sp. nov. (Clade B),NE,"Nanorana Günther, 1896",HIGHERRANK,Nanorana sp. nov. (Clade B)
Nanorana xuelinensis,NE,"Nanorana xuelinensis Liu, Zhang & Rao, 2021",EXACT,Nanorana xuelinensis
Nasutixalus medogensis,DD,"Nasutixalus medogensis Jiang, Wang, Yan & Che, 2016",EXACT,Nasutixalus medogensis
Nasutixalus yingjiangensis,EN,"Nasutixalus yingjiangensis Yang & Chan, 2018",EXACT,Nasutixalus yingjiangensis
Nidirana chongqingensis,NE,"Nidirana Dubois, 1992",HIGHERRANK,Nidirana chongqingensis
Nidirana daunchina,LC,"Nidirana daunchina (Chang, 1933)",EXACT,Nidirana daunchina
Nidirana guangdongensis,NE,"Nidirana guangdongensis Lyu, Wan & YY Wang, 2020",EXACT,Nidirana guangdongensis
Nidirana guangxiensis,NE,"Nidirana guangxiensis Mo, Lyu, Huang, Liao & Wang, 2021",EXACT,Nidirana guangxiensis
Nidirana guibeiensis,NE,"Nidirana guibeiensis Chen, Ye, Peng & Li, 2022",EXACT,Nidirana guibeiensis
Nidirana leishanensis,NE,"Nidirana leishanensis Li, 2019",EXACT,Nidirana leishanensis
Nidirana mangveni,NE,"Nidirana mangveni Lyu, Qi & YY Wang, 2020",EXACT,Nidirana mangveni
Nidirana shiwandashanensis,NE,"Nidirana Dubois, 1992",HIGHERRANK,Nidirana shiwandashanensis
Nidirana shyhhuangi,NE,"Nidirana Dubois, 1992",HIGHERRANK,Nidirana shyhhuangi
Nidirana xiangica,NE,"Nidirana xiangica Lyu & YY Wang, 2020",EXACT,Nidirana xiangica
Nidirana yaoica,NE,"Nidirana yaoica Lyu, Mo, Wan, Li, Pang & Wang, 2019",EXACT,Nidirana yaoica
Occidozyga lingnanica,NE,"Occidozyga lingnanica Lyu & Wang, 2022",EXACT,Occidozyga lingnanica
Occidozyga shiwandashanensis,NE,"Occidozyga Kuhl & Van Hasselt, 1822",HIGHERRANK,Occidozyga shiwandashanensis
Odorrana bacboensis,LC,"Odorrana bacboensis (Bain, Lathrop, Murphy, Orlov & Ho, 2003)",EXACT,Odorrana bacboensis
Odorrana calciphila,NE,"Odorrana Fei, Ye & Huang, 1990",HIGHERRANK,Odorrana calciphila
Odorrana concelata,NE,"Odorrana concelata Wang, Zeng & Lin, 2022",EXACT,Odorrana concelata
Odorrana confusa,NE,"Odorrana Fei, Ye & Huang, 1990",HIGHERRANK,Odorrana confusa
Odorrana damingshanensis,NE,"Odorrana Fei, Ye & Huang, 1990",HIGHERRANK,Odorrana damingshanensis
Odorrana dulongensis,NE,"Odorrana dulongensis Liu, He, Wang, Beukema, Hou, Li, Che & Yuan, 2021",EXACT,Odorrana dulongensis
Odorrana fengkaiensis,LC,"Odorrana fengkaiensis Wang, Lau, Yang, Chen, Liu, Pang & Liu, 2015",EXACT,Odorrana fengkaiensis
Odorrana graminea,LC,"Odorrana graminea (Boulenger, 1900)",EXACT,Odorrana graminea
Odorrana hejiangensis,VU,"Odorrana hejiangensis (Deng & Yu, 1992)",EXACT,Odorrana hejiangensis
Odorrana huanggangensis,LC,"Odorrana huanggangensis Chen, Zhou & Zheng, 2010",EXACT,Odorrana huanggangensis
Odorrana jingdongensis,VU,"Odorrana jingdongensis Fei, Ye & Li, 2001",EXACT,Odorrana jingdongensis
Odorrana kuangwuensis,VU,"Odorrana kuangwuensis (Liu & Hu, 1966)",EXACT,Odorrana kuangwuensis
Odorrana kweichowensis,VU,"Odorrana kweichowensis Li, Xu, Lv, Jiang, Wei & Wang, 2018",EXACT,Odorrana kweichowensis
Odorrana leishanensis,NE,"Odorrana Fei, Ye & Huang, 1990",HIGHERRANK,Odorrana leishanensis
Odorrana liboensis,NE,"Odorrana Fei, Ye & Huang, 1990",HIGHERRANK,Odorrana liboensis
Odorrana lipuensis,VU,"Odorrana lipuensis Mo, Chen, Wu, Zhang & Zhou, 2015",EXACT,Odorrana lipuensis
Odorrana lungshengensis,LC,"Odorrana lungshengensis (Liu & Hu, 1962)",EXACT,Odorrana lungshengensis
Odorrana margaretae,LC,"Odorrana margaretae (Liu, 1950)",EXACT,Odorrana margaretae
Odorrana nanjiangensis,NT,"Odorrana nanjiangensis Fei, Ye, Xie & Jiang, 2007",EXACT,Odorrana nanjiangensis
Odorrana sangzhiensis,NE,"Odorrana sangzhiensis Zhang, Li, Hu & Yang, 2021",EXACT,Odorrana sangzhiensis
Odorrana schmackeri,LC,"Odorrana schmackeri (Boettger, 1892)",EXACT,Odorrana schmackeri
Odorrana tianmuii,LC,"Odorrana tianmuii Chen, Zhou & Zheng, 2010",EXACT,Odorrana tianmuii
Odorrana wuchuanensis,VU,"Odorrana wuchuanensis (Xu, 1983)",EXACT,Odorrana wuchuanensis
Odorrana yangi,NE,"Odorrana Fei, Ye & Huang, 1990",HIGHERRANK,Odorrana yangi
Odorrana yizhangensis,LC,"Odorrana yizhangensis Fei, Ye & Jiang, 2007",EXACT,Odorrana yizhangensis
Oligodon bellus,NE,Animalia,HIGHERRANK,Oligodon bellus
Oligodon bivirgatus,DD,"Oligodon bivirgatus Qian, Qi, Shi, Lu, Jenkins, Mo & Li, 2021",EXACT,Oligodon bivirgatus
Oligodon catenatus,LC,"Oligodon catenatus (Blyth, 1854)",EXACT,Oligodon catenatus
Oligodon formosanus,LC,"Oligodon formosanus (Günther, 1872)",EXACT,Oligodon formosanus
Oligodon guizhouensis,NE,"Oligodon guizhouensis Li, 1989",EXACT,Oligodon guizhouensis
Oligodon hamptoni,DD,"Oligodon hamptoni Boulenger, 1918",EXACT,Oligodon hamptoni
Oligodon lungshenensis,NT,"Oligodon lungshenensis Zheng & Huang, 1978",EXACT,Oligodon lungshenensis
Oligodon zhangfujii,NE,Animalia,HIGHERRANK,Oligodon zhangfujii
Onychodactylus koreanus,LC,"Onychodactylus koreanus Min, Poyarkov & Vieites, 2012",EXACT,Onychodactylus koreanus
Onychodactylus nipponoborealis,LC,"Onychodactylus nipponoborealis Kuro-o, Poyarkov & Vieites, 2012",EXACT,Onychodactylus nipponoborealis
Onychodactylus zhangyapingi,DD,"Onychodactylus zhangyapingi Che, Poyarkov & Yan, 2012",EXACT,Onychodactylus zhangyapingi
Onychodactylus zhaoermii,NT,"Onychodactylus zhaoermii Che, Poyarkov & Yan, 2012",EXACT,Onychodactylus zhaoermii
Opisthotropis haihaensis,NE,"Opisthotropis haihaensis Ziegler, Pham, Nguyen, Nguyen, Wang, Wang, Stuart & Le, 2019",EXACT,Opisthotropis haihaensis
Opisthotropis hungtai,LC,"Opisthotropis hungtai Wang, Lyu, Zeng, Lin, Yang, Nguyen, Le, Ziegler & Wang, 2020",EXACT,Opisthotropis hungtai
Opisthotropis shenzhenensis,EN,"Opisthotropis shenzhenensis Wang, Guo, Liu, Lyu, Wang, Luo, Sun & Zhang, 2017",EXACT,Opisthotropis shenzhenensis
Opisthotropis zhaoermii,LC,"Opisthotropis zhaoermii Ren, Wang, Jiang, Guo & Li, 2017",EXACT,Opisthotropis zhaoermii
Oreolalax longmenmontis,NE,"Oreolalax longmenmontis Hou, Shi, Hu, Deng, Jiang, Xie & Wang, 2020",EXACT,Oreolalax longmenmontis
Oreolalax rhodostigmatus,VU,"Oreolalax rhodostigmatus Hu & Fei, 1979",EXACT,Oreolalax rhodostigmatus
Oreolalax yanyuanensis,NE,"Oreolalax Myers & Leviton, 1962",HIGHERRANK,Oreolalax yanyuanensis
Orientocoluber spinalis,LC,"Orientocoluber spinalis (Peters, 1866)",EXACT,Orientocoluber spinalis
Ovophis jenkinsi,NE,"Ovophis Burger, 1981",HIGHERRANK,Ovophis jenkinsi
Ovophis monticola,LC,"Ovophis monticola (Günther, 1864)",EXACT,Ovophis monticola
Ovophis sp. nov.,NE,"Ovophis Burger, 1981",HIGHERRANK,Ovophis sp. nov.
Ovophis tonkinensis,LC,"Ovophis tonkinensis (Bourret, 1934)",EXACT,Ovophis tonkinensis
Ovophis zayuensis,LC,"Ovophis zayuensis (Jiang, 1977)",EXACT,Ovophis zayuensis
Paa rostandi,LC,"Paa rostandi (Dubois, 1974)",EXACT,Paa rostandi
Pachytriton changi,EN,"Pachytriton changi Nishikawa, Matsui & Jiang, 2012",EXACT,Pachytriton changi
Pachytriton cheni,EN,"Pachytriton changi Nishikawa, Matsui & Jiang, 2012",FUZZY,Pachytriton cheni
Pachytriton feii,VU,"Pachytriton feii Nishikawa, Jiang & Matsui, 2011",EXACT,Pachytriton feii
Pachytriton granulosus,LC,"Pachytriton granulosus Chang, 1933",EXACT,Pachytriton granulosus
Pachytriton inexpectatus,LC,"Pachytriton inexpectatus Nishikawa, Jiang, Matsui & Mo, 2011",EXACT,Pachytriton inexpectatus
Pachytriton wuguanfui,EN,"Pachytriton wuguanfui Yuan, Zhang & Che, 2016",EXACT,Pachytriton wuguanfui
Parafimbrios lao,NE,"Parafimbrios lao Teynié, David, Lottier, Le, Vidal & Nguyen, 2015",EXACT,Parafimbrios lao
Paramegophrys alpinus,NT,"Leptolalax alpinus Fei, Ye & Li, 1990",EXACT,Leptolalax alpinus
Paramegophrys aspera,,"Paramegophrys Liu, 1964",HIGHERRANK,Paramegophrys aspera
Paramegophrys bashaensis,,"Paramegophrys Liu, 1964",HIGHERRANK,Paramegophrys bashaensis
Paramegophrys chishuiensis,,"Paramegophrys Liu, 1964",HIGHERRANK,Paramegophrys chishuiensis
Paramegophrys damingshanensis,,"Paramegophrys Liu, 1964",HIGHERRANK,Paramegophrys damingshanensis
Paramegophrys dong,,"Paramegophrys Liu, 1964",HIGHERRANK,Paramegophrys dong
Paramegophrys dorsospina,,"Paramegophrys Liu, 1964",HIGHERRANK,Paramegophrys dorsospina
Paramegophrys dushanensis,,"Paramegophrys Liu, 1964",HIGHERRANK,Paramegophrys dushanensis
Paramegophrys guinanensis,,"Paramegophrys Liu, 1964",HIGHERRANK,Paramegophrys guinanensis
Paramegophrys jinshaensis,,"Paramegophrys Liu, 1964",HIGHERRANK,Paramegophrys jinshaensis
Paramegophrys jinyunensis,,"Paramegophrys Liu, 1964",HIGHERRANK,Paramegophrys jinyunensis
Paramegophrys laui,VU,"Leptolalax laui Sung, Yang & Wang, 2014",EXACT,Leptolalax laui
Paramegophrys maoershanensis,NT,"Leptolalax maoershanensis Yuan, Sun, Chen, Rowley & Che, 2017",EXACT,Leptolalax maoershanensis
Paramegophrys oshanensis,LC,"Leptolalax oshanensis (Liu, 1950)",EXACT,Leptolalax oshanensis
Paramegophrys sangi,LC,"Leptobrachella sungi (Lathrop, Murphy, Orlov & Ho, 1998)",EXACT,Leptobrachella sungi
Paramegophrys shimentaina,,"Paramegophrys Liu, 1964",HIGHERRANK,Paramegophrys shimentaina
Paramegophrys suiyangensis,,"Paramegophrys Liu, 1964",HIGHERRANK,Paramegophrys suiyangensis
Paramegophrys tengchongensis,EN,"Leptobrachella tengchongensis (Yang, Wang, Chen & Rao, 2016)",EXACT,Leptobrachella tengchongensis
Paramegophrys ventripunctatus,LC,"Leptobrachella ventripunctata (Fei, Ye & Li, 1990)",EXACT,Leptobrachella ventripunctata
Paramegophrys verrucosa,,"Paramegophrys Liu, 1964",HIGHERRANK,Paramegophrys verrucosa
Paramegophrys wuhuangmontis,DD,"Leptobrachella wuhuangmontis Wang, Yang & Wang, 2018",EXACT,Leptobrachella wuhuangmontis
Paramegophrys wumingensis,,"Paramegophrys Liu, 1964",HIGHERRANK,Paramegophrys wumingensis
Paramegophrys yeae,,"Paramegophrys Liu, 1964",HIGHERRANK,Paramegophrys yeae
Paramegophrys yunkaiensis,DD,"Leptobrachella yunkaiensis Wang, Li, Lyu & Wang, 2018",EXACT,Leptobrachella yunkaiensis
Paramegophrys yunyangensis,,"Paramegophrys Liu, 1964",HIGHERRANK,Paramegophrys yunyangensis
Paramesotriton aurantius,VU,"Paramesotriton aurantius Yuan, Wu, Zhou & Che, 2016",EXACT,Paramesotriton aurantius
Paramesotriton caudopunctatus,NT,"Paramesotriton caudopunctatus (Liu & Hu, 1973)",EXACT,Paramesotriton caudopunctatus
Paramesotriton chinensis,LC,"Paramesotriton chinensis (Gray, 1859)",EXACT,Paramesotriton chinensis
Paramesotriton chongqingensis,NE,"Paramesotriton Chang, 1935",HIGHERRANK,Paramesotriton chongqingensis
Paramesotriton deloustali,LC,"Paramesotriton deloustali (Bourret, 1934)",EXACT,Paramesotriton deloustali
Paramesotriton labiatus,CR,"Paramesotriton labiatus (Unterstein, 1930)",EXACT,Paramesotriton labiatus
Paramesotriton longliensis,VU,"Paramesotriton longliensis Li, Tian, Gu & Xiong, 2008",EXACT,Paramesotriton longliensis
Paramesotriton maolanensis,DD,"Paramesotriton maolanensis Gu, Chen, Tian, Li & Ran, 2012",EXACT,Paramesotriton maolanensis
Paramesotriton yunwuensis,EN,"Paramesotriton yunwuensis Wu, Jiang & Hanken, 2010",EXACT,Paramesotriton yunwuensis
Pareas baiseensis,NE,"Pareas Wagler, 1830",HIGHERRANK,Pareas baiseensis
Pareas boulengeri,LC,"Pareas boulengeri (Angel, 1920)",EXACT,Pareas boulengeri
Pareas dabieshanensis,NE,"Pareas Wagler, 1830",HIGHERRANK,Pareas dabieshanensis
Pareas geminatus,NE,"Pareas geminatus Ding, Chen, Suwannapoom, Nguyen, Pogarkov & Vogel, 2020",EXACT,Pareas geminatus
Pareas guanyinshanensis,NE,"Pareas Wagler, 1830",HIGHERRANK,Pareas guanyinshanensis
Pareas hamptoni,LC,"Pareas hamptoni (Boulenger, 1905)",EXACT,Pareas hamptoni
Pareas menglaensis,NE,"Pareas menglaensis Wang, Che, Liu, Ki, Jin, Jiang, Shi & Guo, 2020",EXACT,Pareas menglaensis
Pareas mengziensis,LC,"Pareas mengziensis Wang, Che, Liu, Ki, Jin, Jiang, Shi & Guo, 2020",EXACT,Pareas mengziensis
Pareas niger,LC,"Pareas niger Pope, 1928",EXACT,Pareas niger
Pareas orientalis,NE,"Pareas Wagler, 1830",HIGHERRANK,Pareas orientalis
Pareas sp. nov.,NE,"Pareas Wagler, 1830",HIGHERRANK,Pareas sp. nov.
Pareas stanleyi,DD,"Pareas stanleyi (Boulenger, 1914)",EXACT,Pareas stanleyi
Pareas xuelinensis,DD,"Pareas xuelinensis Liu & Rao, 2021",EXACT,Pareas xuelinensis
Pelophylax chosenicus,VU,"Pelophylax chosenicus (Okada, 1931)",EXACT,Pelophylax chosenicus
Pelophylax hubeiensis,LC,"Pelophylax hubeiensis (Fei & Ye, 1982)",EXACT,Pelophylax hubeiensis
Pelophylax mongolius,NE,"Pelophylax mongolicus (Schmidt, 1925) Zhou, He, Ma, Xu, Zhai, Guan, Wang & Shi, 2022",FUZZY,Pelophylax mongolius
Pelophylax nigromaculatus,LC,"Pelophylax nigromaculatus (Hallowell, 1861)",EXACT,Pelophylax nigromaculatus
Pelophylax plancyi,LC,"Pelophylax plancyi (Lataste, 1880)",EXACT,Pelophylax plancyi
Phrynocephalus forsythii,LC,"Phrynocephalus forsythii Anderson, 1872",EXACT,Phrynocephalus forsythii
Phrynocephalus kangsuensis,NE,"Phrynocephalus Kaup, 1825",HIGHERRANK,Phrynocephalus kangsuensis
Plagiopholis styani,LC,"Plagiopholis styani (Boulenger, 1899)",EXACT,Plagiopholis styani
Platysternon baiseensis,NE,"Platysternon Gray, 1831",HIGHERRANK,Platysternon baiseensis
Platysternon sp.,NE,"Platysternon Gray, 1831",HIGHERRANK,Platysternon sp.
Plestiodon capito,LC,"Plestiodon capito (Bocourt, 1879)",EXACT,Plestiodon capito
Plestiodon chinensis,LC,"Plestiodon chinensis (Gray, 1838)",EXACT,Plestiodon chinensis
Plestiodon elegans,LC,"Plestiodon elegans (Boulenger, 1887)",EXACT,Plestiodon elegans
Polypedates megacephalus,LC,"Polypedates megacephalus Hallowell, 1861",EXACT,Polypedates megacephalus
Polypedates mutus,LC,"Polypedates mutus (Smith, 1940)",EXACT,Polypedates mutus
Polypedates teraiensis,LC,"Polypedates teraiensis (Dubois, 1987)",EXACT,Polypedates teraiensis
Protobothrops cornutus,NT,"Protobothrops cornutus (Smith, 1930)",EXACT,Protobothrops cornutus
Protobothrops dabieshanensis,NE,"Protobothrops dabieshanensis Huang, Pan, Han, Zhang, Hou, Yu, Zheng & Zhang, 2012",EXACT,Protobothrops dabieshanensis
Protobothrops himalayanus,LC,"Protobothrops himalayanus Pan, Chettri, Yang, Jiang, Wang, Zhang & Vogel, 2013",EXACT,Protobothrops himalayanus
Protobothrops jerdonii,LC,"Protobothrops jerdonii (Günther, 1875)",EXACT,Protobothrops jerdonii
Protobothrops mucrosquamatus,LC,"Protobothrops mucrosquamatus (Cantor, 1839)",EXACT,Protobothrops mucrosquamatus
Protobothrops xiangchengensis,LC,"Protobothrops xiangchengensis (Zhao, Jiang & Huang, 1978)",EXACT,Protobothrops xiangchengensis
Protohynobius puxiongensis,CR,"Protohynobius puxiongensis Fei & Ye, 2000",EXACT,Protohynobius puxiongensis
Psammodynastes pulverulentus,LC,"Psammodynastes pulverulentus (Boie, 1827)",EXACT,Psammodynastes pulverulentus
