species,IUCN_category,gbif_matched_name,gbif_match_type,query_used
Boulenophrys boettgeri,LC,"Boulenophrys boettgeri (Boulenger, 1899)",EXACT,Boulenophrys boettgeri
Boulenophrys brachykolos,EN,"Boulenophrys brachykolos (Inger & Romer, 1961)",EXACT,Boulenophrys brachykolos
Boulenophrys caudoprocta,EN,"Megophrys caudoprocta Shen, 1994",EXACT,Megophrys caudoprocta
Boulenophrys chishuiensis,,"Boulenophrys Fei & Ye, 2016",HIGHERRANK,Boulenophrys chishuiensis
Boulenophrys congjiangensis,,"Boulenophrys Fei & Ye, 2016",HIGHERRANK,Boulenophrys congjiangensis
Boulenophrys dalaolingensis,,"Boulenophrys Fei & Ye, 2016",HIGHERRANK,Boulenophrys dalaolingensis
Boulenophrys daxuemontis,,"Boulenophrys Fei & Ye, 2016",HIGHERRANK,Boulenophrys daxuemontis
Boulenophrys dongguanensis,,"Boulenophrys Fei & Ye, 2016",HIGHERRANK,Boulenophrys dongguanensis
Boulenophrys elongata,,"Boulenophrys Fei & Ye, 2016",HIGHERRANK,Boulenophrys elongata
Boulenophrys fengshunensis,NE,"Boulenophrys fengshunensis Wang, Zeng, Lyu, Qi, Liu, Chen, Lu, Xiao, Lin, Chen & Wang, 2022",EXACT,Boulenophrys fengshunensis
Boulenophrys gaolanensis,,"Boulenophrys Fei & Ye, 2016",HIGHERRANK,Boulenophrys gaolanensis
Boulenophrys gutu,,"Boulenophrys Fei & Ye, 2016",HIGHERRANK,Boulenophrys gutu
Boulenophrys hengshanensis,,"Boulenophrys Fei & Ye, 2016",HIGHERRANK,Boulenophrys hengshanensis
Boulenophrys huangshanensis,LC,"Xenophrys huangshanensis (Fei & Ye, 2005)",EXACT,Xenophrys huangshanensis
Boulenophrys jingdongensis,LC,"Megophrys jingdongensis Fei & Ye, 1983",EXACT,Megophrys jingdongensis
Boulenophrys jiulianensis,,"Boulenophrys Fei & Ye, 2016",HIGHERRANK,Boulenophrys jiulianensis
Boulenophrys leishanensis,DD,"Megophrys leishanensis Li, Xu, Liu, Jiang, Wei & Wang, 2019",EXACT,Megophrys leishanensis
Boulenophrys liboensis,DD,"Xenophrys liboensis Zhang, Li, Xiao, Li, Pan, Wang, Zhang & Zhou, 2017",EXACT,Xenophrys liboensis
Boulenophrys lichun,,"Boulenophrys Fei & Ye, 2016",HIGHERRANK,Boulenophrys lichun
