species,IUCN_category,IUCN_category_raw,IUCN_scientific_name,IUCN_taxonID,IUCN_assessment_version,matched_via,query_used
Boulenophrys hengshanensis,,,,,,,
Boulenophrys huangshanensis,LC,Least Concern,Megophrys huangshanensis,61841,2020-1,IUCN异名映射,Xenophrys huangshanensis
Boulenophrys jingdongensis,LC,Least Concern,Megophrys jingdongensis,57639,2021-3,IUCN现行名精确,Megophrys jingdongensis
Boulenophrys jiulianensis,,,,,,,
Boulenophrys leishanensis,DD,Data Deficient,Megophrys leishanensis,145432634,2020-1,IUCN现行名精确,Megophrys leishanensis
Boulenophrys liboensis,DD,Data Deficient,Megophrys liboensis,121384357,2020-1,IUCN异名映射,Xenophrys liboensis
Boulenophrys lichun,,,,,,,
Boulenophrys lishuiensis,DD,Data Deficient,Megophrys lishuiensis,145402381,2022-2,IUCN异名映射,Boulenophrys lishuiensis
Boulenophrys meihuamontis,,,,,,,
Boulenophrys mirabilis,,,,,,,
Boulenophrys mufumontana,,,,,,,
Boulenophrys nankunensis,,,,,,,
Boulenophrys nanlingensis,,,,,,,
Boulenophrys nebulosa,,,,,,,
Boulenophrys obesa,CR,Critically Endangered,Megophrys obesa,78520054,2020-3,IUCN现行名精确,Megophrys obesa
Boulenophrys ombrophila,,,,,,,
Boulenophrys qianbeiensis,,,,,,,
Boulenophrys sangzhiensis,,,,,,,
Boulenophrys shimentaina,,,,,,,
Boulenophrys tuberogranulatus,,,,,,,
Boulenophrys wugongensis,,,,,,,
Boulenophrys wushanensis,,,,,,,
Boulenophrys xiangnanensis,,,,,,,
Boulenophrys xianjuensis,,,,,,,
Boulenophrys yangchunensis,,,,,,,
Boulenophrys yangmingensis,,,,,,,
Boulenophrys yunkaiensis,,,,,,,
Brachytarsophrys chuannanensis,NT,Near Threatened,Megophrys chuannanensis,57538,2020-2,IUCN异名映射,Brachytarsophrys chuannanensis
Brachytarsophrys feae,LC,Least Concern,Megophrys feae,57539,2017-2,IUCN异名映射,Brachytarsophrys feae
Brachytarsophrys orientalis,,,,,,,
Brachytarsophrys platyparietus,LC,Least Concern,Megophrys platyparietus,57541,2022-2,IUCN异名映射,Brachytarsophrys platyparietus
Brachytarsophrys wenshanensis,,,,,,,
Buergeria otai,LC,Least Concern,Buergeria otai,146057852,2021-1,IUCN现行名精确,Buergeria otai
Bufo bufo,LC,Least Concern,Bufo bufo,88316072,2023-1,IUCN现行名精确,Bufo bufo
Bufo exiguus,,,,,,,
Bufo rubroventromaculatus,,,,,,,
Bufo stejnegeri,LC,Least Concern,Bufo stejnegeri,54766,2020-1,IUCN现行名精确,Bufo stejnegeri
Bungarus fasciatus,LC,Least Concern,Bungarus fasciatus,192063,2013-1,IUCN现行名精确,Bungarus fasciatus
Bungarus suzhenae,,,,,,,
Calamaria arcana,DD,Data Deficient,Calamaria arcana,218641362,2024-1,IUCN现行名精确,Calamaria arcana
Calamaria jinggangensis,,,,,,,
Calamaria septentrionalis,LC,Least Concern,Calamaria septentrionalis,176631,2012-1,IUCN现行名精确,Calamaria septentrionalis
Calamaria synergis,,,,,,,
Calotes emma,LC,Least Concern,Calotes emma,99928931,2021-3,IUCN现行名精确,Calotes emma
Calotes irawadi,LC,Least Concern,Calotes irawadi,104635111,2018-2,IUCN现行名精确,Calotes irawadi
Calotes versicolor,LC,Least Concern,Calotes versicolor,164681,2021-3,IUCN现行名精确,Calotes versicolor
Calotes vindumbarbatus,,,,,,,
Calotes wangi,,,,,,,
Chelonia mydas,LC,Least Concern,Chelonia mydas,4615,2025-2,IUCN现行名精确,Chelonia mydas
Chirixalus doriae,LC,Least Concern,Chirixalus doriae,58787,2023-1,IUCN现行名精确,Chirixalus doriae
Chirixalus vittatus,LC,Least Concern,Rohanixalus vittatus,58797,2022-2,IUCN异名映射,Chirixalus vittatus
Cynops fudingensis,CR,Critically Endangered,Hypselotriton fudingensis,79075338,2020-3,IUCN异名映射,Cynops fudingensis
Cynops glaucus,CR,Critically Endangered,Hypselotriton glaucus,78516909,2020-3,IUCN异名映射,Cynops glaucus
Cynops huanggangensis,,,,,,,
Cynops jiaoren,,,,,,,
Cynops oolong,,,,,,,
Cyrtodactylus hekouensis,,,,,,,
Cyrtodactylus laevis,,,,,,,
Cyrtodactylus menglianensis,,,,,,,
Cyrtodactylus nangunhe,,,,,,,
Cyrtodactylus tibetanus,LC,Least Concern,Cyrtodactylus tibetanus,54507769,2019-3,IUCN现行名精确,Cyrtodactylus tibetanus
Cyrtodactylus zhenkangensis,,,,,,,
Dalianbatrachus mengi,,,,,,,
Dibamus bourreti,LC,Least Concern,Dibamus bourreti,177579,2019-3,IUCN现行名精确,Dibamus bourreti
Diploderma batangense,LC,Least Concern,Diploderma batangense,104664898,2019-3,IUCN现行名精确,Diploderma batangense
Diploderma bifluviale,,,,,,,
Diploderma bowoense,,,,,,,
Diploderma daduense,,,,,,,
Diploderma danbaense,,,,,,,
Diploderma daochengense,,,,,,,
Diploderma donglangense,,,,,,,
Diploderma drukdaypo,,,,,,,
Diploderma dymondi,LC,Least Concern,Diploderma dymondi,104667146,2019-3,IUCN现行名精确,Diploderma dymondi
Diploderma iadinum,NT,Near Threatened,Diploderma iadinum,104667767,2019-3,IUCN现行名精确,Diploderma iadinum
Diploderma jiulongense,,,,,,,
Diploderma kangdingense,,,,,,,
Diploderma limingense,,,,,,,
Diploderma micangshanense,LC,Least Concern,Diploderma micangshanensis,104670581,2019-2,同属词干,Diploderma micangshanense
Diploderma shuoquense,,,,,,,
Diploderma slowinskii,DD,Data Deficient,Diploderma slowinskii,130442281,2021-2,IUCN现行名精确,Diploderma slowinskii
Diploderma sp. nov.,,,,,,,
Diploderma sp. nov. 1,,,,,,,
Diploderma sp. nov. 2,,,,,,,
Diploderma sp. nov. 3,,,,,,,
Diploderma sp. nov. 4,,,,,,,
Diploderma sp. nov. 5,,,,,,,
Diploderma sp. nov. 6,,,,,,,
Diploderma splendidum,LC,Least Concern,Diploderma splendidum,104671095,2021-2,IUCN现行名精确,Diploderma splendidum
Diploderma swild,,,,,,,
Diploderma tachengense,,,,,,,
Diploderma vela,LC,Least Concern,Diploderma vela,104671586,2019-2,IUCN现行名精确,Diploderma vela
Diploderma xinlongense,,,,,,,
Diploderma yangi,,,,,,,
Diploderma yongshengense,,,,,,,
Diploderma yulongense,LC,Least Concern,Diploderma yulongense,104671817,2021-2,IUCN现行名精确,Diploderma yulongense
Dopasia harti,LC,Least Concern,Dopasia harti,99942213,2021-2,IUCN现行名精确,Dopasia harti
Duttaphrynus melanostictus,LC,Least Concern,Duttaphrynus melanostictus,54707,2023-1,IUCN现行名精确,Duttaphrynus melanostictus
Echinotriton sp. nov.,,,,,,,
Elaphe bimaculata,NT,Near Threatened,Elaphe bimaculata,192041,2024-1,IUCN现行名精确,Elaphe bimaculata
Elaphe carinata,LC,Least Concern,Elaphe carinata,192025,2021-2,IUCN现行名精确,Elaphe carinata
Elaphe moellendorffi,VU,Vulnerable,Elaphe moellendorffi,192040,2012-1,IUCN现行名精确,Elaphe moellendorffi
Elaphe porphyracea,,,,,,,
Elaphe xiphodonta,DD,Data Deficient,Elaphe xiphodonta,211835520,2024-1,IUCN现行名精确,Elaphe xiphodonta
Elaphe zoigeensis,LC,Least Concern,Elaphe zoigeensis,47024117,2024-1,IUCN现行名精确,Elaphe zoigeensis
Eremias brenchleyi,LC,Least Concern,Eremias brenchleyi,47755867,2019-3,IUCN现行名精确,Eremias brenchleyi
Eremias velox,LC,Least Concern,Eremias velox,157286,2019-3,IUCN现行名精确,Eremias velox
Eremias vermiculata,LC,Least Concern,Eremias vermiculata,47755971,2019-2,IUCN现行名精确,Eremias vermiculata
Eryx miliaris,LC,Least Concern,Eryx miliaris,157269,2021-2,IUCN现行名精确,Eryx miliaris
Euprepiophis perlaceus,EN,Endangered,Euprepiophis perlaceus,192132,2012-1,IUCN现行名精确,Euprepiophis perlaceus
Euspondylus oreades,DD,Data Deficient,Proctoporus oreades,48280339,2017-2,IUCN异名映射,Euspondylus oreades
Feihyla fuhua,LC,Least Concern,Feihyla fuhua,78500586,2020-2,IUCN现行名精确,Feihyla fuhua
Feirana kangxianensis,EN,Endangered,Nanorana kangxianensis,78520818,2022-2,IUCN异名映射,Feirana kangxianensis
Fejervarya limnocharis,LC,Least Concern,Fejervarya limnocharis,48886659,2023-1,IUCN现行名精确,Fejervarya limnocharis
Gekko alpinus,,,,,,,
Gekko bannaense,DD,Data Deficient,Gekko bannaense,101950693,2019-2,IUCN现行名精确,Gekko bannaense
Gekko gecko,LC,Least Concern,Gekko gecko,195309,2019-1,IUCN现行名精确,Gekko gecko
Gekko guishanicus,DD,Data Deficient,Gekko guishanicus,163715576,2021-2,IUCN现行名精确,Gekko guishanicus
Gekko ichangensis,,,,,,,
Gekko kaiyai,,,,,,,
Gekko kwangsiensis,DD,Data Deficient,Gekko kwangsiensis,114619098,2021-2,IUCN现行名精确,Gekko kwangsiensis
Gekko liui,,,,,,,
Gekko palmatus,LC,Least Concern,Gekko palmatus,104717713,2018-2,IUCN现行名精确,Gekko palmatus
Gekko paucituberculatus,,,,,,,
Gloydius angusticeps,,,,,,,
Gloydius cognatus,,,,,,,
Gloydius intermedius,LC,Least Concern,Gloydius intermedius,164696,2021-3,IUCN现行名精确,Gloydius intermedius
Gloydius lateralis,,,,,,,
Gloydius lijianlii,,,,,,,
Gloydius lipipengi,,,,,,,
Gloydius swild,,,,,,,
Gloydius variegatus,,,,,,,
Glyphoglossus huadianensis,,,,,,,
Glyphoglossus yunnanensis,LC,Least Concern,Glyphoglossus yunnanensis,57728,2022-1,IUCN现行名精确,Glyphoglossus yunnanensis
Goniurosaurus chengzheng,,,,,,,
Goniurosaurus gezhi,,,,,,,
Goniurosaurus gollum,,,,,,,
Goniurosaurus kadoorieorum,EN,Endangered,Goniurosaurus kadoorieorum,98392503,2021-2,IUCN现行名精确,Goniurosaurus kadoorieorum
Goniurosaurus kwangsiensis,EN,Endangered,Goniurosaurus kwangsiensis,98392603,2021-2,IUCN现行名精确,Goniurosaurus kwangsiensis
Goniurosaurus varius,,,,,,,
Goniurosaurus wangshu,,,,,,,
Goniurosaurus yingdeensis,CR,Critically Endangered,Goniurosaurus yingdeensis,18917797,2019-1,IUCN现行名精确,Goniurosaurus yingdeensis
Gonyosoma boulengeri,LC,Least Concern,Gonyosoma boulengeri,190628,2012-1,IUCN现行名精确,Gonyosoma boulengeri
Gonyosoma frenatum,LC,Least Concern,Gonyosoma frenatum,191929,2021-3,IUCN现行名精确,Gonyosoma frenatum
Gonyosoma prasinum,LC,Least Concern,Gonyosoma prasinum,192082,2021-3,IUCN现行名精确,Gonyosoma prasinum
Gracixalus gracilipes,LC,Least Concern,Gracixalus gracilipes,58848,2022-1,IUCN现行名精确,Gracixalus gracilipes
Gracixalus guangdongensis,LC,Least Concern,Gracixalus guangdongensis,145404677,2020-1,IUCN现行名精确,Gracixalus guangdongensis
Gracixalus jinggangensis,CR,Critically Endangered,Gracixalus jinggangensis,145404746,2022-2,IUCN现行名精确,Gracixalus jinggangensis
Gracixalus nonggangensis,EN,Endangered,Gracixalus nonggangensis,73726352,2021-3,IUCN现行名精确,Gracixalus nonggangensis
Gracixalus tianlinensis,DD,Data Deficient,Gracixalus tianlinensis,149237287,2020-1,IUCN现行名精确,Gracixalus tianlinensis
Gracixalus yunnanensis,LC,Least Concern,Gracixalus yunnanensis,153630718,2022-2,IUCN现行名精确,Gracixalus yunnanensis
Gynandropaa yunnanensis,,,,,,,
Hebius atemporale,DD,Data Deficient,Hebius atemporalis,192242,2016-1,IUCN异名映射,Hebius atemporale
Hebius bitaeniatum,LC,Least Concern,Hebius bitaeniatus,192039,2016-1,IUCN异名映射,Hebius bitaeniatum
Hebius boulengeri,LC,Least Concern,Hebius boulengeri,192130,2016-1,IUCN现行名精确,Hebius boulengeri
Hebius citrinoventer,,,,,,,
Hebius jingdongensis,,,,,,,
Hebius maximus,,,,,,,
Hebius optatum,LC,Least Concern,Hebius optatus,192153,2019-2,IUCN异名映射,Hebius optatum
Hebius sauteri,LC,Least Concern,Hebius sauteri,192114,2016-1,IUCN现行名精确,Hebius sauteri
Hebius shantianfangi,,,,,,,
Hebius vibakari,LC,Least Concern,Hebius vibakari,192162,2021-2,IUCN现行名精确,Hebius vibakari
Hebius vogeli,,,,,,,
Hebius youjiangensis,,,,,,,
Hemidactylus frenatus,LC,Least Concern,Hemidactylus frenatus,99156022,2021-3,IUCN现行名精确,Hemidactylus frenatus
Hemidactylus garnotii,LC,Least Concern,Hemidactylus garnotii,176157,2021-3,IUCN现行名精确,Hemidactylus garnotii
Hemidactylus tenkatei,LC,Least Concern,Hemidactylus tenkatei,18519958,2021-3,IUCN现行名精确,Hemidactylus tenkatei
Hemiphyllodactylus changningensis,LC,Least Concern,Hemiphyllodactylus changningensis,101949968,2021-2,IUCN现行名精确,Hemiphyllodactylus changningensis
Hemiphyllodactylus dushanensis,,,,,,,
Hemiphyllodactylus gengmaensis,,,,,,,
Hemiphyllodactylus hongkongensis,NT,Near Threatened,Hemiphyllodactylus hongkongensis,126299153,2021-2,IUCN现行名精确,Hemiphyllodactylus hongkongensis
Hemiphyllodactylus simaoensis,,,,,,,
Hemiphyllodactylus sp. nov. 1,,,,,,,
Hemiphyllodactylus sp. nov. 2,,,,,,,
Hemiphyllodactylus sp. nov. 3,,,,,,,
Hemiphyllodactylus typus,LC,Least Concern,Hemiphyllodactylus typus,172716,2021-3,IUCN现行名精确,Hemiphyllodactylus typus
Hemiphyllodactylus yunnanensis,LC,Least Concern,Hemiphyllodactylus yunnanensis,101950314,2019-3,IUCN现行名精确,Hemiphyllodactylus yunnanensis
Herpetoreas abros,,,,,,,
Hoplobatrachus litoralis,LC,Least Concern,Hoplobatrachus litoralis,48872375,2022-2,IUCN现行名精确,Hoplobatrachus litoralis
Hyla tsinlingensis,LC,Least Concern,Hyla tsinlingensis,55682,2020-1,IUCN现行名精确,Hyla tsinlingensis
Hylarana taipehensis,LC,Least Concern,Hylarana taipehensis,58730,2022-2,IUCN现行名精确,Hylarana taipehensis
Hynobius amjiensis,EN,Endangered,Hynobius amjiensis,59089,2021-3,IUCN现行名精确,Hynobius amjiensis
Hynobius bambusicolus,,,,,,,
Hynobius fuca,NT,Near Threatened,Hynobius fucus,78516708,2021-3,同属词干,Hynobius fuca
Hynobius glacialis,CR,Critically Endangered,Hynobius glacialis,78516799,2022-2,IUCN现行名精确,Hynobius glacialis
Hynobius maoershanensis,CR,Critically Endangered,Hynobius maoershanensis,135908,2020-2,IUCN现行名精确,Hynobius maoershanensis
Hynobius sp. nov.,,,,,,,
Hynobius yunanicus,VU,Vulnerable,Pachyhynobius shangchengensis,88383344,2020-2,IUCN异名映射,Hynobius yunanicus
Ichthyophis yangi,,,,,,,
Indotyphlops lazelli,CR,Critically Endangered,Indotyphlops lazelli,199780,2024-1,IUCN现行名精确,Indotyphlops lazelli
Ingerophrynus ledongensis,NT,Near Threatened,Ingerophrynus ledongensis,195401,2020-1,IUCN现行名精确,Ingerophrynus ledongensis
Jingophrys feii,NT,Near Threatened,Megophrys feii,150087273,2020-2,IUCN现行名精确,Megophrys feii
Jingophrys yeae,,,,,,,
Jingophrys zhoui,,,,,,,
Kaloula borealis,LC,Least Concern,Kaloula borealis,57849,2020-1,IUCN现行名精确,Kaloula borealis
Kaloula nonggangensis,DD,Data Deficient,Kaloula nonggangensis,73727058,2020-1,IUCN现行名精确,Kaloula nonggangensis
Kurixalus berylliniris,DD,Data Deficient,Kurixalus berylliniris,186872850,2022-1,IUCN现行名精确,Kurixalus berylliniris
Kurixalus hainanus,LC,Least Concern,Kurixalus hainanus,61891,2023-1,IUCN现行名精确,Kurixalus hainanus
Kurixalus inexpectatus,LC,Least Concern,Kurixalus idiootocus,58803,2020-2,IUCN异名映射,Kurixalus inexpectatus
Kurixalus lenquanensis,NT,Near Threatened,Kurixalus lenquanensis,145400229,2020-3,IUCN现行名精确,Kurixalus lenquanensis
Kurixalus qionglaiensis,,,,,,,
Kurixalus raoi,,,,,,,
Kurixalus wangi,DD,Data Deficient,Kurixalus wangi,186873063,2022-1,IUCN现行名精确,Kurixalus wangi
Kurixalus yangi,LC,Least Concern,Kurixalus yangi,145402808,2023-1,IUCN现行名精确,Kurixalus yangi
Laudakia papenfussi,LC,Least Concern,Laudakia papenfussi,47752042,2019-3,IUCN现行名精确,Laudakia papenfussi
Laudakia stoliczkana,LC,Least Concern,Paralaudakia stoliczkana,47749669,2017-2,IUCN异名映射,Laudakia stoliczkana
Lepidodactylus lugubris,LC,Least Concern,Lepidodactylus lugubris,172593,2021-3,IUCN现行名精确,Lepidodactylus lugubris
Leptobrachella albomarginata,,,,,,,
Leptobrachella bashaensis,,,,,,,
Leptobrachella bijie,DD,Data Deficient,Leptobrachella bijie,152340346,2020-3,IUCN现行名精确,Leptobrachella bijie
Leptobrachella chishuiensis,,,,,,,
Leptobrachella darongshanensis,,,,,,,
Leptobrachella dayaoshanensis,,,,,,,
Leptobrachella kungfu,,,,,,,
Leptobrachella purpuraventra,DD,Data Deficient,Leptobrachella purpuraventra,152341174,2020-1,IUCN现行名精确,Leptobrachella purpuraventra
Leptobrachella sp. nov. 1,,,,,,,
Leptobrachella sp. nov. 2,,,,,,,
Leptobrachella sp. nov. 3,,,,,,,
Leptobrachella sungi,LC,Least Concern,Leptobrachella sungi,57575,2017-2,IUCN现行名精确,Leptobrachella sungi
Leptobrachium banae,LC,Least Concern,Leptobrachium banae,57550,2017-2,IUCN现行名精确,Leptobrachium banae
Leptobrachium bompu,LC,Least Concern,Leptobrachium bompu,56039839,2022-2,IUCN现行名精确,Leptobrachium bompu
Leptobrachium hainanense,VU,Vulnerable,Leptobrachium hainanense,57553,2020-3,IUCN现行名精确,Leptobrachium hainanense
Leptobrachium tengchongense,EN,Endangered,Leptobrachium tengchongense,119243805,2020-2,IUCN现行名精确,Leptobrachium tengchongense
Leptolalax,,,,,,,
Limnonectes bannaensis,LC,Least Concern,Limnonectes bannaensis,195405,2022-2,IUCN现行名精确,Limnonectes bannaensis
Limnonectes longchuanensis,DD,Data Deficient,Limnonectes longchuanensis,91951629,2022-2,IUCN现行名精确,Limnonectes longchuanensis
Limnonectes nguyenorum,NT,Near Threatened,Limnonectes nguyenorum,84335481,2021-3,IUCN现行名精确,Limnonectes nguyenorum
Liuixalus feii,LC,Least Concern,Liuixalus feii,82410392,2020-2,IUCN现行名精确,Liuixalus feii
Liurana alpina,NT,Near Threatened,Liurana alpina,58317,2024-1,IUCN现行名精确,Liurana alpina
Liurana medogensis,LC,Least Concern,Liurana medogensis,58320,,IUCN现行名精确,Liurana medogensis
Liurana menba,,,,,,,
Liurana namchabarwa,,,,,,,
Liurana vallecula,DD,Data Deficient,Liurana vallecula,149685795,2020-1,IUCN现行名精确,Liurana vallecula
Liurana xizangensis,VU,Vulnerable,Liurana xizangensis,58323,2020-3,IUCN现行名精确,Liurana xizangensis
Lycodon cathaya,LC,Least Concern,Lycodon cathaya,186133530,2024-1,IUCN现行名精确,Lycodon cathaya
Lycodon chapaensis,,,,,,,
Lycodon fasciatus,LC,Least Concern,Lycodon fasciatus,192160,2021-3,IUCN现行名精确,Lycodon fasciatus
Lycodon futsingensis,LC,Least Concern,Lycodon futsingensis,192037,2012-1,IUCN现行名精确,Lycodon futsingensis
Lycodon gongshan,LC,Least Concern,Lycodon gongshan,196008,2024-1,IUCN现行名精确,Lycodon gongshan
Lycodon jara,LC,Least Concern,Lycodon jara,176843,2021-3,IUCN现行名精确,Lycodon jara
Lycodon liuchengchaoi,LC,Least Concern,Lycodon liuchengchaoi,48892246,2024-1,IUCN现行名精确,Lycodon liuchengchaoi
Lycodon pictus,LC,Least Concern,Lycodon pictus,186135240,2024-1,IUCN现行名精确,Lycodon pictus
Lycodon rufozonatus,LC,Least Concern,Lycodon rufozonatus,192124,2017-3,IUCN现行名精确,Lycodon rufozonatus
Lycodon ruhstrati,LC,Least Concern,Lycodon ruhstrati,192128,2014-3,IUCN现行名精确,Lycodon ruhstrati
Lycodon subcinctus,LC,Least Concern,Lycodon subcinctus,186136203,2023-1,IUCN现行名精确,Lycodon subcinctus
Lygosoma siamense,LC,Least Concern,Lygosoma siamense,136697925,2019-2,IUCN现行名精确,Lygosoma siamense
Microhyla beilunensis,CR,Critically Endangered,Microhyla beilunensis,149237705,2021-3,IUCN现行名精确,Microhyla beilunensis
Microhyla dabieshanensis,,,,,,,
Microhyla fanjingshanensis,,,,,,,
Microhyla fissipes,LC,Least Concern,Microhyla fissipes,135848,2022-2,IUCN现行名精确,Microhyla fissipes
Microhyla heymonsi,LC,Least Concern,Microhyla heymonsi,57882,2023-1,IUCN现行名精确,Microhyla heymonsi
Microhyla hmongorum,,,,,,,
Microhyla mixtura,LC,Least Concern,Microhyla mixtura,57885,2020-3,IUCN现行名精确,Microhyla mixtura
Micryletta hekouensis,,,,,,,
Micryletta immaculata,,,,,,,
Micryletta inornata,LC,Least Concern,Micryletta inornata,153631981,2022-2,IUCN现行名精确,Micryletta inornata
Nanorana arunachalensis,VU,Vulnerable,Nanorana arunachalensis,165414242,,IUCN现行名精确,Nanorana arunachalensis
Nanorana huangi,,,,,,,
Nanorana laojunshanensis,,,,,,,
Nanorana pleskei,LC,Least Concern,Nanorana pleskei,58393,2022-2,IUCN现行名精确,Nanorana pleskei
Nanorana sp. nov. (Clade A),,,,,,,
Nanorana sp. nov. (Clade B),,,,,,,
Nanorana xuelinensis,,,,,,,
Nasutixalus medogensis,DD,Data Deficient,Nasutixalus medogensis,145401908,2022-2,IUCN现行名精确,Nasutixalus medogensis
Nasutixalus yingjiangensis,EN,Endangered,Nasutixalus yingjiangensis,145400860,2020-2,IUCN现行名精确,Nasutixalus yingjiangensis
Nidirana chongqingensis,,,,,,,
Nidirana daunchina,LC,Least Concern,Nidirana daunchina,58586,2020-1,IUCN现行名精确,Nidirana daunchina
Nidirana guangdongensis,,,,,,,
Nidirana guangxiensis,,,,,,,
Nidirana guibeiensis,,,,,,,
Nidirana leishanensis,,,,,,,
Nidirana mangveni,,,,,,,
Nidirana shiwandashanensis,,,,,,,
Nidirana shyhhuangi,,,,,,,
