species,IUCN_category,IUCN_category_raw,IUCN_scientific_name,IUCN_taxonID,IUCN_assessment_version,matched_via,query_used
Ablepharus eremchenkoi,LC,Least Concern,Ablepharus eremchenkoi,47756079,2017-2,IUCN现行名精确,Ablepharus eremchenkoi
Ablepharus sp. nov.,,,,,,,
Acanthosaura liui,,,,,,,
Acanthosaura tongbiguanensis,,,,,,,
Achalinus dabieshanensis,,,,,,,
Achalinus dehuaensis,LC,Least Concern,Achalinus dehuaensis,211837219,2024-1,IUCN现行名精确,Achalinus dehuaensis
Achalinus huangjietangi,LC,Least Concern,Achalinus huangjietangi,211837241,2024-1,IUCN现行名精确,Achalinus huangjietangi
Achalinus hunanensis,,,,,,,
Achalinus juliani,,,,,,,
Achalinus nanshanensis,,,,,,,
Achalinus ningshanensis,LC,Least Concern,Achalinus ningshanensis,221611361,2024-1,IUCN现行名精确,Achalinus ningshanensis
Achalinus rufescens,LC,Least Concern,Achalinus rufescens,192099,2012-1,IUCN现行名精确,Achalinus rufescens
Achalinus sheni,,,,,,,
Achalinus spinalis,LC,Least Concern,Achalinus spinalis,192200,2017-3,IUCN现行名精确,Achalinus spinalis
Achalinus yunkaiensis,LC,Least Concern,Achalinus yunkaiensis,199524219,2024-1,IUCN现行名精确,Achalinus yunkaiensis
Alcalus sp. nov.,,,,,,,
Alsophylax przewalskii,LC,Least Concern,Alsophylax przewalskii,178716,2019-2,IUCN现行名精确,Alsophylax przewalskii
Amolops ailao,,,,,,,
Amolops albispinus,VU,Vulnerable,Amolops albispinus,119243256,2020-3,IUCN现行名精确,Amolops albispinus
Amolops amoropalamus,,,,,,,
Amolops chaochin,,,,,,,
Amolops chayuensis,DD,Data Deficient,Amolops chayuensis,76317590,2020-1,IUCN现行名精确,Amolops chayuensis
Amolops chunganensis,LC,Least Concern,Amolops chunganensis,58205,2020-1,IUCN现行名精确,Amolops chunganensis
Amolops dafangensis,,,,,,,
Amolops deng,,,,,,,
Amolops gudao,,,,,,,
Amolops kangtingensis,LC,Least Concern,Amolops mantzorum,58220,2020-1,IUCN异名映射,Amolops kangtingensis
Amolops liangshanensis,VU,Vulnerable,Amolops loloensis,152339072,2020-2,IUCN异名映射,Amolops liangshanensis
Amolops loloensis,VU,Vulnerable,Amolops loloensis,152339072,2020-2,IUCN现行名精确,Amolops loloensis
Amolops mengdingensis,DD,Data Deficient,Amolops mengdingensis,152335940,2020-1,IUCN现行名精确,Amolops mengdingensis
Amolops nyingchiensis,NT,Near Threatened,Amolops nyingchiensis,119243342,2020-2,IUCN现行名精确,Amolops nyingchiensis
Amolops pallasitatus,,,,,,,
Amolops putaoensis,,,,,,,
Amolops sangzhiensis,,,,,,,
Amolops shihaitaoi,,,,,,,
Amolops shuichengicus,DD,Data Deficient,Amolops shuichengicus,152336041,2020-2,IUCN现行名精确,Amolops shuichengicus
Amolops sinensis,LC,Least Concern,Amolops sinensis,145432718,2022-2,IUCN现行名精确,Amolops sinensis
Amolops torrentis,VU,Vulnerable,Amolops torrentis,58227,2020-1,IUCN现行名精确,Amolops torrentis
Amolops truongi,,,,,,,
Amolops tuanjieensis,,,,,,,
Amolops vitreus,VU,Vulnerable,Amolops vitreus,135837,2017-2,IUCN现行名精确,Amolops vitreus
Amolops wenshanensis,DD,Data Deficient,Amolops wenshanensis,145404522,2020-2,IUCN现行名精确,Amolops wenshanensis
Amolops xinduqiao,LC,Least Concern,Amolops xinduqiao,58213,2020-1,IUCN现行名精确,Amolops xinduqiao
Amolops yangi,,,,,,,
Amolops yunkaiensis,NT,Near Threatened,Amolops yunkaiensis,145404583,2020-1,IUCN现行名精确,Amolops yunkaiensis
Andrias cheni,,,,,,,
Archelaphe bella,LC,Least Concern,Archelaphe bella,190611,2012-1,IUCN现行名精确,Archelaphe bella
Ateuchosaurus chinensis,LC,Least Concern,Ateuchosaurus chinensis,96250633,2019-2,IUCN现行名精确,Ateuchosaurus chinensis
Azemiops feae,LC,Least Concern,Azemiops feae,190641,2022-1,IUCN现行名精确,Azemiops feae
Bamburana tormota,LC,Least Concern,Odorrana tormota,58226,2020-1,IUCN现行名精确,Odorrana tormota
Batrachuperus daochengensis,,,,,,,
Batrachuperus karlschmidti,VU,Vulnerable,Batrachuperus karlschmidti,59083,2023-1,IUCN现行名精确,Batrachuperus karlschmidti
Boiga kraepelini,LC,Least Concern,Boiga kraepelini,192094,2012-1,IUCN现行名精确,Boiga kraepelini
Boiga stoliczkae,LC,Least Concern,Boiga ochracea,191940,2022-2,同属词干,Boiga stoliczkae
Bombina fortinuptialis,VU,Vulnerable,Bombina fortinuptialis,54445,2022-2,IUCN现行名精确,Bombina fortinuptialis
Boulenophrys acuta,,,,,,,
Boulenophrys anlongensis,,,,,,,
Boulenophrys binlingensis,VU,Vulnerable,Megophrys binlingensis,78519813,2023-1,IUCN异名映射,Boulenophrys binlingensis
Boulenophrys boettgeri,LC,Least Concern,Megophrys boettgeri,88368967,2023-1,IUCN异名映射,Boulenophrys boettgeri
Boulenophrys brachykolos,EN,Endangered,Megophrys brachykolos,57633,2022-2,IUCN异名映射,Boulenophrys brachykolos
Boulenophrys caudoprocta,EN,Endangered,Megophrys caudoprocta,57634,2020-2,IUCN现行名精确,Megophrys caudoprocta
Boulenophrys chishuiensis,,,,,,,
Boulenophrys congjiangensis,,,,,,,
Boulenophrys dalaolingensis,,,,,,,
Boulenophrys daxuemontis,,,,,,,
Boulenophrys dongguanensis,,,,,,,
Boulenophrys elongata,,,,,,,
Boulenophrys fengshunensis,,,,,,,
Boulenophrys gaolanensis,,,,,,,
Boulenophrys gutu,,,,,,,
