Class_CN,Chinese_name,Scientific_name,ChinaRedList,Endemic
爬行纲,扬子鳄,Alligator sinensis,CR,YES
爬行纲,鼋,Pelochelys cantorii,CR,NO
爬行纲,斑鳖,Rafetus swinhoei,CR,NO
爬行纲,棱皮龟,Dermochelys coriacea,CR,NO
爬行纲,红海龟,Caretta caretta,CR,NO
爬行纲,绿海龟,Chelonia mydas,CR,NO
爬行纲,玳瑁,Eretmochelys imbricata,CR,NO
爬行纲,太平洋丽龟,Lepidochelys olivacea,CR,NO
爬行纲,平胸龟,Platysternon megacephalum,CR,NO
爬行纲,四爪陆龟,Testudo horsfieldii,CR,NO
爬行纲,凹甲陆龟,Manouria impressa,CR,NO
爬行纲,缅甸陆龟,Indotestudo elongata,CR,NO
爬行纲,黄喉拟水龟,Mauremys mutica,CR,NO
爬行纲,黑颈乌龟,Mauremys nigricans,CR,NO
爬行纲,花龟,Mauremys sinensis,CR,NO
爬行纲,金头闭壳龟,Cuora aurocapitata,CR,YES
爬行纲,黄缘闭壳龟,Cuora flavomarginata,CR,NO
爬行纲,黄额闭壳龟,Cuora galbinifrons,CR,NO
爬行纲,百色闭壳龟,Cuora mccordi,CR,YES
爬行纲,锯缘闭壳龟,Cuora mouhotii,CR,NO
爬行纲,潘氏闭壳龟,Cuora pani,CR,YES
爬行纲,三线闭壳龟,Cuora trifasciata,CR,NO
爬行纲,云南闭壳龟,Cuora yunnanensis,CR,YES
爬行纲,周氏闭壳龟,Cuora zhoui,CR,YES
爬行纲,眼斑水龟,Sacalia bealei,CR,NO
爬行纲,龟,Sacalia insulensis,CR,YES
爬行纲,四眼斑水龟,Sacalia quadriocellata,CR,NO
爬行纲,英德睑虎,Goniurosaurus yingdeensis,CR,YES
爬行纲,大壁虎,Gekko gecko,CR,NO
爬行纲,黑疣大壁虎,Gekko reevesii,CR,NO
爬行纲,鳄蜥,Shinisaurus crocodilurus,CR,NO
爬行纲,伊江巨蜥,Varanus irrawadicus,CR,NO
爬行纲,圆鼻巨蜥,Varanus salvator,CR,NO
爬行纲,蜡皮蜥,Leiolepis reevesii,CR,NO
爬行纲,大耳沙蜥,Phrynocephalus mystaceus,CR,NO
爬行纲,香港盲蛇,Indotyphlops lazelli,CR,YES
爬行纲,红尾筒蛇,Cylindrophis ruffus,CR,NO
爬行纲,瘰鳞蛇,Acrochordus granulatus,CR,NO
爬行纲,莽山原矛头蝮,Protobothrops mangshanensis,CR,YES
爬行纲,西藏温泉蛇,Thermophis baileyi,CR,YES
爬行纲,山瑞鳖,Palea steindachneri,EN,NO
爬行纲,砂鳖,Pelodiscus axenaria,EN,YES
爬行纲,东北鳖,Pelodiscus maackii,EN,NO
爬行纲,小鳖,Pelodiscus parviformis,EN,YES
爬行纲,腹斑鳖,Pelodiscus variegatus,EN,NO
爬行纲,中华鳖,Pelodiscus sinensis,EN,NO
爬行纲,乌龟,Mauremys reevesii,EN,NO
爬行纲,地龟,Geoemyda spengleri,EN,NO
爬行纲,欧氏摄龟,Cyclemys oldhami,EN,NO
爬行纲,香港双足蜥,Dibamus bogadeki,EN,YES
爬行纲,嘉道理睑虎,Goniurosaurus kadoorieorum,EN,YES
爬行纲,蛰龙睑虎,Goniurosaurus zhelongi,EN,YES
爬行纲,伊犁沙虎,Teratoscincus scincus,EN,NO
爬行纲,天山麻蜥,Eremias stummeri,EN,NO
爬行纲,细脆蛇蜥,Dopasia gracilis,EN,NO
爬行纲,脆蛇蜥,Dopasia harti,EN,NO
爬行纲,海南脆蛇蜥,Dopasia hainanensis,EN,YES
爬行纲,长鬣蜥,Physignathus cocincinus,EN,NO
爬行纲,蟒,Python bivittatus,EN,NO
爬行纲,井冈山脊蛇,Achalinus jinggangensis,EN,YES
爬行纲,泰国圆斑蝰,Daboia siamensis,EN,NO
爬行纲,东方蝰,Vipera renardi,EN,NO
爬行纲,角原矛头蝮,Protobothrops cornutus,EN,NO
爬行纲,环蛇,Bungarus bungaroides,EN,NO
爬行纲,金环蛇,Bungarus fasciatus,EN,NO
爬行纲,滑鼠蛇,Ptyas mucosa,EN,NO
爬行纲,横斑锦蛇,Euprepiophis perlaceus,EN,YES
爬行纲,团花锦蛇,Elaphe davidi,EN,NO
爬行纲,蛇,Thermophis shangrila,EN,YES
爬行纲,四川温泉蛇,Thermophis zhaoermii,EN,YES
爬行纲,台北腹链蛇,Hebius miyajimae,EN,YES
爬行纲,深圳后棱蛇,Opisthotropis shenzhenensis,EN,YES
爬行纲,白尾双足蜥,Dibamus bourreti,VU,NO
爬行纲,越南睑虎,Goniurosaurus araneus,VU,NO
爬行纲,霸王岭睑虎,Goniurosaurus bawanglingensis,VU,YES
爬行纲,海南睑虎,Goniurosaurus hainanensis,VU,YES
爬行纲,广西睑虎,Goniurosaurus kwangsiensis,VU,YES
爬行纲,凭祥睑虎,Goniurosaurus luii,VU,NO
爬行纲,荔波睑虎,Goniurosaurus liboensis,VU,YES
爬行纲,周氏睑虎,Goniurosaurus zhoui,VU,YES
爬行纲,哀鳞趾虎,Lepidodactylus lugubris,VU,NO
爬行纲,雅美鳞趾虎,Lepidodactylus yami,VU,YES
爬行纲,香港半叶趾虎,Hemiphyllodactylus hongkongensis,VU,YES
爬行纲,截趾虎,Gehyra mutilata,VU,NO
爬行纲,新疆漠虎,Alsophylax przewalskii,VU,NO
爬行纲,史氏蜥虎,Hemidactylus stejnegeri,VU,NO
爬行纲,兰屿壁虎,Gekko kikuchii,VU,YES
爬行纲,大渡石龙子,Plestiodon tunganus,VU,YES
爬行纲,越南石龙子,Plestiodon tamdaoensis,VU,NO
爬行纲,桓仁滑蜥,Scincella huanrenensis,VU,NO
爬行纲,崇安草蜥,Takydromus sylvaticus,VU,YES
爬行纲,网纹麻蜥,Eremias grammica,VU,NO
爬行纲,裸耳飞蜥,Draco blanfordii,VU,NO
爬行纲,西藏岩蜥,Laudakia papenfussi,VU,YES
爬行纲,南亚岩蜥,Laudakia tuberculata,VU,NO
爬行纲,巴塘龙蜥,Diploderma batangense,VU,YES
爬行纲,短尾龙蜥,Diploderma brevicaudum,VU,YES
爬行纲,侏龙蜥,Diploderma drukdaypo,VU,YES
爬行纲,滑腹龙蜥,Diploderma laeviventre,VU,YES
爬行纲,宜兰龙蜥,Diploderma luei,VU,YES
爬行纲,溪头龙蜥,Diploderma makii,VU,YES
爬行纲,帆背龙蜥,Diploderma vela,VU,YES
爬行纲,伊犁沙蜥,Phrynocephalus alpherakii,VU,NO
爬行纲,贵南沙蜥,Phrynocephalus guinanensis,VU,YES
爬行纲,长棘蜥,Acanthosaura armata,VU,NO
爬行纲,绿背树蜥,Calotes jerdoni,VU,NO
爬行纲,墨脱树蜥,Calotes medogensis,VU,YES
爬行纲,巴坡拟树蜥,Pseudocalotes bapoensis,VU,NO
爬行纲,红沙蚺,Eryx miliaris,VU,NO
爬行纲,东方沙蚺,Eryx tataricus,VU,NO
爬行纲,闪鳞蛇,Xenopeltis unicolor,VU,NO
爬行纲,黑头蝰,Azemiops feae,VU,NO
爬行纲,白头蝰,Azemiops kharini,VU,NO
爬行纲,极北蝰,Vipera berus,VU,NO
爬行纲,越北原矛头蝮,Protobothrops trungkhanhensis,VU,NO
爬行纲,乡城原矛头蝮,Protobothrops xiangchengensis,VU,YES
爬行纲,尖吻蝮,Deinagkistrodon acutus,VU,NO
爬行纲,长岛蝮,Gloydius changdaoensis,VU,YES
爬行纲,庙岛蝮,Gloydius lijianlii,VU,YES
爬行纲,蛇岛蝮,Gloydius shedaoensis,VU,YES
爬行纲,黑斑水蛇,Myrrophis bennettii,VU,NO
爬行纲,中国水蛇,Myrrophis chinensis,VU,NO
爬行纲,铅色水蛇,Hypsiscopus plumbea,VU,NO
爬行纲,马来环蛇,Bungarus candidus,VU,NO
爬行纲,银环蛇,Bungarus multicinctus,VU,NO
爬行纲,舟山眼镜蛇,Naja atra,VU,NO
爬行纲,孟加拉眼镜蛇,Naja kaouthia,VU,NO
爬行纲,眼镜王蛇,Ophiophagus hannah,VU,NO
爬行纲,羽鸟氏华珊瑚,Sinomicrurus hatori,VU,YES
爬行纲,蛇,Sinomicrurus sauteri,VU,YES
爬行纲,八莫过树蛇,Dendrelaphis subocularis,VU,NO
爬行纲,广西林蛇,Boiga guangxiensis,VU,NO
爬行纲,花脊游蛇,Hemorrhois ravergieri,VU,NO
爬行纲,纯绿翠青蛇,Cyclophiops doriae,VU,NO
爬行纲,黑网乌梢蛇,Ptyas carinata,VU,NO
爬行纲,乌梢蛇,Ptyas dhumnades,VU,NO
爬行纲,尖喙蛇,Gonyosoma boulengeri,VU,NO
爬行纲,绿锦蛇,Gonyosoma prasinum,VU,NO
爬行纲,粉链蛇,Lycodon rosozonatus,VU,YES
爬行纲,方花蛇,Archelaphe bella,VU,NO
爬行纲,三索锦蛇,Coelognathus radiatus,VU,NO
爬行纲,赤峰锦蛇,Elaphe anomala,VU,NO
爬行纲,王锦蛇,Elaphe carinata,VU,NO
爬行纲,百花锦蛇,Elaphe moellendorffi,VU,NO
爬行纲,黑眉锦蛇,Elaphe taeniura,VU,NO
爬行纲,棕黑锦蛇,Elaphe schrenckii,VU,NO
爬行纲,红脊扁头蛇,Platyceps rhodorachis,VU,NO
爬行纲,云南两头蛇,Calamaria yunnanensis,VU,YES
爬行纲,白眶蛇,Amphiesmoides ornaticeps,VU,NO
爬行纲,缅北腹链蛇,Hebius venningi,VU,NO
爬行纲,东亚腹链蛇,Hebius vibakari,VU,NO
爬行纲,平头腹链蛇,Herpetoreas platyceps,VU,NO
爬行纲,环纹华游蛇,Trimerodytes aequifasciatus,VU,NO
爬行纲,赤链华游蛇,Trimerodytes annularis,VU,NO
爬行纲,横纹环游蛇,Trimerodytes balteatus,VU,NO
爬行纲,景东华游蛇,Trimerodytes yapingi,VU,YES
爬行纲,云南华游蛇,Trimerodytes yunnanensis,VU,YES
爬行纲,水游蛇,Natrix natrix,VU,NO
爬行纲,缅甸颈斑蛇,Plagiopholis nuchalis,VU,NO
爬行纲,新疆沙虎,Teratoscincus przewalskii,NT,NO
爬行纲,吐鲁番沙虎,Teratoscincus roborowskii,NT,YES
爬行纲,大敦细趾虎,Tenuidactylus dadunensis,NT,YES
爬行纲,灰中趾虎,Mediodactylus russowii,NT,NO
爬行纲,察隅裸趾虎,Cyrtodactylus cayuensis,NT,YES
爬行纲,墨脱蜓蜥,Sphenomorphus courcyanum,NT,NO
爬行纲,崇安石龙子,Plestiodon popei,NT,YES
爬行纲,喜山滑蜥,Scincella himalayanus,NT,NO
爬行纲,西域滑蜥,Scincella przewalskii,NT,YES
爬行纲,瓦山滑蜥,Scincella schmidti,NT,YES
爬行纲,广西棱蜥,Tropidophorus guangxiensis,NT,YES
爬行纲,黑龙江草蜥,Takydromus amurensis,NT,NO
爬行纲,天井山草蜥,Takydromus albomaculosus,NT,YES
爬行纲,峨眉草蜥,Takydromus intermedius,NT,YES
爬行纲,恒春草蜥,Takydromus sauteri,NT,YES
爬行纲,丽斑麻蜥,Eremias argus,NT,NO
爬行纲,吐鲁番麻蜥,Eremias roborowskii,NT,NO
爬行纲,胎蜥,Zootoca vivipara,NT,NO
爬行纲,拉萨岩蜥,Laudakia sacra,NT,YES
爬行纲,新疆岩蜥,Laudakia stoliczkana,NT,NO
爬行纲,吴氏岩蜥,Laudakia wui,NT,YES
爬行纲,三棱攀蜥,Japalura tricarinata,NT,NO
爬行纲,短肢龙蜥,Diploderma brevipes,NT,YES
爬行纲,草绿龙蜥,Diploderma flaviceps,NT,YES
爬行纲,山地龙蜥,Diploderma swild,NT,YES
爬行纲,南疆沙蜥,Phrynocephalus forsythii,NT,YES
爬行纲,宽鼻沙蜥,Phrynocephalus nasatus,NT,NO
爬行纲,贵德沙蜥,Phrynocephalus putjatai,NT,YES
爬行纲,白唇树蜥,Calotes mystaceus,NT,NO
爬行纲,混鳞蜥,Pseudocalotes austeniana,NT,NO
爬行纲,短肢拟树蜥,Pseudocalotes brevipes,NT,NO
爬行纲,草原蜥,Trapelus sanguinolentus,NT,NO
爬行纲,海南闪鳞蛇,Xenopeltis hainanensis,NT,NO
爬行纲,棱鳞钝头蛇,Pareas carinatus,NT,NO
爬行纲,台湾钝头蛇,Pareas formosensis,NT,YES
爬行纲,缅甸钝头蛇,Pareas hamptoni,NT,NO
爬行纲,喜山钝头蛇,Pareas monticola,NT,NO
爬行纲,蝮,Protobothrops dabieshanensis,NT,YES
爬行纲,喜山原矛头蝮,Protobothrops himalayanus,NT,NO
爬行纲,缅北原矛头蝮,Protobothrops kaulbacki,NT,NO
爬行纲,茂兰原矛头蝮,Protobothrops maolanensis,NT,YES
爬行纲,台湾烙铁头蛇,Ovophis makazayazaya,NT,NO
爬行纲,察隅烙铁头蛇,Ovophis zayuensis,NT,NO
爬行纲,墨脱竹叶青蛇,Viridovipera medoensis,NT,NO
爬行纲,盈江竹叶青蛇,Popeia yingjiangensis,NT,NO
爬行纲,四川华蝮,Sinovipera sichuanensis,NT,YES
爬行纲,西藏竹叶青蛇,Himalayophis tibetanus,NT,NO
爬行纲,台湾竹叶青蛇,Trimeresurus gracilis,NT,YES
爬行纲,若尔盖蝮,Gloydius angusticeps,NT,YES
爬行纲,短尾蝮,Gloydius brevicaudus,NT,NO
爬行纲,阿拉善蝮,Gloydius cognatus,NT,NO
爬行纲,西伯利亚蝮,Gloydius halys,NT,NO
爬行纲,澜沧蝮,Gloydius huangi,NT,YES
爬行纲,中介蝮,Gloydius intermedius,NT,NO
爬行纲,六盘山蝮,Gloydius liupanensis,NT,YES
爬行纲,雪山蝮,Gloydius monticola,NT,YES
爬行纲,秦岭蝮,Gloydius qinlingensis,NT,YES
爬行纲,红斑高山蝮,Gloydius rubromaculatus,NT,YES
爬行纲,高原蝮,Gloydius strauchi,NT,YES
爬行纲,华北蝮,Gloydius stejnegeri,NT,YES
爬行纲,乌苏里蝮,Gloydius ussuriensis,NT,NO
爬行纲,海南华珊瑚蛇,Sinomicrurus houi,NT,YES
爬行纲,福建华珊瑚蛇,Sinomicrurus kelloggi,NT,NO
爬行纲,中华珊瑚蛇,Sinomicrurus macclellandi,NT,NO
爬行纲,扁尾海蛇,Laticauda laticaudata,NT,NO
爬行纲,半环扁尾海蛇,Laticauda semifasciata,NT,NO
爬行纲,青灰海蛇,Hydrophis caerulescens,NT,NO
爬行纲,青环海蛇,Hydrophis cyanocinctus,NT,NO
爬行纲,环纹海蛇,Hydrophis fasciatus,NT,NO
爬行纲,小头海蛇,Hydrophis gracilis,NT,NO
爬行纲,金花蛇,Chrysopelea ornata,NT,NO
爬行纲,滑鳞蛇,Liopeltis frenatus,NT,NO
爬行纲,绿林蛇,Boiga cyanea,NT,NO
爬行纲,喜山小头蛇,Oligodon albocinctus,NT,NO
爬行纲,菱斑小头蛇,Oligodon catenatus,NT,NO
爬行纲,泰北小头蛇,Oligodon joynsoni,NT,NO
爬行纲,圆斑小头蛇,Oligodon lacroixi,NT,NO
