Class_CN,Chinese_name,Scientific_name,ChinaRedList,Endemic
爬行纲,龙胜小头蛇,Oligodon lungshenensis,NT,YES
爬行纲,方斑小头蛇,Oligodon nagao,NT,NO
爬行纲,饰纹小头蛇,Oligodon ornatus,NT,YES
爬行纲,横纹翠青蛇,Cyclophiops multicinctus,NT,NO
爬行纲,灰鼠蛇,Ptyas korros,NT,NO
爬行纲,黑线乌梢蛇,Ptyas nigromarginata,NT,NO
爬行纲,白环蛇,Lycodon aulicus,NT,NO
爬行纲,贡山白环蛇,Lycodon gongshan,NT,YES
爬行纲,南方链蛇,Lycodon meridionalis,NT,NO
爬行纲,玉斑锦蛇,Euprepiophis mandarinus,NT,NO
爬行纲,双斑锦蛇,Elaphe bimaculata,NT,YES
爬行纲,坎氏锦蛇,Elaphe cantoris,NT,NO
爬行纲,南峰锦蛇,Elaphe hodgsonii,NT,NO
爬行纲,红纹滞卵蛇,Oocatochus rufodorsatus,NT,NO
爬行纲,宁陕线形蛇,Stichophanes ningshaanensis,NT,YES
爬行纲,无颞鳞腹链蛇,Hebius atemporalis,NT,NO
爬行纲,黑带腹链蛇,Hebius bitaeniatus,NT,NO
爬行纲,沙坝腹链蛇,Hebius chapaensis,NT,NO
爬行纲,耿氏坭蛇,Trachischium guentheri,NT,NO
爬行纲,山坭蛇,Trachischium monticola,NT,NO
爬行纲,小头坭蛇,Trachischium tenuiceps,NT,NO
爬行纲,海南颈槽蛇,Rhabdophis adleri,NT,YES
爬行纲,广东颈槽蛇,Rhabdophis guangdongensis,NT,YES
爬行纲,喜山颈槽蛇,Rhabdophis himalayanus,NT,NO
爬行纲,黑纹颈槽蛇,Rhabdophis nigrocinctus,NT,NO
爬行纲,台湾颈槽蛇,Rhabdophis swinhonis,NT,YES
爬行纲,滇西蛇,Atretium yunnanensis,NT,NO
爬行纲,香港后棱蛇,Opisthotropis andersonii,NT,YES
爬行纲,莽山后棱蛇,Opisthotropis cheni,NT,YES
爬行纲,广西后棱蛇,Opisthotropis guangxiensis,NT,YES
爬行纲,沙坝后棱蛇,Opisthotropis jacobi,NT,NO
爬行纲,刘氏后棱蛇,Opisthotropis laui,NT,YES
爬行纲,黄斑后棱蛇,Opisthotropis maculosa,NT,NO
爬行纲,福建后棱蛇,Opisthotropis maxwelli,NT,YES
爬行纲,老挝副后棱蛇,Paratapinophis praemaxillaris,NT,NO
爬行纲,乌华游蛇,Trimerodytes percarinatus,NT,NO
爬行纲,长细趾虎,Tenuidactylus elongatus,LC,NO
爬行纲,西藏裸趾虎,Cyrtodactylus tibetanus,LC,YES
爬行纲,瓦氏裸趾虎,Cyrtodactylus wayakonei,LC,NO
爬行纲,隐耳漠虎,Alsophylax pipiens,LC,NO
爬行纲,原尾蜥虎,Hemidactylus bowringii,LC,NO
爬行纲,密疣蜥虎,Hemidactylus brookii,LC,NO
爬行纲,疣尾蜥虎,Hemidactylus frenatus,LC,NO
爬行纲,锯尾蜥虎,Hemidactylus garnotii,LC,NO
爬行纲,蝎尾蜥虎,Hemidactylus platyurus,LC,NO
爬行纲,鹰氏壁虎,Gekko adleri,LC,NO
爬行纲,耳疣壁虎,Gekko auriverrucosus,LC,YES
爬行纲,中国壁虎,Gekko chinensis,LC,YES
爬行纲,龟山壁虎,Gekko guishanicus,LC,NO
爬行纲,铅山壁虎,Gekko hokouensis,LC,NO
爬行纲,多疣壁虎,Gekko japonicus,LC,NO
爬行纲,荔波壁虎,Gekko liboensis,LC,YES
爬行纲,梅氏壁虎,Gekko melli,LC,NO
爬行纲,粗疣壁虎,Gekko scabridus,LC,YES
爬行纲,无蹼壁虎,Gekko swinhonis,LC,YES
爬行纲,蹼趾壁虎,Gekko subpalmatus,LC,YES
爬行纲,太白壁虎,Gekko taibaiensis,LC,YES
爬行纲,文县壁虎,Gekko wenxianensis,LC,YES
爬行纲,铜蜓蜥,Sphenomorphus indicus,LC,NO
爬行纲,股鳞蜓蜥,Sphenomorphus incognitus,LC,NO
爬行纲,斑蜓蜥,Sphenomorphus maculatus,LC,NO
爬行纲,台湾蜓蜥,Sphenomorphus taiwanensis,LC,YES
爬行纲,北部湾蜓蜥,Sphenomorphus tonkinensis,LC,NO
爬行纲,黄纹石龙子,Plestiodon capito,LC,NO
爬行纲,中国石龙子,Plestiodon chinensis,LC,NO
爬行纲,蓝尾石龙子,Plestiodon elegans,LC,NO
爬行纲,白斑石龙子,Plestiodon leucostictus,LC,NO
爬行纲,刘氏石龙子,Plestiodon liui,LC,YES
爬行纲,四线石龙子,Plestiodon quadrilineatus,LC,NO
爬行纲,长尾南蜥,Eutropis longicaudata,LC,NO
爬行纲,多线南蜥,Eutropis multifasciata,LC,NO
爬行纲,多棱南蜥,Eutropis multicarinata,LC,NO
爬行纲,阿赖山泛蜥,Ablepharus alaicus,LC,NO
爬行纲,长肢滑蜥,Scincella doriae,LC,NO
爬行纲,台湾滑蜥,Scincella formosensis,LC,YES
爬行纲,拉达克滑蜥,Scincella ladacensis,LC,NO
爬行纲,山滑蜥,Scincella monticola,LC,NO
爬行纲,宁波滑蜥,Scincella modesta,LC,YES
爬行纲,康定滑蜥,Scincella potanini,LC,YES
爬行纲,南滑蜥,Scincella reevesii,LC,NO
爬行纲,锡金滑蜥,Scincella sikimmensis,LC,NO
爬行纲,秦岭滑蜥,Scincella tsinlingensis,LC,YES
爬行纲,缅甸棱蜥,Tropidophorus berdmorei,LC,NO
爬行纲,海南棱蜥,Tropidophorus hainanus,LC,NO
爬行纲,中国棱蜥,Tropidophorus sinicus,LC,NO
爬行纲,光蜥,Ateuchosaurus chinensis,LC,NO
爬行纲,沿岸岛蜥,Emoia atrocostata,LC,NO
爬行纲,台湾草蜥,Takydromus formosanus,LC,YES
爬行纲,雪山草蜥,Takydromus hsuehshanensis,LC,YES
爬行纲,古氏草蜥,Takydromus kuehnei,LC,NO
爬行纲,鹿野草蜥,Takydromus luyeanus,LC,YES
爬行纲,北草蜥,Takydromus septentrionalis,LC,YES
爬行纲,南草蜥,Takydromus sexlineatus,LC,NO
爬行纲,蓬莱草蜥,Takydromus stejnegeri,LC,YES
爬行纲,翠斑草蜥,Takydromus viridipunctatus,LC,YES
爬行纲,白条草蜥,Takydromus wolteri,LC,NO
爬行纲,云开草蜥,Takydromus yunkaiensis,LC,YES
爬行纲,敏麻蜥,Eremias arguta,LC,NO
爬行纲,山地麻蜥,Eremias brenchleyi,LC,YES
爬行纲,喀什麻蜥,Eremias buechneri,LC,NO
爬行纲,密点麻蜥,Eremias multiocellata,LC,NO
爬行纲,荒漠麻蜥,Eremias przewalskii,LC,NO
爬行纲,虫纹麻蜥,Eremias vermiculata,LC,NO
爬行纲,快步麻蜥,Eremias velox,LC,NO
爬行纲,莎车麻蜥,Eremias yarkandensis,LC,NO
爬行纲,捷蜥蜴,Lacerta agilis,LC,NO
爬行纲,斑飞蜥,Draco maculatus,LC,NO
爬行纲,喉褶蜥,Ptyctolaemus gularis,LC,NO
爬行纲,长肢攀蜥,Japalura andersoniana,LC,NO
爬行纲,沙坝龙蜥,Diploderma chapaense,LC,NO
爬行纲,裸耳龙蜥,Diploderma dymondi,LC,YES
爬行纲,横纹龙蜥,Diploderma fasciatum,LC,NO
爬行纲,米仓山龙蜥,Diploderma micangshanense,LC,YES
爬行纲,丽纹龙蜥,Diploderma splendidum,LC,YES
爬行纲,贡山龙蜥,Diploderma slowinskii,LC,YES
爬行纲,台湾龙蜥,Diploderma swinhonis,LC,YES
爬行纲,昆明龙蜥,Diploderma varcoae,LC,YES
爬行纲,云南龙蜥,Diploderma yunnanense,LC,YES
爬行纲,汶川龙蜥,Diploderma zhaoermii,LC,YES
爬行纲,叶城沙蜥,Phrynocephalus axillaris,LC,NO
爬行纲,红尾沙蜥,Phrynocephalus erythrurus,LC,YES
爬行纲,奇台沙蜥,Phrynocephalus grumgrzimailoi,LC,NO
爬行纲,旱地沙蜥,Phrynocephalus helioscopus,LC,NO
爬行纲,黑腹沙蜥,Phrynocephalus melanurus,LC,NO
爬行纲,荒漠沙蜥,Phrynocephalus przewalskii,LC,YES
爬行纲,西藏沙蜥,Phrynocephalus theobaldi,LC,NO
爬行纲,变色沙蜥,Phrynocephalus versicolor,LC,NO
爬行纲,青海沙蜥,Phrynocephalus vlangalii,LC,YES
爬行纲,丽棘蜥,Acanthosaura lepidogaster,LC,NO
爬行纲,棕背树蜥,Calotes emma,LC,NO
爬行纲,异鳞蜥,Calotes paulus,LC,NO
爬行纲,变色树蜥,Calotes versicolor,LC,NO
爬行纲,蚌西拟树蜥,Pseudocalotes kakhienensis,LC,NO
爬行纲,细鳞拟树蜥,Pseudocalotes microlepis,LC,NO
爬行纲,钩盲蛇,Indotyphlops braminus,LC,NO
爬行纲,大盲蛇,Argyrophis diardii,LC,NO
爬行纲,青脊蛇,Achalinus ater,LC,NO
爬行纲,台湾脊蛇,Achalinus formosanus,LC,NO
爬行纲,美姑脊蛇,Achalinus meiguensis,LC,YES
爬行纲,阿里山脊蛇,Achalinus niger,LC,YES
爬行纲,棕脊蛇,Achalinus rufescens,LC,NO
爬行纲,黑脊蛇,Achalinus spinalis,LC,NO
爬行纲,云开脊蛇,Achalinus yunkaiensis,LC,NO
爬行纲,平鳞钝头蛇,Pareas boulengeri,LC,YES
爬行纲,中国钝头蛇,Pareas chinensis,LC,YES
爬行纲,横纹钝头蛇,Pareas margaritophorus,LC,NO
爬行纲,福建钝头蛇,Pareas stanleyi,LC,YES
爬行纲,横斑钝头蛇,Pareas macularius,LC,NO
爬行纲,菜花原矛头蝮,Protobothrops jerdonii,LC,NO
爬行纲,原矛头蝮,Protobothrops mucrosquamatus,LC,NO
爬行纲,山烙铁头蛇,Ovophis monticola,LC,NO
爬行纲,越南烙铁头蛇,Ovophis tonkinensis,LC,NO
爬行纲,云南竹叶青蛇,Viridovipera yunnanensis,LC,NO
爬行纲,福建竹叶青蛇,Viridovipera stejnegeri,LC,NO
爬行纲,冈氏竹叶青蛇,Viridovipera gumprechti,LC,NO
爬行纲,坡普竹叶青蛇,Popeia popeorum,LC,NO
爬行纲,白唇竹叶青蛇,Trimeresurus albolabris,LC,NO
爬行纲,紫沙蛇,Psammodynastes pulverulentus,LC,NO
爬行纲,花条蛇,Psammophis lineolatus,LC,NO
爬行纲,蓝灰扁尾海蛇,Laticauda colubrina,LC,NO
爬行纲,龟头海蛇,Emydocephalus ijimae,LC,NO
爬行纲,平颏海蛇,Hydrophis curtus,LC,NO
爬行纲,淡灰海蛇,Hydrophis ornatus,LC,NO
爬行纲,棘眦海蛇,Hydrophis peronii,LC,NO
爬行纲,长吻海蛇,Hydrophis platurus,LC,NO
爬行纲,棘鳞海蛇,Hydrophis stokesii,LC,NO
爬行纲,海蝰,Hydrophis viperinus,LC,NO
爬行纲,绿瘦蛇,Ahaetulla prasina,LC,NO
爬行纲,过树蛇,Dendrelaphis pictus,LC,NO
爬行纲,绞花林蛇,Boiga kraepelini,LC,NO
爬行纲,繁花林蛇,Boiga multomaculata,LC,NO
爬行纲,中国小头蛇,Oligodon chinensis,LC,NO
爬行纲,紫棕小头蛇,Oligodon cinereus,LC,NO
爬行纲,束纹小头蛇,Oligodon fasciolatus,LC,NO
爬行纲,台湾小头蛇,Oligodon formosanus,LC,NO
爬行纲,黄脊游蛇,Orientocoluber spinalis,LC,NO
爬行纲,翠青蛇,Cyclophiops major,LC,NO
爬行纲,灰腹绿锦蛇,Gonyosoma frenatum,LC,NO
爬行纲,双全白环蛇,Lycodon fasciatus,LC,NO
爬行纲,黄链蛇,Lycodon flavozonatus,LC,NO
爬行纲,福清白环蛇,Lycodon futsingensis,LC,NO
爬行纲,刘氏白环蛇,Lycodon liuchengchaoi,LC,YES
爬行纲,横纹白环蛇,Lycodon multizonatus,LC,YES
爬行纲,黑背白环蛇,Lycodon ruhstrati,LC,NO
爬行纲,赤链蛇,Lycodon rufozonatus,LC,NO
爬行纲,白链蛇,Lycodon septentrionalis,LC,NO
爬行纲,细白环蛇,Lycodon subcinctus,LC,NO
爬行纲,东川白环蛇,Lycodon synaptor,LC,YES
爬行纲,紫灰锦蛇,Oreocryptophis porphyraceus,LC,NO
爬行纲,白条锦蛇,Elaphe dione,LC,NO
爬行纲,若尔盖锦蛇,Elaphe zoigeensis,LC,YES
爬行纲,尖尾两头蛇,Calamaria pavimentata,LC,NO
爬行纲,钝尾两头蛇,Calamaria septentrionalis,LC,NO
爬行纲,草腹链蛇,Amphiesma stolatum,LC,NO
爬行纲,白眉腹链蛇,Hebius boulengeri,LC,NO
爬行纲,锈链腹链蛇,Hebius craspedogaster,LC,NO
爬行纲,棕网腹链蛇,Hebius johannis,LC,YES
爬行纲,瓦屋山腹链蛇,Hebius metusia,LC,YES
爬行纲,腹斑腹链蛇,Hebius modestus,LC,NO
爬行纲,丽纹腹链蛇,Hebius optatus,LC,NO
