Source_row,Chinese_name_raw,Scientific_name_raw,Province_raw,Verdict,Reason,Source_citation
21,黑耳水蛙,Hylarana nigrotympanica,广东,事件表,省级新纪录事件（1省）,"徐剑,邹佩贞,温彩燕,等.南岭地区两栖动物区系的研究[J].中山大学学报(自然科学版),2000,(S3):78-81."
22,莽山角瘰,Xenophrys mangshanensis,广东,事件表,省级新纪录事件（1省）,"徐剑,邹佩贞,温彩燕,等.南岭地区两栖动物区系的研究[J].中山大学学报(自然科学版),2000,(S3):78-82."
23,小棘蛙,Quasipaa exilispinosa,广东,事件表,省级新纪录事件（1省）,"徐剑,邹佩贞,温彩燕,等.南岭地区两栖动物区系的研究[J].中山大学学报(自然科学版),2000,(S3):78-83."
24,顾莵角蟾,Boulenophrys gutu,湖南,新种表,新种描述，转入 CHNR_new_species,"匡代勇、石胜超 (2025). 南岳衡山发现两栖动物新物种——顾莵角蟾 林业与生态, 18 https://doi.org/10.13552/j.cnki.lyyst.2025.11.002"
25,衡山角蟾,Boulenophrys hengshanensis,湖南,终审:A4 排除(建议)-伴随物种记录,新种描述文献中的伴随物种记录，非明确新纪录事件,"匡代勇、石胜超 (2025). 南岳衡山发现两栖动物新物种——顾莵角蟾 林业与生态, 18 https://doi.org/10.13552/j.cnki.lyyst.2025.11.002"
26,南岭睑虎,Goniurosaurus varius,广东,新种表,新种描述，转入 CHNR_new_species,"Shuo Qi and L. Lee Grismer and Zhi-Tong Lyu and Liang Zhang and Pi-Peng Li and Ying-Yong Wang (2020). A definition of the Goniurosaurus yingdeensis group (Squamata, Eublepharidae) with the description of a new species ZooKeys, 986, 127–155 https://doi.org/10.3897/zookeys.986.47989"
27,崇安斜鳞蛇,Pseudoxenodon karlschmidti,四川,事件表,省级新纪录事件（1省）,"马凯、王力军、杨波、李仁贵、刘定震 (2014). 卧龙自然保护区首次发现崇安斜鳞蛇 北京师范大学学报(自然科学版), 50(6), 620-621"
28,新种多色斑蟾,,,排除,"非两爬/问题条目：非两爬/问题条目:无学名的国外新种条目(斑蟾,中南美)",
29,新种玻璃蛙,,,排除,"非两爬/问题条目：非两爬/问题条目:无学名的国外新种条目(玻璃蛙,南美)",
30,身上有斑点的新种玻璃蛙,,,排除,"非两爬/问题条目：非两爬/问题条目:无学名的国外新种条目(玻璃蛙,南美)",
31,新种雨蛙,,,排除,非两爬/问题条目：非两爬/问题条目:无学名的国外新种条目(雨蛙),
32,新种毒蛙,,,排除,"非两爬/问题条目：非两爬/问题条目:无学名的国外新种条目(毒蛙,南美)",
33,新种鲤,,,排除,"非两爬/问题条目：非两爬/问题条目:鱼类(鲤),非两栖爬行动物",
34,桓仁林蛙,Rana huanrenensis,吉林,事件表,省级新纪录事件（1省）,"陆宇燕、王晶琦、董丙君、李丕鹏 (2005). 吉林省两栖动物一种新纪录---桓仁林蛙 四川动物, 24(3), 259"
35,英德睑虎,Goniurosaurus yingdeensis,广东,新种表,新种描述，转入 CHNR_new_species,"Shuo Qi and L. Lee Grismer and Zhi-Tong Lyu and Liang Zhang and Pi-Peng Li and Ying-Yong Wang (2020). A definition of the Goniurosaurus yingdeensis group (Squamata, Eublepharidae) with the description of a new species ZooKeys, 986, 127–155 https://doi.org/10.3897/zookeys.986.47989"
36,蒲氏睑虎,Goniurosaurus zhelongi,广东,终审:A4 排除(建议)-伴随物种记录,新种描述文献中的伴随物种记录，非明确新纪录事件,"Shuo Qi and L. Lee Grismer and Zhi-Tong Lyu and Liang Zhang and Pi-Peng Li and Ying-Yong Wang (2020). A definition of the Goniurosaurus yingdeensis group (Squamata, Eublepharidae) with the description of a new species ZooKeys, 986, 127–155 https://doi.org/10.3897/zookeys.986.47989"
37,英德睑虎,Goniurosaurus yingdeensis,广东,新种表,新种描述，转入 CHNR_new_species,"Shuo Qi and L. Lee Grismer and Zhi-Tong Lyu and Liang Zhang and Pi-Peng Li and Ying-Yong Wang (2020). A definition of the Goniurosaurus yingdeensis group (Squamata, Eublepharidae) with the description of a new species ZooKeys, 986, 127–155 https://doi.org/10.3897/zookeys.986.47989"
38,紫灰锦蛇,Elaphe porphyracea,四川,事件表,省级新纪录事件（1省）,"郭鹏 (2005). 四川泸州地区蛇类一新记录 宜宾学院学报, 63-63"
39,宁陕齿突蟾,Scutiger ningshanensis,陕西,排除,记录类型为'其他新纪录/再发现'等，未纳入省级新纪录事件表,"李先敏、郭明、李园园 (2021). 太白山自然保护区两栖类新纪录———宁陕齿突蟾 陕西林业科技, 49(1), 79-80"
40,南岭睑虎,Goniurosaurus varius,广东,新种表,新种描述，转入 CHNR_new_species,"Shuo Qi and L. Lee Grismer and Zhi-Tong Lyu and Liang Zhang and Pi-Peng Li and Ying-Yong Wang (2020). A definition of the Goniurosaurus yingdeensis group (Squamata, Eublepharidae) with the description of a new species ZooKeys, 986, 127–155 https://doi.org/10.3897/zookeys.986.47989"
41,德宏角蟾,Xenophrys dehongensis,云南,排除,记录类型为'其他新纪录/再发现'等，未纳入省级新纪录事件表,"Yun-He Wu and Zhong-Bin Yu and Jin-Min Chen and Felista Kasyoka Kilunda and Ding-Can Zhang and Chang-Sheng Zuo and An-Ru Zuo and Zheng-Pan Duan and Jing Che (2024). A field survey on the genus Xenophrys (Amphibia, Megophryidae) confirms underestimated diversity in the Gaoligong Mountains, with the description of a new species Life Science, 100(3) https://doi.org/10.3897/zse.100.127635"
42,腺角蟾,Xenophrys glandulosa,云南,排除,记录类型为'其他新纪录/再发现'等，未纳入省级新纪录事件表,"Yun-He Wu and Zhong-Bin Yu and Jin-Min Chen and Felista Kasyoka Kilunda and Ding-Can Zhang and Chang-Sheng Zuo and An-Ru Zuo and Zheng-Pan Duan and Jing Che (2024). A field survey on the genus Xenophrys (Amphibia, Megophryidae) confirms underestimated diversity in the Gaoligong Mountains, with the description of a new species Life Science, 100(3) https://doi.org/10.3897/zse.100.127635"
43,藏南角蟾,Xenophrys periosa,云南,排除,记录类型为'其他新纪录/再发现'等，未纳入省级新纪录事件表,"Yun-He Wu and Zhong-Bin Yu and Jin-Min Chen and Felista Kasyoka Kilunda and Ding-Can Zhang and Chang-Sheng Zuo and An-Ru Zuo and Zheng-Pan Duan and Jing Che (2024). A field survey on the genus Xenophrys (Amphibia, Megophryidae) confirms underestimated diversity in the Gaoligong Mountains, with the description of a new species Life Science, 100(3) https://doi.org/10.3897/zse.100.127635"
44,黄脊游蛇,Coluber spinalis,安徽,事件表,省级新纪录事件（1省）,"许雪峰、黄健、张珑、张猛 (2000). 安徽省蛇类一新记录———黄脊游蛇 四川动物, 19(3), 158"
45,,Xenophrys sp.,云南,排除,属级记录，非种级事件,"Yun-He Wu and Zhong-Bin Yu and Jin-Min Chen and Felista Kasyoka Kilunda and Ding-Can Zhang and Chang-Sheng Zuo and An-Ru Zuo and Zheng-Pan Duan and Jing Che (2024). A field survey on the genus Xenophrys (Amphibia, Megophryidae) confirms underestimated diversity in the Gaoligong Mountains, with the description of a new species Life Science, 100(3) https://doi.org/10.3897/zse.100.127635"
46,棕黑锦蛇非模亚种,Elaphe schrenckii anomala,山东,排除,记录类型为'其他新纪录/再发现'等，未纳入省级新纪录事件表,"陆宇燕,黄清荣,常林瑞,等.山东省昆嵛山的棕黑锦蛇非模亚种[J].四川动物,2002,(3):188."
47,中国石龙子,Plestiodon chinensis,山东,事件表,省级新纪录事件（1省）,"陆宇燕,贾雅丽,刘金香,等.山东省爬行动物新记录──中国石龙子[J].四川动物,2002,(1):35-36."
48,刘氏链蛇,Lycodon liuchengchaoi,山西,事件表,省级新纪录事件（1省）,"张建军 (2019). 山西阳城发现刘氏链蛇 动物学杂志, 54, 164-188 https://doi.org/10.13859/j.cjz.201902018"
49,峨眉髭蟾,Vibrissaphora boringii,重庆,事件表,省级新纪录事件（1省）,"李晶尧,李丕鹏,侯勉,等.峨眉髭蟾在重庆的分布——蝌蚪在无尾类分类和多样性调查中的应用一例[J].四川动物,2010,29(1):63-65+162."
50,小湍蛙,Amolops torrentis,广东,事件表,省级新纪录事件（1省）,"韦启浪,何兵,胡慧建.广东省两栖动物一新纪录——小湍蛙[J].四川动物,2010,29(3):345."
51,立春角蟾,Boulenophrys lichun,福建,新种表,新种描述，转入 CHNR_new_species,"Shi-Shi Lin and Hong-Hui Chen and Yuan-Hang Li and Zhao-Ning Peng and Zhao-Chi Zeng and Jian Wang (2024). A new Boulenophrys species (Anura, Megophryidae) from the coastal hills of eastern Fujian Province, China https://doi.org/10.3897/zookeys.1216.130017"
