Source_row,Chinese_name_raw,Scientific_name_raw,Province_raw,Verdict,Reason,Source_citation
666,白线树蛙,Rhacophorus leucofasciatus,贵州,事件表,省级新纪录事件（1省）,"陈继军、潘成坤 (2015). 贵州省黔东南州两栖类新纪录———白线树蛙 贵州林业科技, 43(2) https://doi.org/10.16709/j.cnki.gzlykj.2015.02.003"
667,,Hebius venningi,,终审:A3 排除-无省份且无坐标,新种描述文献中的伴随物种记录，非明确新纪录事件,"Yu-Hao Xu and Dian-Cheng Yang and Yan-An Gong and Kai-Chen Ouyang and Shi-Yang Weng and Jun-Dong Deng and Song Huang and Li-Fang Peng (2024). A new species of the genus Hebius (Squamata, Natricidae) from Yunnan, China ZooKeys https://doi.org/10.3897/zookeys.1206.123841"
668,坡普腹链蛇,Hebius popei,,终审:A3 排除-无省份且无坐标,新种描述文献中的伴随物种记录，非明确新纪录事件,"Yu-Hao Xu and Dian-Cheng Yang and Yan-An Gong and Kai-Chen Ouyang and Shi-Yang Weng and Jun-Dong Deng and Song Huang and Li-Fang Peng (2024). A new species of the genus Hebius (Squamata, Natricidae) from Yunnan, China ZooKeys https://doi.org/10.3897/zookeys.1206.123841"
669,黑带腹链蛇,Hebius bitaeniatus,,终审:A3 排除-无省份且无坐标,新种描述文献中的伴随物种记录，非明确新纪录事件,"Yu-Hao Xu and Dian-Cheng Yang and Yan-An Gong and Kai-Chen Ouyang and Shi-Yang Weng and Jun-Dong Deng and Song Huang and Li-Fang Peng (2024). A new species of the genus Hebius (Squamata, Natricidae) from Yunnan, China ZooKeys https://doi.org/10.3897/zookeys.1206.123841"
670,维西腹链蛇,Hebius weixiensis,,终审:A3 排除-无省份且无坐标,新种描述文献中的伴随物种记录，非明确新纪录事件,"Yu-Hao Xu and Dian-Cheng Yang and Yan-An Gong and Kai-Chen Ouyang and Shi-Yang Weng and Jun-Dong Deng and Song Huang and Li-Fang Peng (2024). A new species of the genus Hebius (Squamata, Natricidae) from Yunnan, China ZooKeys https://doi.org/10.3897/zookeys.1206.123841"
671,,Hebius andreae,,终审:A3 排除-无省份且无坐标,新种描述文献中的伴随物种记录，非明确新纪录事件,"Yu-Hao Xu and Dian-Cheng Yang and Yan-An Gong and Kai-Chen Ouyang and Shi-Yang Weng and Jun-Dong Deng and Song Huang and Li-Fang Peng (2024). A new species of the genus Hebius (Squamata, Natricidae) from Yunnan, China ZooKeys https://doi.org/10.3897/zookeys.1206.123841"
672,白眉腹链蛇,Hebius boulengeri,广东,新种表,新种描述，转入 CHNR_new_species,"Shuo Liu and JiShan Wang and Mian Hou and Liang Zhang and Qiaoyan Wang and Chunmiao Zong and Jiang Zhou and Dingqi Rao and Patrick David and Gernot Vogel (2025). A new species of the genus Hebius (Squamata, Natricidae), previously confused with H. boulengeri (Gressitt, 1937) Yunnan Xishuangbanna National Nature https://doi.org/10.3897/zookeys.1254.161130"
673,单氏腹链蛇,Hebius shantianfangi,云南,新种表,新种描述，转入 CHNR_new_species,"Shuo Liu and JiShan Wang and Mian Hou and Liang Zhang and Qiaoyan Wang and Chunmiao Zong and Jiang Zhou and Dingqi Rao and Patrick David and Gernot Vogel (2025). A new species of the genus Hebius (Squamata, Natricidae), previously confused with H. boulengeri (Gressitt, 1937) Yunnan Xishuangbanna National Nature https://doi.org/10.3897/zookeys.1254.161130"
674,冷泉树蛙,Kurixalus lenquanensis,云南,新种表,新种描述，转入 CHNR_new_species,"Guohua Yu and Jishan Wang and Mian Hou and Dingqi Rao and Junxing Yang (2017). A new species of the genus Kurixalus from Yunnan, China (Anura, Rhacophoridae) ZooKeys, 694, 71–93 https://doi.org/10.3897/zookeys.694.12785"
675,冷泉树蛙,Kurixalus lenquanensis,云南,新种表,新种描述，转入 CHNR_new_species,"Guohua Yu and Jishan Wang and Mian Hou and Dingqi Rao and Junxing Yang (2017). A new species of the genus Kurixalus from Yunnan, China (Anura, Rhacophoridae) ZooKeys, 694, 71–93 https://doi.org/10.3897/zookeys.694.12785"
676,冷泉树蛙,Kurixalus lenquanensis,云南,新种表,新种描述，转入 CHNR_new_species,"Guohua Yu and Jishan Wang and Mian Hou and Dingqi Rao and Junxing Yang (2017). A new species of the genus Kurixalus from Yunnan, China (Anura, Rhacophoridae) ZooKeys, 694, 71–93 https://doi.org/10.3897/zookeys.694.12785"
677,黑瘰螈,Tylototriton asperrimus,中国广西、越南和平,终审:A4 排除(建议)-伴随物种记录,新种描述文献中的伴随物种记录，非明确新纪录事件,"KANTO NISHIKAWA and MASAFUMI MATSUI and TAO THIEN NGUYEN (2013). A New Species of Tylototriton from Northern Vietnam (Amphibia: Urodela: Salamandridae) Current Herpetology, 32(1), 34–49 https://doi.org/10.5358/hsj.32.34"
678,泽氏瘰螈,Tylototriton ziegleri,河江、高平,排除,国外新种描述（省份为外国地名）,"KANTO NISHIKAWA and MASAFUMI MATSUI and TAO THIEN NGUYEN (2013). A New Species of Tylototriton from Northern Vietnam (Amphibia: Urodela: Salamandridae) Current Herpetology, 32(1), 34–49 https://doi.org/10.5358/hsj.32.34"
679,冷泉树蛙,Kurixalus lenquanensis,云南,新种表,新种描述，转入 CHNR_new_species,"Guohua Yu and Jishan Wang and Mian Hou and Dingqi Rao and Junxing Yang (2017). A new species of the genus Kurixalus from Yunnan, China (Anura, Rhacophoridae) ZooKeys, 694, 71–93 https://doi.org/10.3897/zookeys.694.12785"
680,大瑶山掌突蟾,Leptobrachella dayaoshanensis,广西,新种表,新种描述，转入 CHNR_new_species,"Gui-Dong Yu and Kun Qin and Tao Meng and Peng Li and Wan-Xiao Peng and Wei-Cai Chen (2024). A new species of the genus Leptobrachella (Amphibia, Anura, Megophryidae) from Dayaoshan National Nature Reserve, Guangxi, China Dayaoshan National Nature https://doi.org/10.3897/zookeys.1219.121027"
681,大瑶山掌突蟾,Leptobrachella dayaoshanensis,广西,新种表,新种描述，转入 CHNR_new_species,"Gui-Dong Yu and Kun Qin and Tao Meng and Peng Li and Wan-Xiao Peng and Wei-Cai Chen (2024). A new species of the genus Leptobrachella (Amphibia, Anura, Megophryidae) from Dayaoshan National Nature Reserve, Guangxi, China Dayaoshan National Nature https://doi.org/10.3897/zookeys.1219.121027"
682,大容山掌突蟾,Leptobrachella darongshanensis,广西,新种表,新种描述，转入 CHNR_new_species,"Wei-Cai Chen and Yong-Jian Bei and Peng Li (2025). A new species of the genus Leptobrachella (Amphibia, Anura, Megophryidae) from the Darongshan Nature Reserve, Guangxi, China Darongshan Nature https://doi.org/10.3897/zookeys.1260.161514"
683,十万大山掌突蟾,Leptobrachella shiwandashanensis,广西,终审:A4 排除(建议)-伴随物种记录,新种描述文献中的伴随物种记录，非明确新纪录事件,"Wei-Cai Chen and Yong-Jian Bei and Peng Li (2025). A new species of the genus Leptobrachella (Amphibia, Anura, Megophryidae) from the Darongshan Nature Reserve, Guangxi, China Darongshan Nature https://doi.org/10.3897/zookeys.1260.161514"
684,凉山瘰螈,Tylototriton taliangensis,,终审:A3 排除-无省份且无坐标,新种描述文献中的伴随物种记录，非明确新纪录事件,"Youhui SHEN and Jianping JIANG and Xiaoyang MO (2012). A New Species of the Genus Tylototriton (Amphibia, Salamandridae) from Hunan, China Asian Herpetological Research, 3(1), 21–30 https://doi.org/10.3724/SP.J.1245.2012.00021"
685,云开掌突蟾,Leptobrachella yunkaiensis,广东、广西,事件表,省级新纪录事件（2省）,"Wei-Cai Chen and Yong-Jian Bei and Peng Li (2025). A new species of the genus Leptobrachella (Amphibia, Anura, Megophryidae) from the Darongshan Nature Reserve, Guangxi, China Darongshan Nature https://doi.org/10.3897/zookeys.1260.161514"
686,棕黑疣螈,Tylototriton verrucosus,,终审:A3 排除-无省份且无坐标,新种描述文献中的伴随物种记录，非明确新纪录事件,"Youhui SHEN and Jianping JIANG and Xiaoyang MO (2012). A New Species of the Genus Tylototriton (Amphibia, Salamandridae) from Hunan, China Asian Herpetological Research, 3(1), 21–30 https://doi.org/10.3724/SP.J.1245.2012.00021"
687,南部瘰螈,Tylototriton notialis,,终审:A3 排除-无省份且无坐标,新种描述文献中的伴随物种记录，非明确新纪录事件,"Youhui SHEN and Jianping JIANG and Xiaoyang MO (2012). A New Species of the Genus Tylototriton (Amphibia, Salamandridae) from Hunan, China Asian Herpetological Research, 3(1), 21–30 https://doi.org/10.3724/SP.J.1245.2012.00021"
688,大容山掌突蟾,Leptobrachella darongshanensis,广西,新种表,新种描述，转入 CHNR_new_species,"Wei-Cai Chen and Yong-Jian Bei and Peng Li (2025). A new species of the genus Leptobrachella (Amphibia, Anura, Megophryidae) from the Darongshan Nature Reserve, Guangxi, China Darongshan Nature https://doi.org/10.3897/zookeys.1260.161514"
689,十万大山掌突蟾,Leptobrachella shiwandashanensis,广东,终审:A4 排除(建议)-伴随物种记录,新种描述文献中的伴随物种记录，非明确新纪录事件,"Wei-Cai Chen and Yong-Jian Bei and Peng Li (2025). A new species of the genus Leptobrachella (Amphibia, Anura, Megophryidae) from the Darongshan Nature Reserve, Guangxi, China Darongshan Nature https://doi.org/10.3897/zookeys.1260.161514"
690,,Atelopus fronterizo,达连,排除,国外新种描述（省份为外国地名）,and A new species of Atelopus (Amphibia: Bufonidae) from eastern Panama https://doi.org/10.24272/j.issn.2095-8137.2020.319
691,饶氏原指树蛙,Kurixalus raoi,贵州,新种表,新种描述，转入 CHNR_new_species,"Unknown Author A new species of Kurixalus (Anura, Rhacophoridae) from Guizhou, China https://doi.org/10.24272/j.issn.2095-8137.2020.311"
692,大明山掌突蟾,Leptobrachella damingshanensis,广西,新种表,新种描述，转入 CHNR_new_species,"Wang, Li, Liu, Wei, Wang (2021). A new species of Leptobrachella (Anura: Megophryidae) from central Guangxi, China https://doi.org/10.24272/j.issn.2095-8137.2021.179"
693,斯氏龙蜥,Diploderma swild,四川,新种表,新种描述，转入 CHNR_new_species,"Unknown Author (2019). A new species of Mountain Dragon (Reptilia: Agamidae: Diploderma) from the D. dymondi complex in southern Sichuan Province, China Zoological Research, 40(5), 456-465 https://doi.org/10.24272/j.issn.2095-8137.2019.034"
694,滇南龙蜥,Diploderma dymondi,,新种表,新种描述，转入 CHNR_new_species,"Unknown Author (2019). A new species of Mountain Dragon (Reptilia: Agamidae: Diploderma) from the D. dymondi complex in southern Sichuan Province, China Zoological Research, 40(5), 456-465 https://doi.org/10.24272/j.issn.2095-8137.2019.034"
695,瓦氏龙蜥,Diploderma varcoae,,终审:A3 排除-无省份且无坐标,新种描述文献中的伴随物种记录，非明确新纪录事件,"Unknown Author (2019). A new species of Mountain Dragon (Reptilia: Agamidae: Diploderma) from the D. dymondi complex in southern Sichuan Province, China Zoological Research, 40(5), 456-465 https://doi.org/10.24272/j.issn.2095-8137.2019.034"
696,黄头龙蜥,Diploderma flaviceps,,终审:A3 排除-无省份且无坐标,新种描述文献中的伴随物种记录，非明确新纪录事件,"Unknown Author (2019). A new species of Mountain Dragon (Reptilia: Agamidae: Diploderma) from the D. dymondi complex in southern Sichuan Province, China Zoological Research, 40(5), 456-465 https://doi.org/10.24272/j.issn.2095-8137.2019.034"
697,云开掌突蟾,Leptobrachella yunkaiensis,广东、广西,事件表,省级新纪录事件（2省）,"Wei-Cai Chen and Yong-Jian Bei and Peng Li (2025). A new species of the genus Leptobrachella (Amphibia, Anura, Megophryidae) from the Darongshan Nature Reserve, Guangxi, China Darongshan Nature https://doi.org/10.3897/zookeys.1260.161514"
698,佛山掌突蟾,Leptobrachella kungfu,广东,新种表,新种描述，转入 CHNR_new_species,"Qi-Qi Zhang and Shi-Shi Lin and Yuan-Hang Li and Hong-Lin Su and Hong-Hui Chen and Xiu-Yu Zhang and Zhao-Chi Zeng and Jian Wang (2025). A new species of the genus Leptobrachella (Anura, Megophryidae) from central Guangdong Province, China Environmental Science https://doi.org/10.3897/zookeys.1259.164646"
699,,Leptobrachella yunkaiensis,广东,终审:A4 排除(建议)-伴随物种记录,新种描述文献中的伴随物种记录，非明确新纪录事件,"Qi-Qi Zhang and Shi-Shi Lin and Yuan-Hang Li and Hong-Lin Su and Hong-Hui Chen and Xiu-Yu Zhang and Zhao-Chi Zeng and Jian Wang (2025). A new species of the genus Leptobrachella (Anura, Megophryidae) from central Guangdong Province, China Environmental Science https://doi.org/10.3897/zookeys.1259.164646"
700,佛山掌突蟾,Leptobrachella kungfu,广东,新种表,新种描述，转入 CHNR_new_species,"Qi-Qi Zhang and Shi-Shi Lin and Yuan-Hang Li and Hong-Lin Su and Hong-Hui Chen and Xiu-Yu Zhang and Zhao-Chi Zeng and Jian Wang (2025). A new species of the genus Leptobrachella (Anura, Megophryidae) from central Guangdong Province, China ZooKeys https://doi.org/10.3897/zookeys.1259.164646"
701,十万大山东方蛙,Occidozyga shiwandashanensis,广西,新种表,新种描述，转入 CHNR_new_species,"Kuhl and van Hasselt (1822). A new species of Occidozyga Kuhl and van Hasselt, 1822 (Anura: Dicroglossidae) from Southern Guangxi, China https://doi.org/10.24272/j.issn.2095-8137.2021.252"
702,,Leptobrachella yunkaiensis,广东,终审:A4 排除(建议)-伴随物种记录,新种描述文献中的伴随物种记录，非明确新纪录事件,"Qi-Qi Zhang and Shi-Shi Lin and Yuan-Hang Li and Hong-Lin Su and Hong-Hui Chen and Xiu-Yu Zhang and Zhao-Chi Zeng and Jian Wang (2025). A new species of the genus Leptobrachella (Anura, Megophryidae) from central Guangdong Province, China ZooKeys https://doi.org/10.3897/zookeys.1259.164646"
703,密疣掌突蟾,Leptobrachella verrucosa,广东,新种表,新种描述，转入 CHNR_new_species,"Shi-Shi Lin and Yuan-Hang Li and Yu-Hong Lu and Hong-Lin Su and Shi-Bin Wu and Qi-Qi Zhang and Mei-Juan Mo and Shao-Jun Xiao and Zhong Pan and Hu-Jun Pan and Zhao-Chi Zeng and Jian Wang (2022). A new species of the genus Leptobrachella (Anura, Megophryidae) from northwestern Guangdong Province, China Herpetozoa, 35, 165-178 https://doi.org/10.3897/herpetozoa.35.e89981"
704,密疣掌突蟾,Leptobrachella verrucosa,广东,新种表,新种描述，转入 CHNR_new_species,"Shi-Shi Lin and Yuan-Hang Li and Yu-Hong Lu and Hong-Lin Su and Shi-Bin Wu and Qi-Qi Zhang and Mei-Juan Mo and Shao-Jun Xiao and Zhong Pan and Hu-Jun Pan and Zhao-Chi Zeng and Jian Wang (2022). A new species of the genus Leptobrachella (Anura, Megophryidae) from northwestern Guangdong Province, China Herpetozoa, 35, 165–178 https://doi.org/10.3897/herpetozoa.35.e89981"
705,,Leptobrachella yunkaiensis,广东,终审:A4 排除(建议)-伴随物种记录,新种描述文献中的伴随物种记录，非明确新纪录事件,"Shi-Shi Lin and Yuan-Hang Li and Yu-Hong Lu and Hong-Lin Su and Shi-Bin Wu and Qi-Qi Zhang and Mei-Juan Mo and Shao-Jun Xiao and Zhong Pan and Hu-Jun Pan and Zhao-Chi Zeng and Jian Wang (2022). A new species of the genus Leptobrachella (Anura, Megophryidae) from northwestern Guangdong Province, China Herpetozoa, 35, 165–178 https://doi.org/10.3897/herpetozoa.35.e89981"
706,织金瘰螈,Paramesotriton zhijinensis,,终审:A3 排除-无省份且无坐标,新种描述文献中的伴随物种记录，非明确新纪录事件,"李松、田应洲、谷晓明、熊荣川 (2008). 瘰螈属一新种——龙里瘰螈(有尾目:蝾螈科) 动物学研究, 29(3), 313-317 https://doi.org/10.3724/SP.J.1141.2008.03313"
707,新都桥湍蛙,Amolops xinduqiao,四川,新种表,新种描述，转入 CHNR_new_species,"Liang Fei and Chang-Yuan Ye and Yu-Fan Wang and Ke Jiang (2017). A new species of the genus Amolops (Anura: Ranidae) from high-altitude Sichuan, southwestern China, with a discussion on the taxonomic status of Amolops kangtingensis Zoological Research, 38(3), 138-145 https://doi.org/10.24272/j.issn.2095-8137.2017.022"
708,康定湍蛙,Amolops kangtingensis,四川,新种表,新种描述，转入 CHNR_new_species,"Liang Fei and Chang-Yuan Ye and Yu-Fan Wang and Ke Jiang (2017). A new species of the genus Amolops (Anura: Ranidae) from high-altitude Sichuan, southwestern China, with a discussion on the taxonomic status of Amolops kangtingensis Zoological Research, 38(3), 138-145 https://doi.org/10.24272/j.issn.2095-8137.2017.022"
709,峨眉湍蛙,Amolops mantzorum,,终审:A3 排除-无省份且无坐标,新种描述文献中的伴随物种记录，非明确新纪录事件,"Liang Fei and Chang-Yuan Ye and Yu-Fan Wang and Ke Jiang (2017). A new species of the genus Amolops (Anura: Ranidae) from high-altitude Sichuan, southwestern China, with a discussion on the taxonomic status of Amolops kangtingensis Zoological Research, 38(3), 138-145 https://doi.org/10.24272/j.issn.2095-8137.2017.022"
710,,Leptobrachella liui,,终审:A3 排除-无省份且无坐标,新种描述文献中的伴随物种记录，非明确新纪录事件,"Shi-Shi Lin and Yuan-Hang Li and Yu-Hong Lu and Hong-Lin Su and Shi-Bin Wu and Qi-Qi Zhang and Mei-Juan Mo and Shao-Jun Xiao and Zhong Pan and Hu-Jun Pan and Zhao-Chi Zeng and Jian Wang (2022). A new species of the genus Leptobrachella (Anura, Megophryidae) from northwestern Guangdong Province, China Herpetozoa, 35, 165–178 https://doi.org/10.3897/herpetozoa.35.e89981"
711,海南小姬蛙,Micryletta immaculata,海南,新种表,新种描述，转入 CHNR_new_species,"Unknown Author A new species of the genus Micryletta (Anura, Microhylidae) from Hainan Island, China https://doi.org/10.24272/j.issn.2095-8137.2020.333"
712,沧源树蛙,Raorchestes cangyuanensis,云南,新种表,新种描述，转入 CHNR_new_species,"DEAR EDITOR (2019). A new species of the genus Raorchestes (Anura: Rhacophoridae) from Yunnan Province, China Zoological Research, 40(6), 558-563 https://doi.org/10.24272/j.issn.2095-8137.2019.066"
713,,Leptobrachella mangshanensis,,终审:A3 排除-无省份且无坐标,新种描述文献中的伴随物种记录，非明确新纪录事件,"Shi-Shi Lin and Yuan-Hang Li and Yu-Hong Lu and Hong-Lin Su and Shi-Bin Wu and Qi-Qi Zhang and Mei-Juan Mo and Shao-Jun Xiao and Zhong Pan and Hu-Jun Pan and Zhao-Chi Zeng and Jian Wang (2022). A new species of the genus Leptobrachella (Anura, Megophryidae) from northwestern Guangdong Province, China Herpetozoa, 35, 165–178 https://doi.org/10.3897/herpetozoa.35.e89981"
714,稻城高原鳅,Triplophysa daochengensis,四川,排除,名录归辐鳍鱼纲，非两栖爬行动物,"Yu-Yi WU and Zhi-Yu SUN and Yan-Shu GUO (2016). A new species of the genus Triplophysa (Cypriniformes: Nemacheilidae), Triplophysa daochengensis, from Sichuan Province, China Zoological Research, 37(5), 290-295 https://doi.org/10.13918/j.issn.2095-8137.2016.5.290"
715,,Leptobrachella wulingensis,,终审:A3 排除-无省份且无坐标,新种描述文献中的伴随物种记录，非明确新纪录事件,"Shi-Shi Lin and Yuan-Hang Li and Yu-Hong Lu and Hong-Lin Su and Shi-Bin Wu and Qi-Qi Zhang and Mei-Juan Mo and Shao-Jun Xiao and Zhong Pan and Hu-Jun Pan and Zhao-Chi Zeng and Jian Wang (2022). A new species of the genus Leptobrachella (Anura, Megophryidae) from northwestern Guangdong Province, China Herpetozoa, 35, 165–178 https://doi.org/10.3897/herpetozoa.35.e89981"
716,荔波角蟾,Xenophrys liboensis,贵州,新种表,新种描述，转入 CHNR_new_species,"Yanan ZHANG and Gang LI and Ning XIAO and Jiaqi LI and Tao PAN and Hui WANG and Baowei ZHANG and Jiang ZHOU (2017). A New Species of the Genus Xenophrys (Amphibia: Anura: Megophryidae) from Libo Country, Guizhou, China Asian Herpetological Research, 8(2), xx–xx https://doi.org/10.16373/j.cnki.ahr.160041"
717,,Leptobrachella zhangyapingi,,终审:A3 排除-无省份且无坐标,新种描述文献中的伴随物种记录，非明确新纪录事件,"Shi-Shi Lin and Yuan-Hang Li and Yu-Hong Lu and Hong-Lin Su and Shi-Bin Wu and Qi-Qi Zhang and Mei-Juan Mo and Shao-Jun Xiao and Zhong Pan and Hu-Jun Pan and Zhao-Chi Zeng and Jian Wang (2022). A new species of the genus Leptobrachella (Anura, Megophryidae) from northwestern Guangdong Province, China Herpetozoa, 35, 165–178 https://doi.org/10.3897/herpetozoa.35.e89981"
718,腾冲掌突蟾,Leptobrachium tengchongense,云南,新种表,新种描述，转入 CHNR_new_species,"JIAN-HUAN YANG and YING-YONG WANG and BOSCO PUI-LOK CHAN (2016). A new species of the genus Leptobrachium (Anura: Megophryidae) from the Gaoligongshan Mountain Range, China Zootaxa, 4150(2), 133–148 https://doi.org/10.11646/zootaxa.4150.2.3"
719,橙腹瘰螈,Paramesotriton aurantius,福建,新种表,新种描述，转入 CHNR_new_species,"ZHIYONG YUAN and YUNKE WU and JIAJUN ZHOU & JING CHE (2016). A new species of the genus Paramesotriton (Caudata: Salamandridae) from Fujian, southeastern China Zootaxa, 4205(6), 549–563 https://doi.org/10.11646/zootaxa.4205.6.3"
720,腾冲掌突蟾,Leptobrachium tengchongense,云南,新种表,新种描述，转入 CHNR_new_species,"JIAN-HUAN YANG and YING-YONG WANG and BOSCO PUI-LOK CHAN (2016). A new species of the genus Leptobrachium (Anura: Megophryidae) from the Gaoligongshan Mountain Range, China Zootaxa, 4150(2), 133–148 https://doi.org/10.11646/zootaxa.4150.2.3"
721,腾冲掌突蟾,Leptolalax tengchongensis,云南,新种表,新种描述，转入 CHNR_new_species,"JIAN-HUAN YANG and YING-YONG WANG and GUO-LING CHEN & DING-QI RAO (2016). A new species of the genus Leptolalax (Anura: Megophryidae) from Mt. Gaoligongshan of western Yunnan Province, China Zootaxa, 4088(3), 379–394 https://doi.org/10.11646/zootaxa.4088.3.4"
722,腾冲掌突蟾,Leptolalax tengchongensis,云南,新种表,新种描述，转入 CHNR_new_species,"JIAN-HUAN YANG and YING-YONG WANG and GUO-LING CHEN & DING-QI RAO (2016). A new species of the genus Leptolalax (Anura: Megophryidae) from Mt. Gaoligongshan of western Yunnan Province, China Zootaxa, 4088(3), 379–394 https://doi.org/10.11646/zootaxa.4088.3.4"
723,腾冲掌突蟾,Leptolalax tengchongensis,云南,新种表,新种描述，转入 CHNR_new_species,"JIAN-HUAN YANG and YING-YONG WANG and GUO-LING CHEN & DING-QI RAO (2016). A new species of the genus Leptolalax (Anura: Megophryidae) from Mt. Gaoligongshan of western Yunnan Province, China Zootaxa, 4088(3), 379–394 https://doi.org/10.11646/zootaxa.4088.3.4"
724,高山舌突蛙,Liurana alpina,西藏,终审:A1/B1 排除-同种同省已收录(再记录),新种描述文献中的伴随物种记录，非明确新纪录事件,"Haoqi YU and Yiheng LIN and Yuxi WANG and Puyang ZHENG and Shengchao SHI and Bin WANG and Jianping JIANG and Zhaobin SONG and Feng XIE (2024). A New Species of the Genus Liurana (Anura: Ceratobatrachidae) from Medog, China Asian Herpetological Research, 15(3), 131–139 https://doi.org/10.3724/ahr.2095-0357.2024.0008"
725,墨脱舌突蛙,Liurana medogensis,西藏,终审:A1/B1 排除-同种同省已收录(再记录),新种描述文献中的伴随物种记录，非明确新纪录事件,"Haoqi YU and Yiheng LIN and Yuxi WANG and Puyang ZHENG and Shengchao SHI and Bin WANG and Jianping JIANG and Zhaobin SONG and Feng XIE (2024). A New Species of the Genus Liurana (Anura: Ceratobatrachidae) from Medog, China Asian Herpetological Research, 15(3), 131–139 https://doi.org/10.3724/ahr.2095-0357.2024.0008"
726,宽头角蟾,Brachytarsophrys platyparietus,,新种表,新种描述，转入 CHNR_new_species,"Yao Li and Dan-Dan Zhang and Zhi-Tong Lyu and Jian Wang and Yu-Long Li and Zu-Yao Liu and Hong-Hui Chen and Ding-Qi Rao and Zhi-Fang Jin and Chang-You Zhang and Ying-Yong Wang (2020). Review of the genus Brachytarsophrys (Anura: Megophryidae), with revalidation of Brachytarsophrys platyparietus and description of a new species from China Zoological Research, 41(2), 105-122 https://doi.org/10.24272/j.issn.2095-8137.2020.040"
727,,Brachytarsophrys,,排除,属级记录，非种级事件,"Yao Li and Dan-Dan Zhang and Zhi-Tong Lyu and Jian Wang and Yu-Long Li and Zu-Yao Liu and Hong-Hui Chen and Ding-Qi Rao and Zhi-Fang Jin and Chang-You Zhang and Ying-Yong Wang (2020). Review of the genus Brachytarsophrys (Anura: Megophryidae), with revalidation of Brachytarsophrys platyparietus and description of a new species from China Zoological Research, 41(2), 105-122 https://doi.org/10.24272/j.issn.2095-8137.2020.040"
728,西藏舌突蛙,Liurana xizangensis,西藏,终审:A1/B1 排除-同种同省已收录(再记录),新种描述文献中的伴随物种记录，非明确新纪录事件,"Haoqi YU and Yiheng LIN and Yuxi WANG and Puyang ZHENG and Shengchao SHI and Bin WANG and Jianping JIANG and Zhaobin SONG and Feng XIE (2024). A New Species of the Genus Liurana (Anura: Ceratobatrachidae) from Medog, China Asian Herpetological Research, 15(3), 131–139 https://doi.org/10.3724/ahr.2095-0357.2024.0008"
729,河谷舌突蛙,Liurana vallecula,西藏,终审:A4 排除(建议)-伴随物种记录,新种描述文献中的伴随物种记录，非明确新纪录事件,"Haoqi YU and Yiheng LIN and Yuxi WANG and Puyang ZHENG and Shengchao SHI and Bin WANG and Jianping JIANG and Zhaobin SONG and Feng XIE (2024). A New Species of the Genus Liurana (Anura: Ceratobatrachidae) from Medog, China Asian Herpetological Research, 15(3), 131–139 https://doi.org/10.3724/ahr.2095-0357.2024.0008"
730,,Liurana himalayana,,终审:A3 排除-无省份且无坐标,新种描述文献中的伴随物种记录，非明确新纪录事件,"Haoqi YU and Yiheng LIN and Yuxi WANG and Puyang ZHENG and Shengchao SHI and Bin WANG and Jianping JIANG and Zhaobin SONG and Feng XIE (2024). A New Species of the Genus Liurana (Anura: Ceratobatrachidae) from Medog, China Asian Herpetological Research, 15(3), 131–139 https://doi.org/10.3724/ahr.2095-0357.2024.0008"
731,,Liurana indica,,终审:A3 排除-无省份且无坐标,新种描述文献中的伴随物种记录，非明确新纪录事件,"Haoqi YU and Yiheng LIN and Yuxi WANG and Puyang ZHENG and Shengchao SHI and Bin WANG and Jianping JIANG and Zhaobin SONG and Feng XIE (2024). A New Species of the Genus Liurana (Anura: Ceratobatrachidae) from Medog, China Asian Herpetological Research, 15(3), 131–139 https://doi.org/10.3724/ahr.2095-0357.2024.0008"
732,,Liurana minuta,,终审:A3 排除-无省份且无坐标,新种描述文献中的伴随物种记录，非明确新纪录事件,"Haoqi YU and Yiheng LIN and Yuxi WANG and Puyang ZHENG and Shengchao SHI and Bin WANG and Jianping JIANG and Zhaobin SONG and Feng XIE (2024). A New Species of the Genus Liurana (Anura: Ceratobatrachidae) from Medog, China Asian Herpetological Research, 15(3), 131–139 https://doi.org/10.3724/ahr.2095-0357.2024.0008"
733,花坪白环蛇,Lycodon cathaya,广西,新种表,新种描述，转入 CHNR_new_species,"Jian Wang and Shuo Qi and Zhi-Tong Lyu and Zhao-Chi Zeng and Ying-Yong Wang (2020). A new species of the genus Lycodon (Serpentes, Colubridae) from Guangxi, China ZooKeys, 954, 85–108 https://doi.org/10.3897/zookeys.954.53432"
734,花坪链蛇,Lycodon cathaya,广西,新种表,新种描述，转入 CHNR_new_species,"Jian Wang and Shuo Qi and Zhi-Tong Lyu and Zhao-Chi Zeng and Ying-Yong Wang (2020). A new species of the genus Lycodon (Serpentes, Colubridae) from Guangxi, China ZooKeys, 954, 85–108 https://doi.org/10.3897/zookeys.954.53432"
735,施氏瘰螈,Tylototriton sini,广东,新种表,新种描述，转入 CHNR_new_species,"Zhi-Tong Lyu and Jian Wang and Zhao-Chi Zeng and Jia-Jun Zhou and Shuo Qi and Han Wan and You-Yu Li and Ying-Yong Wang (2021). A new species of the genus Tylototriton (Caudata, Salamandridae) from Guangdong, southern China, with discussion on the subgenera and species groups within the genus Vertebrate Zoology, 71, 697-710 https://doi.org/10.3897/vz.71.e73563"
