ID,Source_row,Chinese_name_COL_China_2026,Scientific_name_COL_China_2026,New_distribution_province,Discovery_sites,Longitude,Latitude,Coordinate_basis
1,2,多疣棘蛙,Quasipaa verrucospinosa,云南,景洪市勐龙乡勐宋村、勐腊县勐远镇艺班东村,100.51,21.49,原文报道坐标
2,5,大蟾蜍,Bufo bufo,新疆,新疆维吾尔自治区哈巴河县郊,86.42,48.06,原文报道坐标
3,8,河口湍蛙,Amolops shihaitaoi,广西,中国广西壮族自治区靖西市,106.42,23.13,原文报道坐标
4,9,合江棘蛙,Quasipaa robertingeri,云南,云南威信县与四川省交界的长安镇大雪山白鹤池林场及其附近区域,104.77,27.88,原文报道坐标
5,10,阔褶水蛙,Sylvirana latouchii,云南,云南省勐仑中国科学院西双版纳热带植物园,101.4167,21.0667,原文报道坐标
6,11,棕点湍蛙,Amolops loloensis,云南,巧家县东坪乡威宁村,103.0861,27.3125,原文报道坐标
7,12,奥氏越南姬蛙,Vietnamophryne orlovi,云南,大围山国家级自然保护区,103.6995,22.9634,原文报道坐标
8,13,菱斑小头蛇,Oligodon catenatus,云南,绿春县三猛乡腊姑村俄扎水沟内,102.57,22.96,原文报道坐标
9,19,东北林蛙,Rana dybowskii,内蒙古,白音锡勒牧场,116.6478,43.6092,原文报道坐标
10,20,黑背链蛇,Lycodon ruhstrati,北京,小龙门林场,115.6,39.83,原文报道坐标
11,21,黑耳水蛙,Sylvirana nigrotympanica,广东,南岭自然保护区,112.5,24.5,原文报道坐标
12,22,莽山角蟾,Xenophrys mangshanensis,广东,南岭自然保护区,112.5,24.5,原文报道坐标
13,23,小棘蛙,Quasipaa exilispinosa,广东,南岭自然保护区,112.5,24.5,原文报道坐标
14,27,崇安斜鳞蛇,Pseudoxenodon karlschmidti,四川,中国保护大熊猫研究中心核桃坪野化培训基地的一条小路边的黑麦草草丛里,103.2206,31.0744,原文报道坐标
15,34,桓仁林蛙,Rana huanrenensis,吉林,吉林省抚松县松江河镇老岭林场小溪流石下,127.7167,41.8833,原文报道坐标
16,38,,,四川,合江县天堂坝洞坪村,106.2806,28.5614,原文报道坐标
17,44,黄脊东方蛇(黄脊游蛇),Orientocoluber spinalis,安徽,安徽省宿州市符离集北的牛头山,117.28,30.41,原文报道坐标
18,47,中国石龙子,Plestiodon chinensis,山东,乳山市普集镇,121.83,37.09,原文报道坐标
19,48,刘氏链蛇(刘氏白环蛇),Lycodon liuchengchaoi,山西,树皮沟管护站的前庄,112.4234,35.2879,原文报道坐标
20,49,峨眉髭蟾,Vibrissaphora boringii,重庆,酉阳县大板营,108.9667,29.0667,原文报道坐标
21,50,小湍蛙,Amolops torrentis,广东,云开山自然保护区东坑附近山间溪流,111.1833,22.2522,原文报道坐标
22,52,费氏短腿蟾,Brachytarsophrys feae,广西,广西蜻西底定自然保护区内(,105.9702,21.114167,原文报道坐标
23,53,海南拟髭蟾,Leptobrachium hainanense,广西,广西十万大山国家级自然保护区的上思县平龙凹林区内,107.89535,21.84155,原文报道坐标
24,54,黑眼睑纤树蛙,Gracixalus gracilipes,广西,广西十万大山国家级自然保护区的上思县平龙凹林区内,107.891683,21.840783,原文报道坐标
25,55,昭觉林蛙,Rana chaochiaoensis,广西,广西猫儿山国家级自然保护区,115.58,39.84,原文报道坐标
26,56,锯尾蜥虎,Hemidactylus garnotii,广西,北仑河口国家级自然保护区珍珠湾保护站,110.19,25.25,原文报道坐标
27,57,疣尾蜥虎,Hemidactylus frenatus,广西,广西北海市涠洲岛,109.083333,21.016667,原文报道坐标
28,61,,,广西,广西猫儿山国家级自然保护区,115.58,39.84,原文报道坐标
29,62,四川竹叶青蛇,Trimeresurus sichuanensis,广西,龙胜县,109.9161,25.6345,原文报道坐标
30,63,云南棘蛙,Gynandropaa yunnanensis,广西,龙滩自然保护区,106.7667,24.8,原文报道坐标
31,64,棕背树蜥,Calotes emma,广西,龙滩自然保护区,106.7667,24.8,原文报道坐标
32,65,脆蛇蜥,Dopasia harti,四川,"米易县草场乡、得石乡,盐边县安宁乡",101.9,26.9,文字地名地理编码/后续补充
33,66,,,新疆,新疆霍城县清水河以西约八公里处的大西沟小河及其附近沼泽,80.75,44.15,文字地名地理编码/后续补充
34,72,崇安草蜥,Takydromus sylvaticus,江西,阳际峰省级自然保护区,117.1917,27.8528,原文报道坐标
