ID,Source_row,Chinese_name_COL_China_2026,Scientific_name_COL_China_2026,New_distribution_province,Discovery_sites,Longitude,Latitude,Coordinate_basis
35,73,平鳞钝头蛇,Pareas boulengeri,河南,金岗台自然保护区,115.5333,31.7167,原文报道坐标
36,74,丽纹华珊瑚蛇(中华珊瑚蛇),Sinomicrurus macclellandi,河南,新县连康山国家级自然保护区,114.75,31.5167,原文报道坐标
37,75,黄纹石龙子,Plestiodon capito,河南,嵩山鹰愁崖附近小山顶,113.0,34.5,文字地名地理编码/后续补充
38,77,,,河南,十方院沟、叫河乡桦树坪村,111.5333,33.7111,原文报道坐标
39,78,宁陕齿突蟾,Scutiger ningshanensis,河南,十方院沟,111.5333,33.7111,原文报道坐标
40,84,颈槽蛇(湖北颈槽蛇),Rhabdophis nuchalis,河南,伏牛山自然保护区,111.2,33.3,原文报道坐标
41,85,黑背链蛇,Lycodon ruhstrati,河南,商城县金岗台自然保护区,115.55,31.75,文字地名地理编码/后续补充
42,91,合征姬蛙,Microhyla mixtura,浙江,宁波市北仑区柴桥,121.85,29.95,文字地名地理编码/后续补充
43,92,中国光蜥,Ateuchosaurus chinensis,浙江,左溪村,119.7839,27.6472,原文报道坐标
44,93,崇安斜鳞蛇,Pseudoxenodon karlschmidti,浙江,庆元县,119.0,27.65,原文报道坐标
45,94,无声囊泛树蛙,Polypedates mutus,湖北,湖北省宜昌市秭归县两河口镇狮子坪,110.5392,30.8062,原文报道坐标
46,100,仙琴蛙,Nidirana daunchina,湖北,,,,
47,107,棕黑腹链蛇,Hebius sauteri,湖北,大贵寺林场,108.0,27.5,文字地名地理编码/后续补充
48,108,龙胜小头蛇,Oligodon lungshenensis,湖北,三县场水库,109.2333,30.0667,原文报道坐标
49,112,桂北琴蛙,Nidirana guibeiensis,湖南,白云湖,110.3348,26.3101,原文报道坐标
50,114,纹尾斜鳞蛇,Pseudoxenodon stejnegeri,湖南,新宁舜皇山林场紫花坪紫溪河边,110.85,26.45,文字地名地理编码/后续补充
51,116,岜沙掌突蟾,Paramegophrys bashaensis,湖南,上洞村,109.9425,26.1908,原文报道坐标
52,125,北草蜥,Takydromus septentrionalis,山东,,,,
53,126,大绿臭蛙,Odorrana graminea,甘肃,康县三河坝镇,105.6833,33.1333,原文报道坐标
54,127,秦岭雨蛙,Hyla tsinlingensis,甘肃,徽县蔗沿公社、天水李子园,105.8,33.8,文字地名地理编码/后续补充
55,128,红吸盘棱皮树蛙,Theloderma rhododiscus,广西,中国广西壮族自治区金秀县,110.1833,24.1333,文字地名地理编码/后续补充
56,136,罗斯坦棘蛙,Paa rostandi,西藏,吉隆镇,85.326,28.406,原文报道坐标
57,137,倭蛙,Nanorana pleskei,西藏,青泥洞乡,95.219,31.395,原文报道坐标
58,138,缅甸树蛙,Zhangixalus burmanus,西藏,背崩乡布穷湖(西工湖)、格林村、札墨公路80K附近,95.219,29.253,原文报道坐标
59,142,原矛头蝮,Protobothrops mucrosquamatus,江苏,中国江苏省,118.7969,32.0603,文字地名地理编码/后续补充
60,155,岜沙掌突蟾,Paramegophrys bashaensis,贵州,贵州雷公山国家级自然保护区,108.1955,26.3702,原文报道坐标
61,162,桑植臭蛙,Odorrana sangzhiensis,贵州,滴水滩,105.6133,25.98,文字地名地理编码/后续补充
62,163,锦链蛇(锦白环蛇),Lycodon pictus,贵州,荔波县,108.0276,25.2176,原文报道坐标
63,164,茅索角蟾/母山角蟾,Xenophrys maosonensis,贵州,龙头大山州级自然保护区,105.5102,25.3987,原文报道坐标
64,166,侗掌突蟾,Paramegophrys dong,贵州,雷山县丹江镇仙女塘、雷山县大塘镇三湾村,108.1979,26.3714,原文报道坐标
65,168,乌梢蛇(乌梢鼠蛇),Ptyas dhumnades,辽宁,葫芦岛市西沟村溪流边石墙处,119.6953,40.2158,原文报道坐标
66,172,绿海龟,Chelonia mydas,辽宁,黄海海域一海区,123.0,35.0,文字地名地理编码/后续补充
67,173,蓝尾石龙子,Plestiodon elegans,辽宁,大连市旅顺口区杨树沟林场,121.25,38.85,文字地名地理编码/后续补充
68,180,金线侧褶蛙,Pelophylax plancyi,陕西,西安市长乐公园、曲江池遗址公园、沣渭生态景观区,108.9997,36.2619,原文报道坐标
69,182,棘疣角蟾,Boulenophrys tuberogranulatus,湖南,雪峰山,110.5,27.5,文字地名地理编码/后续补充
70,194,海南原指树蛙,Kurixalus hainanus,云南,多依河村,104.4948,24.7645,原文报道坐标
71,196,,,云南,西双版纳;西双版纳,100.8,22.0,文字地名地理编码/后续补充
72,197,云开脊蛇,Achalinus yunkaiensis,四川,画稿溪国家级自然保护区,105.45,28.25,文字地名地理编码/后续补充
73,202,秉志肥螈,Pachytriton granulosus,安徽,马金岭自然保护区,118.3079,29.5323,原文报道坐标
74,203,云开脊蛇,Achalinus yunkaiensis,湖南,南山国家公园,110.3833,26.1667,原文报道坐标
75,210,徂徕林蛙,Rana culaiensis,江苏,铁山寺国家森林公园,118.4584,32.7539,原文报道坐标
76,222,华西腹链蛇,Hebius maximus,湖北,湖北省恩施土家族苗族自治州利川市毛坝镇三县场村,109.2167,30.0667,原文报道坐标
77,230,红沙蚺(红沙蟒),Eryx miliaris,新疆,阿拉尔市塔南镇,81.3,40.5,文字地名地理编码/后续补充
78,232,台湾小头蛇,Oligodon formosanus,安徽,安徽升金湖国家级自然保护区,117.2094,30.4142,原文报道坐标
79,233,古氏草蜥(古纳氏草蜥),Takydromus kuehnei,安徽,黄山风景区,118.1482,30.0808,原文报道坐标
80,241,饰纹姬蛙,Microhyla fissipes,河南,淮阳县,114.8667,33.7333,文字地名地理编码/后续补充
81,243,赤链蛇,Lycodon rufozonatus,浙江,衢山岛,122.35,30.45,文字地名地理编码/后续补充
82,246,翡翠攀蜥,Diploderma iadinum,云南,澜沧江干流距其模式产地下游17公里处;澜沧江河谷五个新地点,100.5,22.5,文字地名地理编码/后续补充
83,247,帆背攀蜥,Diploderma vela,云南,云南省南部种群;澜沧江上游如美和通沙的北部种群,100.5,22.5,文字地名地理编码/后续补充
84,248,花坪链蛇(花坪白环蛇),Lycodon cathaya,湖南,南山国家公园金童山片区,110.2581,26.2506,原文报道坐标
85,249,猫儿山小鲵,Hynobius maoershanensis,广西,全州天湖国家湿地公园,110.9039,26.1058,原文报道坐标
86,250,黄家岭脊蛇,Achalinus huangjietangi,福建,福州市闽侯县环山公路旁,119.0311,26.4311,原文报道坐标
87,252,大雪山角蟾,Boulenophrys daxuemontis,云南,云南省昭通市威信县扎西镇狮子沟村,105.0334,27.8575,原文报道坐标
88,255,龙里瘰螈,Paramesotriton longliensis,云南,下金厂乡附近,104.8106,23.1419,原文报道坐标
89,257,福建华珊瑚蛇,Sinomicrurus kelloggi,云南,,,,
90,259,纹尾斜鳞蛇,Pseudoxenodon stejnegeri,云南,,,,
91,260,灰腹绿锦蛇,Gonyosoma frenatum,云南,水围城景区附近,103.696,22.9098,原文报道坐标
92,261,广西华珊瑚蛇,Sinomicrurus peinani,云南,马关县古林箐乡,103.9587,22.8243,原文报道坐标
93,265,双全链蛇(双全白环蛇),Lycodon fasciatus,安徽,黄山区汤口镇浮溪村,118.15,30.15,文字地名地理编码/后续补充
94,267,王锦蛇,Elaphe carinata,山东,范家石槽村,118.5833,35.0667,原文报道坐标
95,268,崇安草蜥,Takydromus sylvaticus,安徽,岭南保护区,118.15,29.45,原文报道坐标
96,271,大角蟾,Xenophrys major,广西,十万大山国家级自然保护区的防城港区峒中水源林保护区13km处,107.5588,21.7045,原文报道坐标
97,273,合征姬蛙,Microhyla mixtura,河南,商城县,115.5333,31.7167,原文报道坐标
98,276,湖北侧褶蛙,Pelophylax hubeiensis,河南,金岗台自然保护区,115.4783,31.6936,原文报道坐标
99,277,阔褶水蛙,Sylvirana latouchii,河南,金岗台自然保护区,115.4783,31.6936,原文报道坐标
100,278,大树蛙,Zhangixalus dennysi,河南,金岗台自然保护区,115.4783,31.6936,原文报道坐标
101,279,斑腿泛树蛙,Polypedates megacephalus,河南,金岗台自然保护区,115.4783,31.6936,原文报道坐标
102,299,哀鳞趾虎,Lepidodactylus lugubris,海南,海南万宁石梅湾,110.35,18.65,文字地名地理编码/后续补充
103,300,半叶趾虎,Hemiphyllodactylus typus,海南,海南三亚临春岭公园,109.55,18.25,文字地名地理编码/后续补充
104,302,黑头蝰,Azemiops feae,湖北,后河村,110.61,30.098,文字地名地理编码/后续补充
105,306,中国石龙子,Plestiodon chinensis,河北,无极县赵户营;石家庄市北郊,114.55,38.15,文字地名地理编码/后续补充
106,316,广东纤树蛙,Gracixalus guangdongensis,福建,梅花山国家级自然保护区,116.8361,25.3306,原文报道坐标
107,319,天目臭蛙,Odorrana tianmuii,福建,浦城县管厝乡东北部,118.6567,28.0535,原文报道坐标
108,320,黄岗臭蛙,Odorrana huanggangensis,福建,屏南县双溪镇,119.04,27.0368,原文报道坐标
109,321,巫山角蟾,Boulenophrys wushanensis,陕西,"周至县集贤镇南蒿坪,赤峪沟支沟水潭",108.3667,34.0,原文报道坐标
110,324,眼斑水龟,Sacalia bealei,贵州,松桃,109.2,28.15,文字地名地理编码/后续补充
111,325,古氏草蜥(古纳氏草蜥),Takydromus kuehnei,贵州,兴义,104.9,25.0833,文字地名地理编码/后续补充
112,326,,,贵州,望谟,106.1,25.1833,文字地名地理编码/后续补充
113,329,绿锦蛇,Gonyosoma prasinum,贵州,兴义,104.9,25.0833,文字地名地理编码/后续补充
114,331,横纹斜鳞蛇,Pseudoxenodon bambusicola,贵州,雷山、从江,108.5,26.2,文字地名地理编码/后续补充
115,332,台湾小头蛇,Oligodon formosanus,贵州,榕江、从江,108.6,25.7,文字地名地理编码/后续补充
116,337,中华湍蛙,Amolops sinensis,贵州,梵净山国家级自然保护区、雷公山国家级自然保护区,108.5886,27.9189,原文报道坐标
117,349,白尾双足蜥,Dibamus bourreti,广东,仁化县黄沙坑,113.6695,25.1905,原文报道坐标
118,350,黄山角蟾,Boulenophrys huangshanensis,江西,大鄣山鄣山村,117.75,29.45,文字地名地理编码/后续补充
119,356,,,广东,黑石顶省级自然保护区,111.8192,23.4208,原文报道坐标
120,360,安吉小鲵,Hynobius amjiensis,安徽,,,,
121,361,东亚腹链蛇,Hebius vibakari,安徽,牛王寨,117.0922,31.2658,原文报道坐标
122,362,棕脊蛇,Achalinus rufescens,安徽,,,,
123,363,福建华珊瑚蛇,Sinomicrurus kelloggi,安徽,石川村,118.1575,29.4597,原文报道坐标
124,364,股鳞蜓蜥,Sphenomorphus incognitus,安徽,岭南省级自然保护区,118.3833,30.0667,原文报道坐标
125,365,孟闻琴蛙,Nidirana mangveni,安徽,,,,
126,368,贺州肥螈/吴氏肥螈,Pachytriton wuguanfui,广东,连南瑶族自治县大鲵省级自然保护区,112.1797,24.4081,原文报道坐标
127,369,强婚刺铃蟾,Bombina fortinuptialis,广东,信宜市大雾岭,111.2186,22.2889,原文报道坐标
128,372,湘琴蛙,Nidirana xiangica,广东,连州市大东山,112.7103,24.9547,原文报道坐标
129,373,北部湾棱皮树蛙,Theloderma corticale,广东,乳源瑶族自治县南岭,112.9519,24.8486,原文报道坐标
130,376,横纹翠青蛇(横纹鼠蛇),Ptyas multicinctus,广东,古兜山自然保护区,112.9272,22.2356,原文报道坐标
131,377,白线树蛙,Zhangixalus leucofasciatus,广东,老蓬,113.0104,24.9365,原文报道坐标
132,381,台北纤蛙/台北水蛙,Hylarana taipehensis,澳门,,,,
133,389,六盘齿突蟾,Scutiger liupanensis,甘肃,通化乡黄叶沟、永宁乡葛家洞,106.2353,35.3639,原文报道坐标
134,390,若尔盖锦蛇,Elaphe zoigeensis,甘肃,迭部县城附近,103.2333,34.05,原文报道坐标
135,403,乐东蟾蜍,Ingerophrynus ledongensis,广东,天井山林区,113.05,24.7167,原文报道坐标
136,404,长肢林蛙,Rana longicus,广东,广东古田省级自然保护区,114.7833,23.0833,原文报道坐标
137,405,刘氏链蛇(刘氏白环蛇),Lycodon liuchengchaoi,广东,车八岭国家级自然保护区,114.1511,24.6747,原文报道坐标
138,406,尖喙蛇(尖喙绿锦蛇),Gonyosoma boulengeri,广东,里洞镇洛洞村天露山北麓,112.2333,22.4869,原文报道坐标
139,407,背条跳树蛙,Chirixalus doriae,广东,徐闻县海安镇,110.2231,20.2789,原文报道坐标
140,417,福清链蛇,Lycodon futsingensis,广东,深圳梧桐山、南岭国家森林公园、车八岭国家级自然保护区、天井山林场,114.2038,22.5728,原文报道坐标
141,418,双线小头蛇,Oligodon bivirgatus,广东,,,,
142,419,越南烙铁头蛇,Ovophis tonkinensis,广东,云开山自然保护区,111.1937,22.2736,原文报道坐标
143,420,黑带腹链蛇,Hebius bitaeniatum,广东,南岭国家级自然保护区大顶山管理站辖区(乳源县洛阳镇附近),112.8975,24.6997,原文报道坐标
144,424,腹斑掌突蟾,Paramegophrys ventripunctatus,广西,隆林县者浪乡坡合村,105.2242,24.7494,原文报道坐标
145,425,荔波臭蛙,Odorrana liboensis,广西,,,,
146,430,云开脊蛇,Achalinus yunkaiensis,广西,高寨村,110.4833,25.85,原文报道坐标
147,431,印支棱皮树蛙,Theloderma gordoni,广西,,,,
148,435,雷山琴蛙,Nidirana leishanensis,广西,,,,
149,436,越南烙铁头蛇,Ovophis tonkinensis,贵州,,,,
150,437,寒露林蛙,Rana hanluica,贵州,,,,
151,438,昆明钝头蛇(黑钝头蛇),Pareas niger,贵州,普安县,105.0186,25.7839,原文报道坐标
152,439,方花蛇,Archelaphe bella,贵州,金顶景区,108.7197,27.8972,原文报道坐标
153,440,贡山链蛇,Lycodon gongshan,贵州,,,,
154,445,峨眉角蟾,Xenophrys omeimontis,贵州,赤水桫椤国家级自然保护区金沙沟片区,105.9978,28.4367,原文报道坐标
155,446,双全链蛇(双全白环蛇),Lycodon fasciatus,湖南,曾家湾-顶坪-联防哨所一带,110.4833,29.8333,原文报道坐标
156,447,颈槽蛇(湖北颈槽蛇),Rhabdophis nuchalis,湖南,曾家湾-顶坪-联防哨所一带,110.4833,29.8333,原文报道坐标
157,448,黑头剑蛇,Sibynophis chinensis,河北,,,,
158,449,大别山脊蛇,Achalinus dabieshanensis,河南,,,,
159,450,刘氏链蛇(刘氏白环蛇),Lycodon liuchengchaoi,河南,宝天曼国家级自然保护区,111.8838,33.486,原文报道坐标
160,451,宁波滑蜥,Scincella modesta,河南,伏牛山国家级自然保护区桦树盘、太平镇居民住宅,111.8833,33.35,原文报道坐标
161,452,米仓山攀蜥,Diploderma micangshanense,河南,,,,
162,453,,,海南,尖峰岭国家级自然保护区,108.7667,18.3833,原文报道坐标
163,454,德力小姬蛙,Micryletta inornata,海南,,,,
164,455,白斑棱皮树蛙,Theloderma albopunctatum,海南,,,,
165,464,绞花林蛇,Boiga kraepelini,湖北,下谷坪,110.2167,31.3667,原文报道坐标
166,465,红吸盘棱皮树蛙,Theloderma rhododiscus,江西,,,,
167,466,景东臭蛙,Odorrana jingdongensis,贵州,雪山镇鱼塘村,104.0789,27.0692,原文报道坐标
168,467,井冈两头蛇,Calamaria jinggangensis,贵州,榕江县,108.6336,26.1133,原文报道坐标
169,468,花坪链蛇(花坪白环蛇),Lycodon cathaya,贵州,乐里镇,108.7833,26.5167,原文报道坐标
170,469,海南棱蜥,Tropidophorus hainanus,贵州,三都县拉揽乡来楼村,107.95,25.9333,原文报道坐标
171,470,宜章臭蛙,Odorrana yizhangensis,贵州,梵净山国家级自然保护区一段溪流内,108.7214,27.8953,原文报道坐标
172,471,白线树蛙,Zhangixalus leucofasciatus,贵州,梵净山黑湾河,108.7653,27.8306,原文报道坐标
173,472,短肢角蟾,Boulenophrys brachykolos,贵州,,,,
174,474,川南短腿蟾,Brachytarsophrys chuannanensis,贵州,,,,
175,475,黄纹石龙子,Plestiodon capito,贵州,从江县秀塘乡九万大山,108.6103,25.3426,原文报道坐标
176,489,合江棘蛙,Quasipaa robertingeri,贵州,三叉河片区,106.4177,28.5121,原文报道坐标
177,490,金环蛇,Bungarus fasciatus,贵州,蔗香镇,106.1542,24.9933,原文报道坐标
178,493,史氏蟾蜍,Bufo stejnegeri,吉林,白马浪沟,126.6333,41.6833,原文报道坐标
179,503,缅甸钝头蛇,Pareas hamptoni,江西,,,,
180,505,大别山脊蛇,Achalinus dabieshanensis,江西,,,,
181,506,长肢林蛙,Rana longicus,江西,永丰县,115.6603,26.9323,原文报道坐标
182,507,大眼斜鳞蛇,Pseudoxenodon macrops,江西,诸广山河,113.9167,25.7333,原文报道坐标
183,513,尾突角蟾,Boulenophrys caudoprocta,湖北,干沟河,110.5403,30.0786,原文报道坐标
184,514,大绿臭蛙,Odorrana graminea,湖北,高家堰镇,111.0497,30.5981,原文报道坐标
185,517,峨眉草蜥,Takydromus intermedius,湖北,五峰后河国家级自然保护区,110.4903,30.0458,原文报道坐标
186,518,刘氏链蛇(刘氏白环蛇),Lycodon liuchengchaoi,湖北,赵湾乡青龙山村、油坊村、红山村,111.4686,31.9097,原文报道坐标
187,519,花坪角蟾,Boulenophrys mirabilis,湖南,南山国家公园金童山国家级自然保护区,110.195,26.1983,原文报道坐标
188,520,四川竹叶青蛇,Trimeresurus sichuanensis,湖南,,,,
189,527,刘氏链蛇(刘氏白环蛇),Lycodon liuchengchaoi,湖南,湖南壶瓶山国家级自然保护区,110.7898,30.0617,原文报道坐标
190,528,侏树蛙,Zhangixalus minimus,湖南,相思坑,112.9884,24.9493,原文报道坐标
191,530,峨山掌突蟾,Paramegophrys oshanensis,湖南,八面山,110.23,27.1542,原文报道坐标
192,534,白线树蛙,Zhangixalus leucofasciatus,湖南,,,,
193,537,广西棱蜥,Tropidophorus guangxiensis,湖南,雪峰山,110.3936,27.3156,原文报道坐标
194,540,雷山琴蛙,Nidirana leishanensis,湖南,万佛山镇上洞村,109.9392,26.1964,原文报道坐标
195,541,岭南两头蛇,Calamaria arcana,湖南,湘阴渡镇滩头村,113.0217,26.2075,原文报道坐标
196,544,朝鲜林蛙/韩国林蛙,Rana coreana,辽宁,蒲河湿地公园,123.3083,41.5153,原文报道坐标
197,545,白条草蜥,Takydromus wolteri,上海,,,,
198,546,钝尾两头蛇,Calamaria septentrionalis,上海,,,,
199,548,双斑锦蛇,Elaphe bimaculata,内蒙古,赛罕乌拉国家级自然保护区,118.7192,44.2244,原文报道坐标
200,549,务川臭蛙,Odorrana wuchuanensis,湖北,,,,
201,552,黔北角蟾,Boulenophrys qianbeiensis,四川,乌岭沟东北,104.75,27.8833,原文报道坐标
202,555,玉龙攀蜥,Diploderma yulongense,四川,,,,
203,556,贡山链蛇,Lycodon gongshan,四川,,,,
204,562,阿拉善蝮,Gloydius cognatus,四川,,,,
205,563,紫沙蛇,Psammodynastes pulverulentus,四川,,,,
206,564,方花蛇,Archelaphe bella,四川,盐边县红宝,101.5333,27.1,原文报道坐标
207,573,中介蝮,Gloydius intermedius,辽宁,,118.916667,40.783333,原文报道坐标
208,574,刘氏链蛇(刘氏白环蛇),Lycodon liuchengchaoi,陕西,,,,
209,575,灰腹绿锦蛇,Gonyosoma frenatum,陕西,茅坪镇山路边,109.6167,32.5667,原文报道坐标
210,576,绿臭蛙,Odorrana margaretae,陕西,青木川国家级自然保护区,105.5781,32.8439,原文报道坐标
211,577,光雾臭蛙,Odorrana kuangwuensis,陕西,,,,
212,579,黑斑侧褶蛙,Pelophylax nigromaculatus,青海,海湖湿地公园,101.6833,36.65,原文报道坐标
213,580,红点齿蟾,Oreolalax rhodostigmatus,云南,徐家坝,105.6667,28.3853,原文报道坐标
214,582,丰沙里湍蛙,Amolops vitreus,云南,中国云南省勐腊县西双版纳国家级自然保护区,101.5393,21.7374,原文报道坐标
215,588,,,云南,,,,
216,589,三岛掌突蟾,Paramegophrys sangi,云南,水头后山,103.8775,22.6286,原文报道坐标
217,590,尖喙蛇(尖喙绿锦蛇),Gonyosoma boulengeri,云南,花鱼洞国家森林公园及附近,103.9367,22.6706,原文报道坐标
218,591,弄岗狭口蛙,Kaloula nonggangensis,云南,文山国家级自然保护区小桥沟片区(法斗乡附近),104.8406,23.3614,原文报道坐标
219,592,藏南角蟾,Xenophrys periosa,云南,贡山县独龙江乡,98.35,27.75,文字地名地理编码/后续补充
220,593,南蹼趾壁虎,Gekko palmatus,云南,南溪镇,103.9369,22.6694,原文报道坐标
221,600,快步麻蜥,Eremias velox,新疆,一万泉,88.8644,43.2164,原文报道坐标
222,608,香港半叶趾虎,Hemiphyllodactylus hongkongensis,浙江,贤良镇溪林村,119.2194,27.6489,原文报道坐标
223,616,小棘蛙,Quasipaa exilispinosa,浙江,百山祖国家级自然保护区,119.2183,27.8094,原文报道坐标
224,620,刘氏链蛇(刘氏白环蛇),Lycodon liuchengchaoi,浙江,凤阳山自然保护区山林沟谷处,119.1,27.7667,原文报道坐标
225,626,黑眶蟾蜍,Duttaphrynus melanostictus,西藏,,,,
226,627,贡山链蛇,Lycodon gongshan,西藏,,,,
227,628,云南半叶趾虎,Hemiphyllodactylus yunnanensis,西藏,,,,
228,630,朝鲜侧褶蛙,Pelophylax chosenicus,辽宁,蒲河湿地公园,122.8719,41.6983,原文报道坐标
229,642,橙脊瘰螈,Paramesotriton aurantius,浙江,,,,
230,644,云南小狭口蛙,Glyphoglossus yunnanensis,重庆,,,,
231,645,赵氏后棱蛇,Opisthotropis zhaoermii,重庆,,,,
232,650,宜章臭蛙,Odorrana yizhangensis,重庆,三泉镇,107.2075,29.1187,原文报道坐标
233,651,无颞鳞腹链蛇,Hebius atemporale,重庆,重庆市酉阳土家族苗族自治县,108.7667,28.85,文字地名地理编码/后续补充
234,652,龙胜小头蛇,Oligodon lungshenensis,重庆,,,,
235,655,绥阳掌突蟾,Paramegophrys suiyangensis,重庆,白马山自然保护区,107.6333,29.2833,原文报道坐标
236,656,贵州臭蛙,Odorrana kweichowensis,重庆,重庆市武隆区土地乡,107.8875,29.5414,原文报道坐标
237,657,尾突角蟾,Boulenophrys caudoprocta,重庆,武陵山市级自然保护区,108.8833,29.2667,原文报道坐标
238,659,虫纹麻蜥,Eremias vermiculata,新疆,八家户镇,82.65,44.5333,原文报道坐标
239,660,无棘溪蟾,Torrentophryne aspinia,湖北,六里半坡,110.3456,31.5586,原文报道坐标
240,685,云开掌突蟾,Paramegophrys yunkaiensis,广东,广东大雾岭(模式产地);广东鹅凰嶂保护区;广西大容山保护区,111.5,22.3,文字地名地理编码/后续补充
241,685,云开掌突蟾,Paramegophrys yunkaiensis,广西,广东大雾岭(模式产地);广东鹅凰嶂保护区;广西大容山保护区,,,多省拆分-该省无点位
242,754,北圻臭蛙,Odorrana bacboensis,云南,云南东南部及广西相邻地区,104.5,23.5,文字地名地理编码/后续补充
243,754,北圻臭蛙,Odorrana bacboensis,广西,云南东南部及广西相邻地区,,,多省拆分-该省无点位
244,816,龙里瘰螈,Paramesotriton longliensis,湖北,中国湖北省咸丰县,109.1333,29.6833,文字地名地理编码/后续补充
245,991,大树蛙,Zhangixalus dennysi,江苏,中国江苏,118.7969,32.0603,文字地名地理编码/后续补充
246,992,天目臭蛙,Odorrana tianmuii,江苏,中国江苏,118.7969,32.0603,文字地名地理编码/后续补充
247,997,,,浙江,浙江省,120.1551,30.2741,文字地名地理编码/后续补充
248,999,藏东南林蛇,Boiga stoliczkae,西藏,"中国西藏吉隆县,中尼边境附近",85.3,28.95,文字地名地理编码/后续补充
