ID,Source_row,Chinese_name_COL_China_2026,Scientific_name_COL_China_2026,New_distribution_province,Discovery_sites,Longitude,Latitude
358,1928,福建颈斑蛇,Plagiopholis styani,重庆,南川市金佛山国家级自然保护区,107.15,29.1
359,1934,细痣瑶螈,Yaotriton asperrimus,安徽,岳西县美丽地区,116.35,30.85
360,1935,黑点树蛙,Zhangixalus nigropunctatus,安徽,岳西县美丽地区,116.35,30.85
364,1946,四爪陆龟,Testudo horsfieldii,新疆,艾比湖湿地国家级自然保护区,82.85,44.85
373,1963,新疆漠虎,Alsophylax przewalskii,甘肃,敦煌市旧民房土墙边、瓜州县安西古城老城墙边及墙上,95.5,40.3
374,1968,广西华珊瑚蛇,Sinomicrurus peinani,湖南,宁远县无名野山,111.9,25.6
375,1971,股鳞蜓蜥,Sphenomorphus incognitus,福建,溪源庵大峡谷一鱼塘旁边,118.25,26.65
383,2015,,,西藏,米林县,94.25,29.2333
384,2016,墨脱角蟾,Xenophrys medogensis,西藏,墨脱县,95.3333,29.3
385,2019,北草蜥,Takydromus septentrionalis,河北,衡水市郊区,115.65,37.75
386,2041,丽水树蛙,Zhangixalus lishuiensis,福建,福建省光泽县坪溪地区,117.35,27.55
389,2053,莽山角蟾,Xenophrys mangshanensis,江西,虾公塘保护站,117.5,26.5
390,2054,崇安湍蛙,Amolops chunganensis,江西,荆竹山、黄岗山国家级自然保护区,117.75,27.85
391,2055,凹耳竹叶蛙,Bamburana tormota,江西,大鄣山鄣山村、白山村,117.75,29.45
392,2056,宜章臭蛙,Odorrana yizhangensis,江西,荆竹山,117.7,27.85
400,2077,坡普竹叶青蛇,Trimeresurus popeiorum,云南,中国云南省勐腊,101.5667,21.4833
402,2084,寒露林蛙,Rana hanluica,福建,梅花山国家级自然保护区,116.85,25.35
405,2099,福清链蛇,Lycodon futsingensis,广西,猫儿山国家级自然保护区,110.45,25.88
406,2100,福清链蛇,Lycodon futsingensis,浙江,新建镇河阳村,120.05,28.75
407,2102,福清链蛇,Lycodon futsingensis,江西,全南县,114.5333,24.7833
410,2110,印支棱皮树蛙,Theloderma gordoni,云南,"太阳河国家森林公园,思茅县,普洱市;西双版纳国家级自然保护区,勐养镇和勐仑镇,西双版纳州;大围山国家级自然保护区,屏边县,红河州",101.2,21.95
414,2143,墨脱舌突蛙,Liurana medogensis,西藏,中国西藏墨脱(=墨脱县),95.3333,29.3
422,2185,黄岗臭蛙,Odorrana huanggangensis,湖南,湖南会同、湖南城步、湖南新宁、湖南双牌、湖南宜章、湖南武陵源景区(A组),111.0,27.0
436,2220,新疆沙虎,Teratoscincus przewalskii,甘肃,敦煌市旧民房土墙边;瓜州县安西古城老城墙边及墙上,95.5,40.3
