ID,Source_row,Chinese_name_COL_China_2026,Scientific_name_COL_China_2026,New_distribution_province,Discovery_sites,Longitude,Latitude
32,65,脆蛇蜥,Dopasia harti,四川,"米易县草场乡、得石乡,盐边县安宁乡",101.9,26.9
33,66,,,新疆,新疆霍城县清水河以西约八公里处的大西沟小河及其附近沼泽,80.75,44.15
37,75,黄纹石龙子,Plestiodon capito,河南,嵩山鹰愁崖附近小山顶,113.0,34.5
41,85,黑背链蛇,Lycodon ruhstrati,河南,商城县金岗台自然保护区,115.55,31.75
42,91,合征姬蛙,Microhyla mixtura,浙江,宁波市北仑区柴桥,121.85,29.95
47,107,棕黑腹链蛇,Hebius sauteri,湖北,大贵寺林场,108.0,27.5
50,114,纹尾斜鳞蛇,Pseudoxenodon stejnegeri,湖南,新宁舜皇山林场紫花坪紫溪河边,110.85,26.45
54,127,秦岭雨蛙,Hyla tsinlingensis,甘肃,徽县蔗沿公社、天水李子园,105.8,33.8
55,128,红吸盘棱皮树蛙,Theloderma rhododiscus,广西,中国广西壮族自治区金秀县,110.1833,24.1333
59,142,原矛头蝮,Protobothrops mucrosquamatus,江苏,中国江苏省,118.7969,32.0603
61,162,桑植臭蛙,Odorrana sangzhiensis,贵州,滴水滩,105.6133,25.98
66,172,绿海龟,Chelonia mydas,辽宁,黄海海域一海区,123.0,35.0
67,173,蓝尾石龙子,Plestiodon elegans,辽宁,大连市旅顺口区杨树沟林场,121.25,38.85
69,182,棘疣角蟾,Boulenophrys tuberogranulatus,湖南,雪峰山,110.5,27.5
71,196,,,云南,西双版纳;西双版纳,100.8,22.0
72,197,云开脊蛇,Achalinus yunkaiensis,四川,画稿溪国家级自然保护区,105.45,28.25
77,230,红沙蚺(红沙蟒),Eryx miliaris,新疆,阿拉尔市塔南镇,81.3,40.5
80,241,饰纹姬蛙,Microhyla fissipes,河南,淮阳县,114.8667,33.7333
81,243,赤链蛇,Lycodon rufozonatus,浙江,衢山岛,122.35,30.45
82,246,翡翠攀蜥,Diploderma iadinum,云南,澜沧江干流距其模式产地下游17公里处;澜沧江河谷五个新地点,100.5,22.5
83,247,帆背攀蜥,Diploderma vela,云南,云南省南部种群;澜沧江上游如美和通沙的北部种群,100.5,22.5
93,265,双全链蛇(双全白环蛇),Lycodon fasciatus,安徽,黄山区汤口镇浮溪村,118.15,30.15
102,299,哀鳞趾虎,Lepidodactylus lugubris,海南,海南万宁石梅湾,110.35,18.65
103,300,半叶趾虎,Hemiphyllodactylus typus,海南,海南三亚临春岭公园,109.55,18.25
104,302,黑头蝰,Azemiops feae,湖北,后河村,110.61,30.098
105,306,中国石龙子,Plestiodon chinensis,河北,无极县赵户营;石家庄市北郊,114.55,38.15
110,324,眼斑水龟,Sacalia bealei,贵州,松桃,109.2,28.15
111,325,古氏草蜥(古纳氏草蜥),Takydromus kuehnei,贵州,兴义,104.9,25.0833
112,326,,,贵州,望谟,106.1,25.1833
113,329,绿锦蛇,Gonyosoma prasinum,贵州,兴义,104.9,25.0833
114,331,横纹斜鳞蛇,Pseudoxenodon bambusicola,贵州,雷山、从江,108.5,26.2
115,332,台湾小头蛇,Oligodon formosanus,贵州,榕江、从江,108.6,25.7
118,350,黄山角蟾,Boulenophrys huangshanensis,江西,大鄣山鄣山村,117.75,29.45
219,592,藏南角蟾,Xenophrys periosa,云南,贡山县独龙江乡,98.35,27.75
233,651,无颞鳞腹链蛇,Hebius atemporale,重庆,重庆市酉阳土家族苗族自治县,108.7667,28.85
240,685,云开掌突蟾,Paramegophrys yunkaiensis,广东,广东大雾岭(模式产地);广东鹅凰嶂保护区;广西大容山保护区,111.5,22.3
242,754,北圻臭蛙,Odorrana bacboensis,云南,云南东南部及广西相邻地区,104.5,23.5
244,816,龙里瘰螈,Paramesotriton longliensis,湖北,中国湖北省咸丰县,109.1333,29.6833
245,991,大树蛙,Zhangixalus dennysi,江苏,中国江苏,118.7969,32.0603
246,992,天目臭蛙,Odorrana tianmuii,江苏,中国江苏,118.7969,32.0603
247,997,,,浙江,浙江省,120.1551,30.2741
248,999,藏东南林蛇,Boiga stoliczkae,西藏,"中国西藏吉隆县,中尼边境附近",85.3,28.95
251,1025,山烙铁头蛇,Ovophis monticola,云南,四川峨眉;贵州遵义;四川洪雅;贵州雷山;云南腾冲;云南昆明;福建崇安;云南大理;西藏察隅;云南龙陵;福建建阳;广西金秀,98.4917,25.0222
257,1026,察隅烙铁头蛇,Ovophis zayuensis,云南,四川洪雅;贵州雷山;云南腾冲;云南昆明;西藏察隅;云南龙陵;福建建阳,98.4917,25.0222
260,1027,越南烙铁头蛇,Ovophis tonkinensis,广西,广西金秀,110.1833,24.1333
262,1052,南蹼趾壁虎,Gekko palmatus,广东,广东省肇庆市鼎湖山,112.57,23.17
266,1112,缅北树蜥(文氏树蜥),Calotes vindumbarbatus,云南,云南省德宏州盈江县那邦镇,97.45,24.75
268,1126,棘棱皮树蛙,Theloderma moloch,云南,中国云南省盈江县,97.9333,24.7
277,1302,,,广西,中国广西上思县十万大山国家级自然保护区;中国广西凌云县泗水河自然保护区,107.85,21.95
279,1329,红斑蟾蜍,Bufo rubroventromaculatus,广西,广西百色市那坡县百南乡;云南省文山州麻栗坡县下金厂乡,105.9,23.15
283,1349,无斑瘰螈,Paramesotriton labiatus,广西,中国南方,110.0,25.0
288,1440,朱利安氏脊蛇,Achalinus juliani,广西,广西弄岗国家级自然保护区,106.95,22.45
289,1443,吻斑雨林蛙,Wjayarana melasma,云南,西双版纳州,100.8,22.0
290,1447,海河后棱蛇,Opisthotropis haihaensis,广西,十万大山自然保护区,107.85,21.95
291,1454,宁陕线形蛇,Stichophanes ningshaanensis,陕西,"火地塘,宁陕县",108.45,33.55
292,1464,横纹玉斑蛇(横斑锦蛇),Euprepiophis perlaceus,陕西,中国陕西省汉中市佛坪县,107.9833,33.5167
293,1484,黄连山滑蜥,Scincella fansipanensis,云南,中国云南省景东县哀牢山,100.95,24.45
294,1493,藏南拟髭蟾,Leptobrachium bompu,西藏,上墨脱格林村和布琼湖,95.45,29.25
295,1530,,,广西,广西大瑶山香炉冲,110.1,24.1
296,1535,隐耳蜓蜥,Sphenomorphus cryptotis,广西,中国广西十万大山自然保护区,107.85,21.95
297,1541,老挝拟须唇蛇,Parafimbrios lao,云南,江城县,101.8667,22.5833
299,1592,西藏舌突蛙,Liurana xizangensis,西藏,中国西藏墨脱(=墨脱县),95.3333,29.3
300,1593,高山舌突蛙,Liurana alpina,西藏,中国西藏墨脱(=墨脱县),95.3333,29.3
301,1598,越南瘰螈/德氏瘰螈,Paramesotriton deloustali,云南,靠近中越边界的云南南部,103.5,22.5
302,1611,双色棱皮树蛙,Theloderma bicolor,云南,云南省,102.7183,25.0389
303,1613,白斑棱皮树蛙,Theloderma albopunctatum,云南,中国云南省金平县,103.2333,22.7833
304,1736,锯尾蜥虎,Hemidactylus garnotii,福建,漳浦县、长泰县,117.8,24.5
306,1746,独山半叶趾虎,Hemiphyllodactylus dushanensis,福建,梅花山国家级自然保护区、上杭县、连城县、德化县,116.9,25.4
313,1758,缅甸钝头蛇,Pareas hamptoni,贵州,雷山,108.25,26.55
314,1759,福建钝头蛇,Pareas stanleyi,贵州,雷山,108.25,26.55
315,1760,双全链蛇(双全白环蛇),Lycodon fasciatus,贵州,威宁、兴义,104.8,26.5
316,1761,黑线乌梢蛇(黑线鼠蛇),Ptyas nigromarginata,贵州,威宁,104.2833,26.8667
317,1762,紫沙蛇,Psammodynastes pulverulentus,贵州,榕江,108.5167,25.95
320,1772,缅甸棱皮树蛙,Theloderma pyaukkya,云南,中国云南省盈江县,97.9333,24.7
322,1780,淡肩角蟾,Boulenophrys boettgeri,湖北,通山县老鸦尖,114.75,29.55
324,1785,蔡氏疣螈,Tylototriton ziegleri,云南,麻栗坡县,104.7167,23.1333
332,1818,巴塘攀蜥,Diploderma batangense,西藏,昌都地区芒康县金沙江河谷,98.65,29.65
333,1819,米仓山攀蜥,Diploderma micangshanense,湖北,十堰市,110.7872,32.6467
335,1841,宁波滑蜥,Scincella modesta,山东,昆嵛山第三林场所属的殿后县,121.75,37.25
341,1876,湖南脊蛇,Achalinus hunanensis,广西,中国广西壮族自治区柳州市融水苗族自治县,109.25,25.0667
342,1877,棕脊蛇,Achalinus rufescens,香港,中国香港,114.1694,22.3193
343,1878,黑脊蛇,Achalinus spinalis,湖南,中国湖南省八大公山,110.05,29.75
348,1912,南亚泛树蛙,Polypedates teraiensis,云南,铜壁关,97.55,24.65
350,1914,王锦蛇,Elaphe carinata,浙江,衢山岛,122.35,30.45
351,1915,翠青蛇(翠青鼠蛇),Ptyas major,浙江,衢山岛,122.35,30.45
356,1926,双全链蛇(双全白环蛇),Lycodon fasciatus,重庆,南川市,107.1,29.15
357,1927,黑背链蛇,Lycodon ruhstrati,重庆,南川市,107.1,29.15
