ID,Class_CN,Chinese_name_COL_China_2026,Scientific_name_COL_China_2026,Chinese_name_as_published,Scientific_name_as_published,Reported_rank,OrderCN_COL_China_2026,OrderLA_COL_China_2026,FamilyCN_COL_China_2026,FamilyLA_COL_China_2026,GenusCN_COL_China_2026,GenusLA_COL_China_2026,Taxon_match_method,Taxon_match_note,Original_distribution,New_distribution_province,Province_basis,Discovery_sites,Longitude,Latitude,Coordinate_basis,Altitude_raw,Altitude_m,Discovery_date,Discovery_date_raw,Habitat_category,Habitat_raw,Evidence_type,Voucher,Record_type,Record_type_basis,Duplicate_group,IUCN_RED_LIST,CHINA_RED_LIST,China_Protection_Class,Endemic_to_China,Source_citation,Source_publication_year,Source_authors,Source_journal,DOI,Source_row
1,两栖纲,多疣棘蛙,Quasipaa verrucospinosa,多疣棘蛙,Paa verrucospinosa,种,无尾目,Anura,叉舌蛙科,Dicroglossidae,棘胸蛙属,Quasipaa,中文名精确,,国外仅分布于越南北部的沙坝,云南,原表标注,景洪市勐龙乡勐宋村、勐腊县勐远镇艺班东村,100.51,21.49,原文报道坐标,1600、1400,1500.0,2003-07,2003年7月、2004年8月,混合生境（溪流/河流+森林+灌丛/草地）,"山溪及其附近,常蹲在长有苔藓的石头上;溪流内水流清澈,石块甚多,两岸植被茂密,多为常绿阔叶林和灌丛,有竹类杂生",标本,20040801、20040802、20040803、20040804、20030724003、20030724004、20030724005、20030724006,新纪录,原表标注,,,,,,"胡健生,陈明勇,董永华.中国两栖动物新纪录——多疣棘蛙的再证实[J].四川动物,2005,(3):340-341+441.",2005,胡健生、陈明勇、董永华,四川动物,,2
2,两栖纲,大蟾蜍,Bufo bufo,大蟾蜍,Bufo bufo,种,无尾目,Anura,蟾蜍科,Bufonidae,蟾蜍属,Bufo,拉丁名精确,,"主要分布在欧洲、非洲西北部和亚洲,向北可达斯堪维尼亚半岛,西起葡萄牙,向东可达西伯利亚的贝加尔湖",新疆,原表标注,新疆维吾尔自治区哈巴河县郊,86.42,48.06,原文报道坐标,511,511.0,2004-08-07,2004年8月7日,,,标本,"XND04011,XND04012,XND04013",新纪录,原表标注,,,,,,"时磊,周永恒,原洪.中国蟾蜍一新纪录——大蟾蜍[J].动物分类学报,2005,(2):444-445.",2005,时磊、周永恒、原洪,动物分类学报,,5
3,两栖纲,河口湍蛙,Amolops shihaitaoi,河口湍蛙,Amolops shihaitaoi,种,无尾目,Anura,蛙科,Ranidae,湍蛙属,Amolops,拉丁名精确,,中国云南省河口县;中国广西壮族自治区靖西市;越南北部(永福省、高平省和老街省),广西,原表标注,中国广西壮族自治区靖西市,106.42,23.13,原文报道坐标,,,,,,,标本,YPX6306,新纪录,原表标注,,,,,,"Jian Wang and Jing Li and Lingyun Du and Mian Hou and Guohua Yu (2022). A cryptic species of the Amolops ricketti species group (Anura, Ranidae) from China–Vietnam border regions ZooKeys, 1112, 139–159 https://doi.org/10.3897/zookeys.1112.82551",2022,"Wang J, Li J, Du L, Hou M, Yu G",ZooKeys,10.3897/zookeys.1112.82551,8
4,两栖纲,合江棘蛙,Quasipaa robertingeri,合江棘蛙,Paarobertingeri,种,无尾目,Anura,叉舌蛙科,Dicroglossidae,棘胸蛙属,Quasipaa,中文名精确,,此前仅发现于四川合江县天堂坝,云南,原表标注,云南威信县与四川省交界的长安镇大雪山白鹤池林场及其附近区域,104.77,27.88,原文报道坐标,900~1500,1200.0,2007-07,2007年7月~2008年6月,混合生境（溪流/河流+森林+灌丛/草地）,"山溪及其附近,溪水清澈,溪内石块和枯枝落叶甚多,两岸植被繁茂,多为常绿乔木和灌丛,间生有竹类,部分溪流两岸主要为竹林",标本,YBU072025、YBU072042-44,新纪录,原表标注,,,,,,"李操,张中东,温涛,等.云南省两栖动物一新纪录——合江棘蛙[J].四川动物,2009,28(6):923-924.",2009,李操、张中东、温涛、彭浩、郭鹏,四川动物,,9
5,两栖纲,阔褶水蛙,Sylvirana latouchii,阔褶蛙,Ranalatouchii,种,无尾目,Anura,蛙科,Ranidae,肱腺蛙属,Sylvirana,中文名模糊,"中文名疑有出入,按名录“阔褶水蛙”匹配,请复核",分布于我国贵州、广西、广东、湖北、湖南、江西、安徽、江苏、浙江、福建、台湾等地,云南,原表标注,云南省勐仑中国科学院西双版纳热带植物园,101.4167,21.0667,原文报道坐标,570,570.0,2008-03-13,2008年3月13日,混合生境（森林+湿地/静水水体）,"水塘,水深约0.5m,水面有荷叶,周围是阔叶植物和假山",标本,,新纪录,原表标注,,,,,,"Xue, H. F., Jiang, K., & Rao, D. Q. (2009). A new record of amphibian in Yunnan Province: Rana latouchii. Sichuan Journal of Zoology, 28(6), 924–924.",2009,薛皓峰、蒋珂、饶定齐,四川动物,,10
6,两栖纲,棕点湍蛙,Amolops loloensis,棕点湍蛙,Amolops loloensis,种,无尾目,Anura,蛙科,Ranidae,湍蛙属,Amolops,拉丁名精确,,省外目前仅分布于四川的部分县市,云南,原表标注,巧家县东坪乡威宁村,103.0861,27.3125,原文报道坐标,2200,2200.0,2002-08,2002年8月,混合生境（溪流/河流+灌丛/草地）,灌丛茂密、山溪湍流地带,标本,200208001、200208002、200208012、200208013、200208050、200208051,新纪录,原表标注,,,,,,"胡健生,陈明勇,吴竹刚.云南省两栖动物新纪录——棕点湍蛙[J].四川动物,2003,(3):148.",2003,胡健生、陈明勇、吴竹刚,四川动物,,11
7,两栖纲,奥氏越南姬蛙,Vietnamophryne orlovi,奥氏越南姬蛙,Vietnamophryne orlovi,种,无尾目,Anura,姬蛙科,Microhylidae,越南姬蛙属,Vietnamophryne,拉丁名精确,,越南中部及北部的嘉莱省和高平省,云南,原表标注,大围山国家级自然保护区,103.6995,22.9634,原文报道坐标,1502,1502.0,2019-07-17,2019年7月17日,森林,针阔混交林,标本,SWFU 036798,新纪录,原表标注,DUP085,,,,,"吴东益、刘小龙、刘春雨、史兴惠、杨泽鹏、施德山、袁智勇 (2022). 云南省两栖类新属纪录—越南姬蛙属 西南林业大学学报(自然科学), 42(4), 155–160 https://doi.org/10.11929/j.swfu.202108048",2022,吴东益、刘小龙、刘春宇、史兴辉、杨泽鹏、史德善、袁智勇,西南林业大学学报,10.11929/j.swfu.202108048,12
8,爬行纲,菱斑小头蛇,Oligodon catenatus,菱斑小头蛇,Oligodon catenata,种,有鳞目,Squamata,游蛇科,Colubridae,小头蛇属,Oligodon,中文名精确,,国外分布于柬埔寨、缅甸、越南北部;国内已知分布于广东、广西、福建,云南,原表标注,绿春县三猛乡腊姑村俄扎水沟内,102.57,22.96,原文报道坐标,1600,1600.0,2008-05,2008年5月,混合生境（森林+农田/种植园+灌丛/草地）,"季风常绿阔叶林遭到破坏后形成的次生类型,以旱生落叶阔叶林为主体,有农田景观、稀树灌木草丛、残存的季风常绿阔叶林等",标本,,新纪录,原表标注,,,,,,"何疆海、饶定齐 (2009). 云南省蛇类新记录———菱斑小头蛇 林业调查规划, 34(5), 67-68 https://doi.org/10.3969/j.issn.1671-3168.2009.05.016",2009,何疆海、饶定齐,林业调查规划,10.3969/j.issn.1671-3168.2009.05.016,13
9,两栖纲,东北林蛙,Rana dybowskii,东北林蛙,Rana dybowskii,种,无尾目,Anura,蛙科,Ranidae,蛙属,Rana,拉丁名精确,,黑龙江、辽宁、吉林三省境内,内蒙古,原表标注,白音锡勒牧场,116.6478,43.6092,原文报道坐标,1166,1166.0,2016-10-01,2016年10月1日,混合生境（湿地/静水水体+农田/种植园+灌丛/草地）,"植被较好的湿润环境,灌丛、草地以及水塘和农田等多种静水域及其附近",标本,,新纪录,原表标注,,,,,,"张晓丽、毕俊怀、张晓东、马颖伟 (2017). 内蒙古东北林蛙Rana dybowskii一新分布 内蒙古师范大学学报(自然科学汉文版), 46(5), 715-717 https://doi.org/10.3969/j.issn.1001-8735.2017.05.025",2017,张晓丽、毕俊怀、张晓东、马颖伟,内蒙古师范大学学报(自然科学汉文版),10.3969/j.issn.1001-8735.2017.05.025,19
10,爬行纲,黑背链蛇,Lycodon ruhstrati,黑背白环蛇,Lycodon ruhstrati,种,有鳞目,Squamata,游蛇科,Colubridae,链蛇属,Lycodon,拉丁名精确,,江苏、浙江、安徽、福建、台湾、江西、湖南、广东、广西、四川、贵州、陕西及甘肃等地区,北京,原表标注,小龙门林场,115.6,39.83,原文报道坐标,,,2005-07-15,2005年7月15日,混合生境（森林+人工生境）,林场院内靠近山坡的土路上,标本,,新纪录,原表标注,,,,,,"王宁、郑光美 (2005). 北京市爬行动物新纪录———黑背白环蛇 四川动物, 24(4), 489-489",2005,王宁、郑光美,四川动物,,20
