ID,Source_row,Class_CN,Chinese_name_COL_China_2026,Scientific_name_COL_China_2026,Chinese_name_as_published,Scientific_name_as_published,OrderCN_COL_China_2026,FamilyLA,FamilyCN,GenusLA,GenusCN,Type_locality,Province,Longitude,Latitude,Altitude_raw,Discovery_date,Habitat_raw,Voucher,Evidence_type,Source_citation,Source_publication_year,Source_authors,Source_journal,DOI
1,4,两栖纲,梅花山角蟾,Boulenophrys meihuamontis,梅花山角蟾,Boulenophrys meihuamontis,无尾目,Megophryidae,角蟾科,Boulenophrys,布角蟾属,梅花山国家级自然保护区,福建,116.839,25.272,1059,2024-09-14,常绿阔叶林、竹林、杂木林等植被下1~2 m宽的溪流旁,MHSLX18-1、MHSLX18-2、MHSLX18-3,标本,"罗萧,黄俊恺,周承源,等.中国福建发现布角蟾属一新种(两栖纲:角蟾科)[J].野生动物学报,2026,47(2):295-308.",2025,罗萧、黄俊恺、周承源、马良、吴锦平、谢铖林、朱艺耀、陈世品,野生动物学报,https://link.cnki.net/urlid/23.1587.S.20250506.1103.002
2,7,两栖纲,河口湍蛙,Amolops shihaitaoi,河口湍蛙,Amolops shihaitaoi,无尾目,Ranidae,蛙科,Amolops,湍蛙属,中国云南省河口县,云南,103.8776,22.6287,532,2020-06-21,岩石溪流,"Holotype: GXNU YU000353; Paratypes: GXNU YU000351, GXNU YU000352, GXNU YU000354, GXNU YU000355, GXNU YU000478, GXNU YU000479, GXNU YU000482, GXNU YU000483",标本,"Jian Wang and Jing Li and Lingyun Du and Mian Hou and Guohua Yu (2022). A cryptic species of the Amolops ricketti species group (Anura, Ranidae) from China–Vietnam border regions ZooKeys, 1112, 139–159 https://doi.org/10.3897/zookeys.1112.82551",2022,"Wang J, Li J, Du L, Hou M, Yu G",ZooKeys,10.3897/zookeys.1112.82551
3,24,两栖纲,顾莵角蟾,Boulenophrys gutu,顾莵角蟾,Boulenophrys gutu,无尾目,Megophryidae,角蟾科,Boulenophrys,布角蟾属,南岳衡山,湖南,112.72,27.27,250-1100,2024-07,"山溪边,植被保存良好,水质优良的溪沟边,栖息在石缝、落叶堆或灌丛下",,照片/影像,"匡代勇、石胜超 (2025). 南岳衡山发现两栖动物新物种——顾莵角蟾 林业与生态, 18 https://doi.org/10.13552/j.cnki.lyyst.2025.11.002",2025,石胜超、匡代勇、蒲玲,Animals,10.13552/j.cnki.lyyst.2025.11.002
4,26,爬行纲,南岭睑虎,Goniurosaurus varius,南岭睑虎,Goniurosaurus varius,有鳞目,Eublepharidae,睑虎科,Goniurosaurus,睑虎属,"南岭国家级自然保护区,秤架瑶族乡,阳山县",广东,112.5,24.5,180,2018-08-06,喀斯特环境;村庄、农田或乡间小路附近的石灰岩缝隙,"Holotype: SYS r002333; Paratypes: SYS r002330, SYS r002331, SYS r002362, SYS r002363",标本,"Shuo Qi and L. Lee Grismer and Zhi-Tong Lyu and Liang Zhang and Pi-Peng Li and Ying-Yong Wang (2020). A definition of the Goniurosaurus yingdeensis group (Squamata, Eublepharidae) with the description of a new species ZooKeys, 986, 127–155 https://doi.org/10.3897/zookeys.986.47989",2020,"Qi, Shuo, Grismer, L. Lee, Lyu, Zhi-Tong, Zhang, Liang, Li, Pi-Peng, Wang, Ying-Yong",ZooKeys,10.3897/zookeys.986.47989
5,35,爬行纲,英德睑虎,Goniurosaurus yingdeensis,英德睑虎,Goniurosaurus yingdeensis,有鳞目,Eublepharidae,睑虎科,Goniurosaurus,睑虎属,"石门台国家级自然保护区,英德市;锅山瑶村,英德市",广东,113.41,24.21,,,,"Holotype: SYS r000504; Paratypes: SYS r000501–0503, SYS r000535, SYS r000536",标本,"Shuo Qi and L. Lee Grismer and Zhi-Tong Lyu and Liang Zhang and Pi-Peng Li and Ying-Yong Wang (2020). A definition of the Goniurosaurus yingdeensis group (Squamata, Eublepharidae) with the description of a new species ZooKeys, 986, 127–155 https://doi.org/10.3897/zookeys.986.47989",2020,"Qi, Shuo, Grismer, L. Lee, Lyu, Zhi-Tong, Zhang, Liang, Li, Pi-Peng, Wang, Ying-Yong",ZooKeys,10.3897/zookeys.986.47989
6,69,两栖纲,雨神角蟾,Boulenophrys ombrophila,雨神角蟾,Boulenophrys ombrophila,无尾目,Megophryidae,角蟾科,Boulenophrys,布角蟾属,,福建,,,,,,,照片/影像,,2022,张志国、肖芳奕,绿色中国,
7,81,两栖纲,立春角蟾,Boulenophrys lichun,立春角蟾,Boulenophrys lichun,无尾目,Megophryidae,角蟾科,Boulenophrys,布角蟾属,福建省宁德市蕉城区南漈山,福建,119.55,26.65,150-510,2024-02,"山地溪流渗水区及附近林地和落叶层,周围为混有竹林的次生林","Holotype: GEP a214; Paratypes: CIB 121428 [GEP a210], GEP a211–213, GEP a215",标本,"Shi-Shi Lin and Hong-Hui Chen and Yuan-Hang Li and Zhao-Ning Peng and Zhao-Chi Zeng and Jian Wang (2024). A new Boulenophrys species (Anura, Megophryidae) from the coastal hills of eastern Fujian Province, China https://doi.org/10.3897/zookeys.1216.130017",2024,"Shi-Shi Lin, Wang, Zeng, Lyu, Xiao, Wang",ZooKeys,10.3897/zookeys.1216.130017
8,86,两栖纲,,,丽水异角蟾,Xenophrys lishuiensis,无尾目,Megophryidae,角蟾科,Xenophrys,异角蟾属,丽水市莲都区南部山区,浙江,119.95,28.35,,2016,,,标本,"Wang、Liu、Jiang (2017). 丽水异角蟾(Xenophrys lishuiensis Wang, Liu & Jiang, 2017) 动物学杂志, 52(1)",2017,王、刘、蒋,动物学杂志,
9,103,两栖纲,淮源林蛙,Rana qui,淮源林蛙,Rana qui,无尾目,Ranidae,蛙科,Rana,蛙属,河南省南召县,河南,112.72,33.39,299,2008-09,"伏牛山东缘及桐柏-大别山北坡低山地带,淮河干流及其支流源头区域",Holotype HNNU2302I026; Allotype HNNU2302I025; Paratypes 38 adult specimens,标本,"Shuxuan GAO and Huijun SHEN and Xinyue YANG and Zhuo CHEN and Yinmeng HOU and Xiaohong CHEN (2024). A New Brown Frog of Rana (Amphibia, Anura, Ranidae) from Central China, Henan Province Asian Herpetological Research, 15(4), 265–278 https://doi.org/10.3724/ahr.2095-0357.2024.0030",2024,"Shuxuan GAO, Huijun SHEN, Xinyue YANG, Zhuo CHEN, Yinmeng HOU, Xiaohong CHEN",Asian Herpetological Research,10.3724/ahr.2095-0357.2024.0030
10,113,两栖纲,太行林蛙,Rana taihangensis,太行林蛙,Rana taihangensis,无尾目,Ranidae,蛙科,Rana,蛙属,太行山西南缘,河南,113.0,35.0,,,,"HNNU2104II018 (holotype), HNNU2104II019 (allotype), eighty paratypes",标本,"Huijun SHEN and Mengyu XU and Xinyue YANG and Zhuo CHEN and Nengwen XIAO and Xiaohong CHEN (2022). A New Brown Frog of the Genus Rana (Anura, Ranidae) from North China, with a Taxonomic Revision of the R. chensinensis Species Group Asian Herpetological Research, 13(3), 145–158 https://doi.org/10.16373/j.cnki.ahr.210062",2022,"Huijun SHEN, Mengyu XU, Xinyue YANG, Zhuo CHEN, Nengwen XIAO, Xiaohong CHEN",Asian Herpetological Research,10.16373/j.cnki.ahr.210062
