ID,Source_row,Class_CN,Chinese_name_COL_China_2026,Scientific_name_COL_China_2026,Chinese_name_as_published,Scientific_name_as_published,OrderCN_COL_China_2026,FamilyLA,FamilyCN,GenusLA,GenusCN,Type_locality,Province,Longitude,Latitude,Altitude_raw,Discovery_date,Habitat_raw,Voucher,Evidence_type,Source_citation,Source_publication_year,Source_authors,Source_journal,DOI
11,122,两栖纲,朝鲜林蛙/韩国林蛙,Rana coreana,昆嵛林蛙,Rana kunyuensis,无尾目,Ranidae,蛙科,Rana,蛙属,山东省胶东半岛昆嵛山,山东,121.74,37.26,400,1997-06,,,照片/影像,"陆宇燕,李丕鹏.山东昆嵛山蛙属林蛙群一新种(两栖纲:无尾目:蛙科)[J].动物分类学报,2002,(1):162-166.",2002,陆宇燕、李丕鹏,动物分类学报,
12,124,爬行纲,庙岛蝮,Gloydius lijianlii,庙岛蝮,Gloydius lijianlii,有鳞目,Viperidae,蝰科,Gloydius,亚洲蝮属,,山东,,,,,,,照片/影像,,2009,江帆、赵尔宓,动物分类学报,
13,131,两栖纲,墨脱棱鼻树蛙,Nasutixalus medogensis,墨脱棱鼻树蛙,Nasutixalus medogensis,无尾目,Rhacophoridae,树蛙科,Nasutixalus,棱鼻树蛙属,墨脱县背崩乡格林,西藏,95.1757,29.2167,1619,2015-04-28,,KIZ 016395,标本,"Ke JIANG and Fang YAN and Kai WANG and Da-Hu ZOU and Cheng LI and Jing CHE (2016). A new genus and species of treefrog from Medog, southeastern Tibet, China (Anura, Rhacophoridae) Zoological Research, 37(1), 15-20 https://doi.org/10.13918/j.issn.2095-8137.2016.1.15",2016,"Ke JIANG, Fang YAN, Kai WANG, Da-Hu ZOU, Cheng LI, Jing CHE",Zoological Research,10.13918/j.issn.2095-8137.2016.1.15
14,134,两栖纲,叶氏掌突蟾,Paramegophrys yeae,叶氏掌突蟾,Leptobrachella yeae,无尾目,Megophryidae,角蟾科,Paramegophrys,掌突蟾属,峨眉山,四川,103.3367,29.5419,,,丘陵常绿林落叶层,,标本,"Shengchao SHI and Yinmeng HOU and Zhaobin SONG and Jianping JIANG and Bin WANG (2021). A New Leaf Litter Toad of Leptobrachella Smith, 1925 (Anura, Megophryidae) from Sichuan Province, China with Supplementary Description of L. oshanensis Asian Herpetological Research, 12(2), 143–166 https://doi.org/10.16373/j.cnki.ahr.200118",2021,"Shengchao SHI, Yinmeng HOU, Zhaobin SONG, Jianping JIANG, Bin WANG",Asian Herpetological Research,10.16373/j.cnki.ahr.200118
15,135,两栖纲,缙云掌突蟾,Paramegophrys jinyunensis,缙云掌突蟾,Paramegophrys jinyunensis,无尾目,Megophryidae,角蟾科,Paramegophrys,掌突蟾属,缙云山,重庆,106.35,29.85,,2022,,,照片/影像,,2023,中国科学院成都生物研究所、重庆自然博物馆、贵州大学,亚洲两栖爬行动物研究,
16,143,两栖纲,,,,Leptobrachella chishuiensis,无尾目,Megophryidae,角蟾科,Leptobrachella,掌突蟾属,赤水,贵州,105.7,28.5833,,,,,照片/影像,"Jian Wang and Shuo Qi and Ke-Yuan Dai and Zhi-Tong Lyu and Zhao-Chi Zeng and Hong-Hui Chen and Yuan-Qiu Li and Yong-You Zhao and Yun-Ze Wang and Ying-Yong Wang (2022). A new Leptobrachella species (Anura, Megophryidae) from South China, with comments on the taxonomic status of L. chishuiensis and L. purpurus Life Science, 98(1) https://doi.org/10.3897/zse.98.73162",2022,,,10.3897/zse.98.73162
17,149,爬行纲,盈江烙铁头蛇,Ovophis jenkinsi,盈江烙铁头蛇,Ovophis jenkinsi,有鳞目,Viperidae,蝰科,Ovophis,烙铁头蛇属,中国云南省盈江县铜壁关乡,云南,97.6581,24.6092,1343,2018-10,热带山地雨林,"IOZ 002679 (holotype), IOZ 002680, YJ201801, YJ201802, YJ201803 (paratypes)",标本,"Xian-Chun Qiu and Jin-Ze Wang and Zu-Yao Xia and Zhong-Wen Jiang and Yan Zeng and Nan Wang and Pi-Peng Li and Jing-Song Shi (2024). A new mountain pitviper of the genus Ovophis Burger in Hoge & Romano-Hoge, 1981 (Serpentes, Viperidae) from Yunnan, China https://doi.org/10.3897/zookeys.1203.119218",2024,"Qiu X-C, Wang J-Z, Xia Z-Y, Jiang Z-W, Zeng Y, Wang N, Li P-P, Shi J-S",ZooKeys,10.3897/zookeys.1203.119218
18,151,两栖纲,福鼎蝾螈,Cynops fudingensis,福鼎瘰螈,Cynops fudingensis,有尾目,Salamandridae,蝾螈科,Cynops,蝾螈属,太姥山附近,福建,120.1667,27.1167,718,2009-04-09,,"CIB 97879 (holotype); CIB 97869–78, 9785 (paratypes)",标本,"YUNKE WU and YUEZHAO WANG and KE JIANG and JAMES HANKEN (2010). A new newt of the genus Cynops (Caudata: Salamandridae) from Fujian Province, southeastern China Zootaxa, 2346, 42–52",2010,"Yunke Wu, Yuezhao Wang, Ke Jiang, James Hanken",Zootaxa,
19,167,,,,孟氏大连蟾,Dalianbatrachus mengi,,Ranidae,盘舌蟾科,Dalianchana,大连蟾属,黄半吉沟,辽宁,120.8335,41.6118,,,义县组下部浅黄色泥岩,DZ001、DZ002,标本,,2023,高春玲、刘金远,世界地质,
20,175,两栖纲,,,,Amolops liangshanensis,无尾目,Ranidae,蛙科,Amolops,湍蛙属,"七里坝,昭觉",四川,102.85,28.05,,,,,照片/影像,"ZHI-TONG LYU, ZHAO-CHI ZENG, HAN WAN, JIAN-HUAN YANG, YU-LONG LI, HONG PANG & YING-YONG WANG (2019). A new species of Amolops (Anura: Ranidae) from China, with taxonomic comments on A. liangshanensis and Chinese populations of A. marmoratus Zootaxa, 4609(2), 247–268 https://doi.org/10.11646/zootaxa.4609.2.3",2019,"Lyu, Zhi-Tong, Wang, Yu-Long",Zootaxa,10.11646/zootaxa.4609.2.3
21,181,两栖纲,,,黄岩疣螈,Tylototriton huangyanensis,有尾目,Salamandridae,蝾螈科,Tylototriton,疣螈属,雪峰山黄岩地区,湖南,110.0667,27.4667,846,2016-04-02,覆盖有枯枝落叶且人迹罕至、靠近水源的陆地;繁殖期进入底部富含腐殖质的清澈水池,201605036,标本,,2020,邓文静、莫小阳,硕士学位论文,
22,212,两栖纲,麻栗坡灌树蛙,Raorchestes malipoensis,麻栗坡小树蛙,Raorchestes malipoensis,无尾目,Rhacophoridae,树蛙科,Raorchestes,灌树蛙属,中国云南省麻栗坡县,云南,104.78,23.182,1496,2019-05-07,云南省麻栗坡县麻栗坡小树蛙新种模式产地生境,"SWFU 3110, SWFU 3113, SWFU 3114, SWFU 3116, SWFU 3111, SWFU 3112, GXNU 000338, GXNU 000339, GXNU 000340, GXNU 000341, GXNU 000342",标本,"Junkai Huang and Xiao Long Liu and Lingyun Du and Justin M. Bernstein and Shuo Liu and Yun Yang and Guohua Yu and Zhengjun Wu (2023). A new species of Bush frog (Anura, Rhacophoridae, Raorchestes) from southeastern Yunnan, China ZooKeys, 1151, 47–65 https://doi.org/10.3897/zookeys.1151.95616",2023,"Huang J, Liu XL, Du L, Bernstein JM, Liu S, Yang Y, Yu G, Wu Z",ZooKeys,10.3897/zookeys.1151.95616
23,216,两栖纲,哀牢湍蛙,Amolops ailao,哀牢湍蛙,Amolops ailao,无尾目,Ranidae,蛙科,Amolops,湍蛙属,哀牢山,云南,101.4977,23.9495,2043,2017-07-17,岩石溪流或瀑布,"GXNU YU000004 (holotype); GXNU YU000001–YU000003, GXNU YU20160273, GXNU YU20160274, KIZ 2022041 (paratypes)",标本,"Shangjing Tang and Tao Sun and Shuo Liu and Sangdi Luo and Guohua Yu and Lina Du (2023). A new species of cascade frog (Anura: Ranidae: Amolops) from central Yunnan, China Zoological Letters, 9, 15 https://doi.org/10.1186/s40851-023-00214-9",2023,"Shangjing Tang, Tao Sun, Shuo Liu, Sangdi Luo, Guohua Yu, Lina Du",Zoological Letters,10.1186/s40851-023-00214-9
24,218,爬行纲,孟连裸趾虎,Cyrtodactylus menglianensis,孟连裸趾虎,Cyrtodactylus menglianensis,有鳞目,Gekkonidae,壁虎科,Cyrtodactylus,裸趾虎属,中国云南省普洱市孟连县,云南,99.5747,22.3364,980,2021-07-19,公园内的喀斯特地貌;附近有栈道和河流的喀斯特森林,"KIZ20210713 (holotype); KIZ20210714, KIZ20210715, KIZ20210716 (paratypes)",标本,"Shuo Liu and Dingqi Rao (2022). A new species of Cyrtodactylus Gray, 1827 (Squamata, Gekkonidae) from southwestern Yunnan, China ZooKeys, 1084, 83–100 https://doi.org/10.3897/zookeys.1084.72868",2022,"Liu, Shuo, Rao, Dingqi",ZooKeys,10.3897/zookeys.1084.72868
25,221,爬行纲,光滑裸趾虎,Cyrtodactylus laevis,光滑弯趾虎,Cyrtodactylus laevis,有鳞目,Gekkonidae,壁虎科,Cyrtodactylus,裸趾虎属,中国西藏自治区林芝市朗县金东乡热村,西藏,93.3457,29.0442,3060,2023-07-16,雅鲁藏布江干热河谷,CIB 121654 (holotype); CIB 121655 (paratype),标本,"Shun Ma and Sheng‐Chao Shi and Tian‐Yu Qian and Lu‐Lu Sui and Bin Wang and Jian‐Ping Jiang (2024). A New Species of Cyrtodactylus tibetanus Group (Reptilia: Squamata: Gekkonidae) from Xizang Autonomous Region, China Animals, 14, 2384 https://doi.org/10.3390/ani14162384",2024,"Shun Ma, Sheng-Chao Shi, Tian-Yu Qian, Lu-Lu Sui, Bin Wang, Jian-Ping Jiang",Animals,10.3390/ani14162384
26,223,爬行纲,西藏裸趾虎,Cyrtodactylus tibetanus,西藏弯趾虎,Cyrtodactylus tibetanus,有鳞目,Gekkonidae,壁虎科,Cyrtodactylus,裸趾虎属,青藏高原雅鲁藏布江流域,西藏,89.5,29.5,,,,,照片/影像,"Shun Ma and Sheng‐Chao Shi and Tian‐Yu Qian and Lu‐Lu Sui and Bin Wang and Jian‐Ping Jiang (2024). A New Species of Cyrtodactylus tibetanus Group (Reptilia: Squamata: Gekkonidae) from Xizang Autonomous Region, China Animals, 14, 2384 https://doi.org/10.3390/ani14162384",2024,"Shun Ma, Sheng-Chao Shi, Tian-Yu Qian, Lu-Lu Sui, Bin Wang, Jian-Ping Jiang",Animals,10.3390/ani14162384
27,238,爬行纲,大渡攀蜥,Diploderma daduense,大渡攀蜥,Diploderma daduense,有鳞目,Agamidae,鬣蜥科,Diploderma,攀蜥属,中国四川省汉源县;中国四川省金口河区;中国四川省峨边县,四川,103.0,29.3,,,中国西部干热河谷地区,"CIB−CB2021227, CIB−CB2021228, CIB−CB2021229, CIB−CB2021230, CIB−CB2021237, CIB−CB2021238, CIB−CB2021239, CIB−CB2021240, CIB−CB2021241, CIB−CB2021242",标本,"Bo Cai and Fengjing Liu and Dong Liang and Mian Hou and Huaming Zhou and Jiayun Zhong and Jing Li and Jiang Chang (2024). A New Species of Diploderma (Squamata, Agamidae) from the Valley of Dadu River in Sichuan Province, with a Redescription of Topotypes of D. splendidum from Hubei Province, China Animals, 14, 1344 https://doi.org/10.3390/ani14091344",2024,"Bo Cai, Fengjing Liu, Dong Liang, Mian Hou, Huaming Zhou, Jiayun Zhong, Jing Li, Jiang Chang",Animals,10.3390/ani14091344
28,239,爬行纲,丽纹攀蜥,Diploderma splendidum,丽纹攀蜥,Diploderma splendidum,有鳞目,Agamidae,鬣蜥科,Diploderma,攀蜥属,中国湖北省宜昌市,湖北,111.285,30.69,,,,,照片/影像,"Bo Cai and Fengjing Liu and Dong Liang and Mian Hou and Huaming Zhou and Jiayun Zhong and Jing Li and Jiang Chang (2024). A New Species of Diploderma (Squamata, Agamidae) from the Valley of Dadu River in Sichuan Province, with a Redescription of Topotypes of D. splendidum from Hubei Province, China Animals, 14, 1344 https://doi.org/10.3390/ani14091344",2024,"Bo Cai, Fengjing Liu, Dong Liang, Mian Hou, Huaming Zhou, Jiayun Zhong, Jing Li, Jiang Chang",Animals,10.3390/ani14091344
29,269,爬行纲,耿马半叶趾虎,Hemiphyllodactylus gengmaensis,耿马半叶趾虎,Hemiphyllodactylus gengmaensis,有鳞目,Gekkonidae,壁虎科,Hemiphyllodactylus,半叶趾虎属,云南省耿马傣族佤族自治县班幸村,云南,98.925,23.517,664,2014-05-15,有缝隙的粗糙餐厅墙壁,"2014002302 (holotype); 2014002297, 2014002298, 2014002299, 2014002300, 2014002301 (paratypes)",标本,"Hongxin Zhou and Shimin Li and Ziqi Shen and Shuo Liu and Dingqi Rao (2024). A new species of Hemiphyllodactylus (Squamata, Gekkonidae) from southwest Yunnan, China https://doi.org/10.3897/zookeys.1197.117359",2024,"Zhou, Hongxin, Li, Shimin, Shen, Ziqi, Liu, Shuo, Rao, Dingqi",ZooKeys,10.3897/zookeys.1197.117359
30,274,两栖纲,,,豫南小鲵,Hynobius yunanicus,有尾目,Hynobiidae,小鲵科,Hynobius,小鲵属,金岗台自然保护区,河南,115.4783,31.6936,380~1100,1999-04,,,标本,"石灵、侯名根、王新卫、陶立奎、陈晓虹 (2011). 河南省金岗台自然保护区两栖动物资源及保护 四川动物, 30(5), 828-830 https://doi.org/10.3969/j.issn.1000-7083.2011.05.042",2011,陈晓虹、瞿文元、牛红星,动物分类学报,10.3969/j.issn.1000-7083.2011.05.042
31,275,两栖纲,叶氏隆肛蛙/叶氏肛刺蛙,Yerana yei,叶氏肛刺蛙,Yeirana yei,无尾目,Dicroglossidae,叉舌蛙科,Yerana,肛刺蛙属,金岗台自然保护区,河南,115.4783,31.6936,380~750,1999-04,,,标本,"石灵、侯名根、王新卫、陶立奎、陈晓虹 (2011). 河南省金岗台自然保护区两栖动物资源及保护 四川动物, 30(5), 828-830 https://doi.org/10.3969/j.issn.1000-7083.2011.05.042",2011,陈晓虹、瞿文元、江建平,两栖爬行动物学研究第9辑,10.3969/j.issn.1000-7083.2011.05.042
32,285,两栖纲,金佛拟小鲵,Pseudohynobius jinfo,金佛山拟小鲵,Pseudohynobius jinfo,有尾目,Hynobiidae,小鲵科,Pseudohynobius,拟小鲵属,重庆市南川县金佛山山区凤凰寺附近的一处泉水池塘,重庆,107.3333,28.8333,2150,2006-05-03,金佛山近山顶南坡凤凰寺附近的山地池塘,"CIB 85290 (holotype); CIB 85291, CIB 85292-85293 (paratypes)",标本,"GANG WEI and JIAN-LI XIONG and MIAN HOU and XIAO-MAO ZENG (2009). A new species of hynobiid salamander (Urodela: Hynobiidae: Pseudohynobius) from Southwestern China Zootaxa, 2149, 62–68",2009,"Gang Wei, Jian-Li Xiong, Mian Hou, Xiao-Mao Zeng",Zootaxa,
33,293,爬行纲,帆背攀蜥,Diploderma vela,帆蜥,Japalura vela,有鳞目,Agamidae,鬣蜥科,Diploderma,攀蜥属,中国西藏自治区东部芒康县曲孜卡,西藏,98.6,29.0833,2370,,澜沧江(湄公河)上游河谷,"Holotype: KIZ013801; Paratypes: KIZ013802, KIZ013813, KIZ013800, KIZ013805–013811",标本,"Kai WANG and Ke JIANG and Gang PAN and Mian HOU and Cameron D. SILER and Jing CHE (2015). A New Species of Japalura (Squamata: Sauria: Agamidae) from Upper Lancang (Mekong) Valley of Eastern Tibet, China Asian Herpetological Research, 6(3), 159–168 https://doi.org/10.16373/j.cnki.ahr.140042",2015,"Kai WANG, Ke JIANG, Gang PAN, Mian HOU, Cameron D. SILER, Jing CHE",Asian Herpetological Research,10.16373/j.cnki.ahr.140042
34,318,两栖纲,杨氏原指树蛙,Kurixalus yangi,杨氏树蛙,Kurixalus yangi,无尾目,Rhacophoridae,树蛙科,Kurixalus,原指树蛙属,那邦,云南,97.5745,24.77,354,2014-06-30,,"KIZ 14102911 (holotype); KIZ 14102901, KIZ 14102902, KIZ 14102904, KIZ 14102905, KIZ 14102906, KIZ 14102908, KIZ 14102912, KIZ 14102913 (paratypes)",标本,"Guohua Yu and Hong Hui and Dingqi Rao and Junxing Yang (2018). A new species of Kurixalus from western Yunnan, China (Anura, Rhacophoridae) ZooKeys, 770, 211–226 https://doi.org/10.3897/zookeys.770.23526",2018,"Yu, Guohua, Hui, Hong, Rao, Dingqi, Yang, Junxing",ZooKeys,10.3897/zookeys.770.23526
35,328,两栖纲,绥阳掌突蟾,Paramegophrys suiyangensis,绥阳掌突蟾,Leptobrachella suiyangensis,无尾目,Megophryidae,角蟾科,Paramegophrys,掌突蟾属,贵州省绥阳县宽阔水自然保护区,贵州,107.0764,28.4805,1501,2018-06-07,宽约1.5米、深约10厘米的溪流及附近保存完好的竹林,"Holotype: GZNU20180606007; Paratypes: GZNU20180606001, GZNU20180606002, GZNU20180606003, GZNU20180606004, GZNU20180606005, GZNU20180606006, GZNU20180606008",标本,"Tao Luo and Ning Xiao and Kai Gao and Jiang Zhou (2020). A new species of Leptobrachella (Anura, Megophryidae) from Guizhou Province, China ZooKeys, 923, 115–140 https://doi.org/10.3897/zookeys.923.47172",2020,"Luo, T., Xiao, N., Gao, K., Zhou, J.",ZooKeys,10.3897/zookeys.923.47172
36,335,爬行纲,,,贵州小头蛇,Oligodon guizhouensis,有鳞目,Colubridae,游蛇科,Oligodon,小头蛇属,雷山县永乐、赤水县蟠龙,贵州,108.2,26.4,900~1500,1975-06-15,山区灌木林下的草地上,7600080,标本,"伍律、李德俊、须润华、黄谋、刘积深 (1978). 贵州爬行动物新纪录及一新种 贵州爬行动物新纪录及一新种, 105",1978,伍律、李德俊、须润华、董谦、刘积深,动物学报,
37,354,两栖纲,广西琴蛙,Nidirana guangxiensis,广西琴蛙,Nidirana guangxiensis,无尾目,Ranidae,蛙科,Nidirana,琴蛙属,大明山,广西,108.437,23.5156,1260,2020-07-07,"大明山顶的高山沼泽及其邻近灌丛,周围为亚热带常绿阔叶林","Holotype: NHMG 202007003; Paratypes: NHMG 202007001–002, 202007004–005, 202007007–015, 202007019–020, SYS a008811–8813/NHMG 202008003–005",标本,"Zhi-Tong Lyu and Zhong Huang and Xiao-Wen Liao and Li Lin and Yong Huang and Ying-Yong Wang and Yun-Ming Mo (2021). A new species of Music frog (Anura, Ranidae, Nidirana) from Mt Daming, Guangxi, China ZooKeys, 1059, 35–56 https://doi.org/10.3897/zookeys.1059.68140",2021,"Lyu Z-T, Huang Z, Liao X-W, Lin L, Huang Y, Wang Y-Y, Mo Y-M",ZooKeys,10.3897/zookeys.1059.68140
38,355,两栖纲,华夏齿突蟾,Scutiger feiliangi,华夏齿突蟾,Scutiger feiliangi,无尾目,Megophryidae,角蟾科,Scutiger,齿突蟾属,白云山国家森林公园玉皇顶林场,河南,111.8336,33.6436,1882,2020-05,山区溪流旁多苔藓的阴湿环境石块下,SYAU BAA000040,标本,周圣博、关萍、史静耸 (2023) 动物学杂志 10.13859/j.cjz.202305001,2023,周圣博、关萍、史静耸,动物学杂志,10.13859/j.cjz.202305001
39,383,两栖纲,,,,Nanorana arunachalensis,无尾目,Dicroglossidae,叉舌蛙科,Nanorana,倭蛙属,,,,,,,,,照片/影像,"Shangjing Tang and Shuo Liu and Guohua Yu (2023). A New Species of Nanorana (Anura: Dicroglossidae) from Northwestern Yunnan, China, with Comments on the Taxonomy of Nanorana arunachalensis and Allopaa Animals, 13, 3427 https://doi.org/10.3390/ani13213427",2023,"Shangjing Tang, Shuo Liu, Guohua Yu",Animals,10.3390/ani13213427
40,386,两栖纲,雪林棘蛙,Nanorana xuelinensis,雪林棘蛙,Nanorana xuelinensis,无尾目,Dicroglossidae,叉舌蛙科,Nanorana,倭蛙属,中国云南省普洱市澜沧县雪林乡,云南,99.5431,23.0439,1840,2019-07-13,,"KIZL2019016 (holotype); KIZL2019012, KIZL2019015, KIZL2019013, KIZL2019014, KIZL2019017 (paratypes)",标本,"Shuo Liu and Peisong Zhang and Dingqi Rao (2021). A new species of Nanorana Günther, 1896 (Anura, Dicroglossidae) from Yunnan, China ZooKeys, 1048, 49–67 https://doi.org/10.3897/zookeys.1048.65620",2021,"Liu, Shuo, Zhang, Peisong, Rao, Dingqi",ZooKeys,10.3897/zookeys.1048.65620
41,391,两栖纲,桂北琴蛙,Nidirana guibeiensis,桂北琴蛙,Nidirana guibeiensis,无尾目,Ranidae,蛙科,Nidirana,琴蛙属,中国广西北部,广西,110.6882,25.975,300,2022-05-08,海拔300–1300米的稻田或静水池塘,"NNU 00771 (holotype); NNU 00769–770, 772–773, 00694, 00810, 00864–867, 00917–919 (paratypes)",标本,"Wei-Cai Chen and Jian-Ping Ye and Wan-Xiao Peng and Peng Li and Tong-Ping Su and Gui-Dong Yu and Zhi-Ying Cheng (2022). A new species of Nidirana (Anura, Ranidae) from northern Guangxi, China ZooKeys, 1135, 119–137 https://doi.org/10.3897/zookeys.1135.94371",2022,"Chen W-C, Ye J-P, Peng W-X, Li P, Su T-P, Yu G-D, Cheng Z-Y",ZooKeys,10.3897/zookeys.1135.94371
