Class_CN,year,events,species
两栖纲,1980,1,1
两栖纲,1984,2,2
两栖纲,2000,3,3
两栖纲,2002,1,1
两栖纲,2003,2,2
两栖纲,2004,5,5
两栖纲,2005,7,7
两栖纲,2006,2,2
两栖纲,2007,1,1
两栖纲,2008,5,5
两栖纲,2009,5,5
两栖纲,2010,10,10
两栖纲,2011,11,11
两栖纲,2012,1,1
两栖纲,2013,7,7
两栖纲,2014,2,2
两栖纲,2015,6,5
两栖纲,2016,11,11
两栖纲,2017,9,9
两栖纲,2018,7,7
两栖纲,2019,7,7
两栖纲,2020,9,9
两栖纲,2021,5,5
两栖纲,2022,21,20
两栖纲,2023,16,16
两栖纲,2024,27,24
两栖纲,2025,19,17
两栖纲,2026,2,2
爬行纲,1930,1,1
爬行纲,1978,11,11
爬行纲,1984,2,2
爬行纲,1996,1,1
爬行纲,2000,1,1
爬行纲,2001,2,2
爬行纲,2002,5,5
爬行纲,2003,14,5
爬行纲,2004,4,4
爬行纲,2005,3,3
爬行纲,2006,5,5
爬行纲,2007,1,1
爬行纲,2008,3,3
爬行纲,2009,6,6
爬行纲,2010,6,6
爬行纲,2011,5,5
爬行纲,2012,8,7
爬行纲,2013,8,6
爬行纲,2014,4,4
爬行纲,2015,5,3
爬行纲,2016,1,1
爬行纲,2017,5,4
爬行纲,2018,8,6
爬行纲,2019,12,12
爬行纲,2020,4,4
爬行纲,2021,9,9
爬行纲,2022,17,17
爬行纲,2023,20,18
爬行纲,2024,21,20
爬行纲,2025,18,17
